asset,phase,policy,events,mean_gross_bp,mean_net_bp,profit_factor,win_rate,positive_folds,total_folds,p95_net_bp,runner_armed_share,matched_random_mean_net_bp,matched_excess_bp,matched_signflip_p,registered_result
ETH,selection,baseline,182,-2.323628653739128,-22.32362865373913,0.6375765668493572,0.2087912087912088,0,4,273.69915667331355,0.4230769230769231,,,,True
ETH,selection,candidate,161,7.404223191518836,-12.595776808481165,0.7832969793906186,0.21739130434782608,0,4,359.01289693923326,0.453416149068323,,,,True
ETH,audit,baseline,114,25.19038674946399,5.19038674946398,1.0649082434550161,0.24561403508771928,1,3,529.7068498001713,0.39473684210526316,,,,True
ETH,audit,candidate,101,25.47600624136055,5.47600624136055,1.06593550827764,0.22772277227722773,1,3,528.0356355079808,0.39603960396039606,-6.725032547656101,12.201038789016645,0.35392646073539263,True
ETH,confirmation,baseline,21,-58.100302518106275,-78.10030251810628,0.0819103130207576,0.09523809523809523,0,2,0.5792664565218301,0.23809523809523808,,,,True
ETH,confirmation,candidate,19,-57.26016753543021,-77.26016753543021,0.0855642677238693,0.05263157894736842,0,2,7.3249548288315065,0.21052631578947367,-9.220046366337183,-68.04012116909303,0.992910070899291,True
XAU,selection,baseline,29,-7.851730837575935,-27.85173083757594,0.144906050557659,0.10344827586206896,1,5,35.08705836351755,0.3448275862068966,,,,True
XAU,selection,candidate,34,-2.5172528971150037,-22.517252897115004,0.19939768494579438,0.11764705882352941,0,5,40.80881930406396,0.38235294117647056,,,,True
XAU,audit,baseline,22,-0.35891821662341206,-20.358918216623415,0.38439817619961586,0.2727272727272727,1,4,30.360296583786848,0.3181818181818182,,,,True
XAU,audit,candidate,28,9.618584933243149,-10.381415066756851,0.6872078787292668,0.25,1,4,117.26299329470929,0.4642857142857143,-16.383989312425193,6.002574245668342,0.34496655033449664,True
XAU,confirmation,baseline,13,-17.884290905545118,-37.88429090554513,0.025598356514129224,0.07692307692307693,0,2,4.798392498419831,0.46153846153846156,,,,True
XAU,confirmation,candidate,15,-30.414736767209313,-50.41473676720932,0.13463820724859313,0.06666666666666667,0,2,19.629232785595185,0.13333333333333333,-41.06206279410059,-9.352673973108732,0.7086270560590803,True
