asset,phase,gate,threshold,events,mean_net_bp,profit_factor,win_rate,acceptance_rate,registered_result,evidence_role
ETH,selection,fee_to_risk_max,0.2,30,-13.778569147897102,0.846296687578543,0.23333333333333334,0.18633540372670807,False,postmortem_sensitivity_not_validation
ETH,selection,fee_to_risk_max,0.35,103,-15.332564148596072,0.7739453862252713,0.23300970873786409,0.639751552795031,False,postmortem_sensitivity_not_validation
ETH,selection,fee_to_risk_max,0.5,138,-16.716305823314492,0.7335021192445661,0.21739130434782608,0.8571428571428571,False,postmortem_sensitivity_not_validation
ETH,selection,fee_to_risk_max,0.8,152,-14.758342307332935,0.7540763522917217,0.21710526315789475,0.9440993788819876,False,postmortem_sensitivity_not_validation
ETH,selection,regime_age_max,24.0,36,3.9908915646048317,1.0824944384044293,0.2777777777777778,0.2236024844720497,False,postmortem_sensitivity_not_validation
ETH,selection,regime_age_max,48.0,65,-4.56733776473608,0.9185454875352724,0.27692307692307694,0.40372670807453415,False,postmortem_sensitivity_not_validation
ETH,selection,regime_age_max,96.0,96,-17.631864367050238,0.7114968814009404,0.22916666666666666,0.5962732919254659,False,postmortem_sensitivity_not_validation
ETH,selection,efficiency24_min,0.1,60,-21.1388536967515,0.6208757483314526,0.21666666666666667,0.37267080745341613,False,postmortem_sensitivity_not_validation
ETH,selection,efficiency24_min,0.15,24,32.75250936432487,1.7450268741754233,0.2916666666666667,0.14906832298136646,False,postmortem_sensitivity_not_validation
ETH,selection,efficiency24_min,0.2,8,64.62175555524975,2.270976809688425,0.25,0.049689440993788817,False,postmortem_sensitivity_not_validation
ETH,selection,ma_side_flips24_max,2.0,76,-44.92204966333997,0.3282567643131926,0.18421052631578946,0.4720496894409938,False,postmortem_sensitivity_not_validation
ETH,selection,ma_side_flips24_max,4.0,135,-23.356733075844105,0.6023427105013373,0.2,0.8385093167701864,False,postmortem_sensitivity_not_validation
