ts,open,high,low,close,volume,open_time
1785035700000,1882.47,1882.74,1880,1880.47,117521.4,2026-07-26 03:15:00+00:00
1785036600000,1880.47,1883.48,1880,1881.49,152968.94,2026-07-26 03:30:00+00:00
1785037500000,1881.49,1882.26,1880.8,1881.46,68947.92,2026-07-26 03:45:00+00:00
1785038400000,1881.47,1882.4,1879.68,1880.5,96723.75,2026-07-26 04:00:00+00:00
1785039300000,1880.5,1884.52,1879.58,1883.56,211047.41,2026-07-26 04:15:00+00:00
1785040200000,1883.56,1886.97,1882.52,1886.81,218577.9,2026-07-26 04:30:00+00:00
1785041100000,1886.8,1888.81,1884.59,1885.39,351383.26,2026-07-26 04:45:00+00:00
1785042000000,1885.4,1886.65,1884.01,1886.5,114498.24,2026-07-26 05:00:00+00:00
1785042900000,1886.49,1886.5,1883.82,1883.87,121741.32,2026-07-26 05:15:00+00:00
1785043800000,1883.87,1885.49,1882.3,1885.3,111099.87,2026-07-26 05:30:00+00:00
1785044700000,1885.3,1885.4,1881.77,1882.57,118089.28,2026-07-26 05:45:00+00:00
1785045600000,1882.57,1884.14,1879.95,1880.28,254804.32,2026-07-26 06:00:00+00:00
1785046500000,1880.28,1881.21,1877.5,1877.81,220744.16,2026-07-26 06:15:00+00:00
1785047400000,1877.82,1881.99,1877.81,1881.45,162674.23,2026-07-26 06:30:00+00:00
1785048300000,1881.45,1884.63,1881.45,1884.07,113869.36,2026-07-26 06:45:00+00:00
1785049200000,1884.07,1885.61,1882.51,1883.88,151231.18,2026-07-26 07:00:00+00:00
1785050100000,1883.89,1884.28,1882.04,1882.23,64898.87,2026-07-26 07:15:00+00:00
1785051000000,1882.23,1882.27,1879.79,1879.8,101492.47,2026-07-26 07:30:00+00:00
1785051900000,1879.79,1881,1879.79,1880.98,94811.04,2026-07-26 07:45:00+00:00
1785052800000,1880.98,1880.98,1879.14,1879.58,73042.64,2026-07-26 08:00:00+00:00
1785053700000,1879.57,1880.48,1878.36,1879.97,92242.97,2026-07-26 08:15:00+00:00
1785054600000,1879.98,1881.18,1879.15,1881.08,104119.56,2026-07-26 08:30:00+00:00
1785055500000,1881.09,1881.85,1880.51,1880.68,64854.32,2026-07-26 08:45:00+00:00
1785056400000,1880.68,1883.36,1880.6,1881.16,100375.43,2026-07-26 09:00:00+00:00
1785057300000,1881.16,1883.99,1881.16,1883.46,108340.44,2026-07-26 09:15:00+00:00
1785058200000,1883.46,1884.99,1882.33,1883.75,73267.46,2026-07-26 09:30:00+00:00
1785059100000,1883.75,1884.49,1882.27,1882.87,76216.87,2026-07-26 09:45:00+00:00
1785060000000,1882.87,1884.37,1881.28,1883.9,91632.39,2026-07-26 10:00:00+00:00
1785060900000,1883.91,1885.54,1882.86,1884.49,56806.58,2026-07-26 10:15:00+00:00
