ts,open,high,low,close,volume,open_time
1784924700000,1863.29,1864.22,1862.18,1862.19,24596.24,2026-07-24 20:25:00+00:00
1784925000000,1862.18,1862.32,1860.58,1861,40507.57,2026-07-24 20:30:00+00:00
1784925300000,1861,1861.8,1859.2,1861.41,33206.58,2026-07-24 20:35:00+00:00
1784925600000,1861.42,1861.51,1860.03,1860.93,30927.46,2026-07-24 20:40:00+00:00
1784925900000,1860.93,1861.31,1857.14,1858.63,96852.54,2026-07-24 20:45:00+00:00
1784926200000,1858.64,1860.37,1858.45,1860.37,16332.77,2026-07-24 20:50:00+00:00
1784926500000,1860.38,1860.83,1859.64,1859.95,30639.73,2026-07-24 20:55:00+00:00
1784926800000,1859.95,1860.96,1858.88,1859.61,36093.5,2026-07-24 21:00:00+00:00
1784927100000,1859.61,1860.21,1858.56,1859.49,19081.73,2026-07-24 21:05:00+00:00
1784927400000,1859.49,1859.49,1857.81,1858.57,40266.38,2026-07-24 21:10:00+00:00
1784927700000,1858.57,1860.2,1858.25,1858.52,25835.69,2026-07-24 21:15:00+00:00
1784928000000,1858.52,1859,1857.61,1859,32740.27,2026-07-24 21:20:00+00:00
1784928300000,1859,1860.14,1858.36,1859.16,38147.3,2026-07-24 21:25:00+00:00
1784928600000,1859.16,1860.45,1859.04,1859.43,53277.61,2026-07-24 21:30:00+00:00
1784928900000,1859.43,1860.15,1858.38,1858.61,17595.3,2026-07-24 21:35:00+00:00
1784929200000,1858.61,1859.33,1858,1859,75075.33,2026-07-24 21:40:00+00:00
1784929500000,1859.01,1859.17,1857.42,1858.38,28995.26,2026-07-24 21:45:00+00:00
1784929800000,1858.36,1859.05,1857.12,1857.86,48495.81,2026-07-24 21:50:00+00:00
1784930100000,1857.85,1857.86,1856.09,1856.88,62894.69,2026-07-24 21:55:00+00:00
1784930400000,1856.88,1858.48,1855.74,1857.64,45485.42,2026-07-24 22:00:00+00:00
1784930700000,1857.65,1859,1857.06,1858,43838.12,2026-07-24 22:05:00+00:00
1784931000000,1858,1859.08,1857.99,1858.52,30385.15,2026-07-24 22:10:00+00:00
1784931300000,1858.51,1859,1858.45,1858.89,11326.7,2026-07-24 22:15:00+00:00
