period,variant_id,training_score_quantile,threshold,pool_events,selection_rate,events,mean_net_bp,median_net_bp,win_rate,profit_factor,sum_net_bp,interpretation
2024 replay,signal_score,0.9,0.7980809449680217,3437,0.10707011929007856,368,-23.34312859496651,-66.303881079609,0.21467391304347827,0.630541787201697,-8590.271322947678,registered
2025-2026P1 audit,signal_score,0.9,0.7980809449680217,3746,0.12279765082754938,460,-4.053793311300155,-52.036404059160496,0.2608695652173913,0.9193067740416507,-1864.744923198071,registered
2024 replay,signal_score,0.95,0.8446825612251452,3437,0.05120744835612453,176,-22.3464129522901,-68.3720356666975,0.19318181818181818,0.652834456264158,-3932.9686796030574,posthoc sensitivity only
2025-2026P1 audit,signal_score,0.95,0.8446825612251452,3746,0.056860651361452214,213,-3.015938304658429,-56.042312843518005,0.29107981220657275,0.9413630237699544,-642.3948588922455,posthoc sensitivity only
2024 replay,signal_score,0.975,0.8749212381781502,3437,0.030258946755891768,104,-16.72069397194473,-67.8310068405595,0.19230769230769232,0.7323495410725742,-1738.9521730822519,posthoc sensitivity only
2025-2026P1 audit,signal_score,0.975,0.8749212381781502,3746,0.03443673251468233,129,3.690955092091493,-50.212597424778,0.32558139534883723,1.0771994143220718,476.1332068798026,posthoc sensitivity only
2024 replay,signal_score,0.99,0.9064039227247717,3437,0.014256619144602852,49,-18.15552126015661,-71.35599648177,0.12244897959183673,0.7308844196610724,-889.6205417476739,posthoc sensitivity only
2025-2026P1 audit,signal_score,0.99,0.9064039227247717,3746,0.01868659903897491,70,-24.037913429285112,-55.064626456556496,0.2571428571428571,0.5433887847256227,-1682.653940049958,posthoc sensitivity only
2024 replay,legacy_28,0.9,-0.00020928234126410194,3437,0.08728542333430317,300,-2.807478526340151,-63.6705861185235,0.26,0.9508302894947704,-842.2435579020454,registered
2025-2026P1 audit,legacy_28,0.9,-0.00020928234126410194,3746,0.09022957821676456,338,-9.305009772248406,-53.036990609834994,0.27514792899408286,0.819886183010234,-3145.0933030199612,registered
2024 replay,legacy_28,0.95,0.0006773204176299606,3437,0.038405586267093395,132,-2.619821657911054,-65.21732604926551,0.2727272727272727,0.9566486919446017,-345.81645884425916,posthoc sensitivity only
2025-2026P1 audit,legacy_28,0.95,0.0006773204176299606,3746,0.04351308061932728,163,-5.071029738281057,-49.414432888761006,0.3006134969325153,0.898229560621263,-826.5778473398123,posthoc sensitivity only
2024 replay,legacy_28,0.975,0.0014108481801653118,3437,0.016002327611288916,55,39.231869407096,-65.427890458817,0.34545454545454546,1.6270776123228154,2157.75281739028,posthoc sensitivity only
2025-2026P1 audit,legacy_28,0.975,0.0014108481801653118,3746,0.020822210357714897,78,-12.345124697031755,-45.245471377663,0.2692307692307692,0.7644127910407847,-962.9197263684769,posthoc sensitivity only
2024 replay,legacy_28,0.99,0.002230414349745289,3437,0.0069828338667442535,24,-5.302834524001709,-76.356266637755,0.20833333333333334,0.9247682304040153,-127.26802857604102,posthoc sensitivity only
2025-2026P1 audit,legacy_28,0.99,0.002230414349745289,3746,0.007474639615589963,28,4.060390587273644,-47.514419629188005,0.39285714285714285,1.0813597340970478,113.69093644366203,posthoc sensitivity only
2024 replay,legacy_plus_participation,0.9,-0.00028631541215548654,3437,0.09135874308990398,314,-7.140032604083252,-64.727986449497,0.2611464968152866,0.8810804344326085,-2241.970237682141,registered
2025-2026P1 audit,legacy_plus_participation,0.9,-0.00028631541215548654,3746,0.100106780565937,375,-13.96033463007431,-52.974486411682996,0.2773333333333333,0.7333228792575709,-5235.125486277866,registered
2024 replay,legacy_plus_participation,0.95,0.0006750092169012628,3437,0.03695082921152167,127,13.125934124479413,-64.984814097266,0.29133858267716534,1.2199068954213423,1666.9936338088853,posthoc sensitivity only
2025-2026P1 audit,legacy_plus_participation,0.95,0.0006750092169012628,3746,0.0403096636412173,151,-11.663868713823863,-52.941669769693995,0.2913907284768212,0.7845400159465651,-1761.2441757874035,posthoc sensitivity only
2024 replay,legacy_plus_participation,0.975,0.0012694855836040831,3437,0.02240325865580448,77,21.370888224093502,-65.427890458817,0.3116883116883117,1.3333052550122098,1645.5583932552,posthoc sensitivity only
2025-2026P1 audit,legacy_plus_participation,0.975,0.0012694855836040831,3746,0.021623064602242392,81,-9.00557520105042,-52.600326567047,0.30864197530864196,0.8317689031234908,-729.451591285084,posthoc sensitivity only
2024 replay,legacy_plus_participation,0.99,0.002309198753520063,3437,0.007273785277858598,25,60.164763035624745,-42.689382065299995,0.4,2.239941978067704,1504.1190758906187,posthoc sensitivity only
2025-2026P1 audit,legacy_plus_participation,0.99,0.002309198753520063,3746,0.005605979711692472,21,21.498897782934186,-22.40734119034,0.42857142857142855,1.4265771426932274,451.47685344161795,posthoc sensitivity only
