period,halfyear,variant_id,threshold,events,mean_net_bp,median_net_bp,win_rate,profit_factor,sum_net_bp
2024 replay,2024H1,signal_score,0.9064039227247717,26,5.126286889400771,-70.9985484212875,0.15384615384615385,1.0776409943981076,133.28345912442003
2024 replay,2024H2,signal_score,0.9064039227247717,23,-44.47408699443886,-71.35599648177,0.08695652173913043,0.3562818585571503,-1022.904000872094
2025-2026P1 audit,2025H1,signal_score,0.9064039227247717,28,-35.21029779033665,-66.5678307571565,0.25,0.40827326720207185,-985.8883381294261
2025-2026P1 audit,2025H2,signal_score,0.9064039227247717,32,-1.2848235430130603,-43.540419041917005,0.3125,0.96878511195277,-41.11435337641793
2025-2026P1 audit,2026H1,signal_score,0.9064039227247717,10,-65.5651248544114,-65.9014435674175,0.1,0.0657988359402199,-655.651248544114
2024 replay,2024H1,legacy_28,0.002230414349745289,6,-7.0397874301769985,-62.7570260827875,0.16666666666666666,0.8967077254725578,-42.23872458106199
2024 replay,2024H2,legacy_28,0.002230414349745289,18,-4.723850221943276,-76.356266637755,0.2222222222222222,0.933713526622732,-85.02930399497897
2025-2026P1 audit,2025H1,legacy_28,0.002230414349745289,11,20.389985782546823,-59.539672323922005,0.36363636363636365,1.3666015686942687,224.28984360801505
2025-2026P1 audit,2025H2,legacy_28,0.002230414349745289,13,3.165271565044462,-35.489166934454,0.38461538461538464,1.0774832349905903,41.14853034557801
2025-2026P1 audit,2026H1,legacy_28,0.002230414349745289,4,-37.93685937748275,-53.4765850061645,0.5,0.40377553125668214,-151.747437509931
2024 replay,2024H1,legacy_plus_participation,0.002309198753520063,12,126.62088967457476,14.560267113687999,0.5,4.886192569509801,1519.450676094897
2024 replay,2024H2,legacy_plus_participation,0.002309198753520063,13,-1.179353861867536,-64.984814097266,0.3076923076923077,0.9813499846890937,-15.33160020427797
2025-2026P1 audit,2025H1,legacy_plus_participation,0.002309198753520063,9,39.64307656351345,-52.600326567047,0.3333333333333333,1.5557366579241876,356.7876890716211
2025-2026P1 audit,2025H2,legacy_plus_participation,0.002309198753520063,8,35.53172984238775,41.814157365510994,0.625,2.26064815438161,284.253838739102
2025-2026P1 audit,2026H1,legacy_plus_participation,0.002309198753520063,4,-47.391168592276244,-22.3173729475575,0.25,0.006891340842030473,-189.56467436910498
