checkpoint_bars,keep_training_quantile,phase,eligible_events,eligible_runner_arm_rate,eligible_runner_arm_auc,eligible_runner_arm_average_precision,keep_rate,reject_rate,runner_arm_recall,events,mean_net_bp,median_net_bp,win_rate,profit_factor,max_net_bp
2,0.5,development,3240,0.3861111111111111,0.773276602448559,0.6740710261594237,0.4922162468157373,0.4585338239456552,0.7686131386861313,3533,-12.581048890245258,-32.342228692889,0.1364279649023493,0.6570110480435795,1746.22574087176
2,0.5,confirmation,3166,0.417877447883765,0.6731503115504357,0.5858989625999829,0.5167297061390748,0.4405004364271166,0.7007601935038009,3437,-18.309785948967505,-38.47788140242335,0.1483852196683154,0.5968090219074187,1218.165301415947
2,0.5,audit,3465,0.4303030303030303,0.6741900236270715,0.5899805366013355,0.509076348104645,0.4466097170315002,0.6905354919053549,3746,-17.615837500149457,-35.38461208957718,0.1556326748531767,0.5656733608649301,1382.55925700049
4,0.5,development,2850,0.3849122807017544,0.7902946427039257,0.6982320489219119,0.4806113784319275,0.4033399377299745,0.8065693430656934,3533,-13.917473016141177,-34.7871306611,0.138409283894707,0.6399595965744379,1746.22574087176
4,0.5,confirmation,2714,0.422623434045689,0.700653573679903,0.6245750596818851,0.4908350305498982,0.3860925225487344,0.7456807187284036,3437,-20.122629774292538,-42.255825405747,0.15740471341286,0.5801900603437253,1218.165301415947
4,0.5,audit,2989,0.437604550016728,0.702698080907862,0.6273753165317209,0.498398291510945,0.3790710090763481,0.7503113325031133,3746,-16.895862491616928,-37.78594285693232,0.1729845168179391,0.6002584936850083,1382.55925700049
8,0.5,development,2159,0.3867531264474294,0.8132514427338676,0.7340706286567039,0.4571185960939711,0.3054061703934333,0.8678832116788321,3533,-14.225018186694934,-38.155435765507825,0.1511463345598641,0.6534940875945752,1746.22574087176
8,0.5,confirmation,2024,0.4293478260869565,0.706180662452239,0.6381632902919409,0.488216467849869,0.2688391038696537,0.8251554941257775,3437,-19.385706678618316,-48.485409709094995,0.1777713121908641,0.6206444325711553,1218.165301415947
8,0.5,audit,2167,0.4508537148131056,0.6916009392498043,0.6307035052417569,0.498398291510945,0.2479978643886812,0.8268991282689913,3746,-16.85310104555443,-42.589049738022496,0.188467698878804,0.6285585504226725,1382.55925700049
12,0.5,development,1625,0.3864615384615384,0.8451852372403836,0.7714090413502048,0.4401358618737617,0.2298330031135012,0.9211678832116788,3533,-14.261293210027718,-40.09273570324544,0.1621851118030002,0.6623322290090954,1746.22574087176
12,0.5,confirmation,1520,0.4289473684210526,0.6960751745780442,0.6326018683445767,0.4611579866162351,0.212394530113471,0.8555632342778162,3437,-20.271652925541584,-51.474927983349,0.1806808263020075,0.6187425651337475,1218.165301415947
12,0.5,audit,1604,0.4513715710723192,0.6964151180311402,0.639731589104885,0.4676988788040576,0.195942338494394,0.8623910336239103,3746,-16.10719821772751,-44.80724120719972,0.1983449012279765,0.652423864953357,1382.55925700049
