outcome,direction,fold,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
colour_exit,-1,2025H1,28,6.62513268796,-24.6466670777,185.503715263,1.19665675568,False,0.392857142857,17,0
colour_exit,-1,2025H2,26,1.71226741366,-41.603422513,44.5189527553,1.04688136511,False,0.346153846154,17,0
colour_exit,-1,2026P1,11,-20.5476561696,-2.05488761599,-226.024217866,0.557566586007,False,0.454545454545,6,0
colour_exit,1,2025H1,29,21.5689535442,-11.167653556,625.499652782,1.69948195588,False,0.448275862069,16,0
colour_exit,1,2025H2,32,9.96540107818,-39.6241492386,318.892834502,1.26040176009,False,0.3125,22,0
colour_exit,1,2026P1,5,-70.6174806711,-86.3021413136,-353.087403356,0.0135313771142,False,0.2,4,0
hard_stop,-1,2025H1,10,-82.4626777573,-69.0749742625,-824.626777573,0,False,0,10,0
hard_stop,-1,2025H2,14,-81.9278455731,-77.8613483948,-1146.98983802,0,False,0,14,0
hard_stop,-1,2026P1,4,-87.5043232724,-84.8923782037,-350.01729309,0,False,0,4,0
hard_stop,1,2025H1,6,-122.578894809,-117.795403123,-735.473368854,0,False,0,6,0
hard_stop,1,2025H2,9,-63.6808507117,-61.1228563708,-573.127656405,0,False,0,9,0
hard_stop,1,2026P1,2,-111.503126556,-111.503126556,-223.006253112,0,False,0,2,0
