event_id,signal_time,decision_time,direction,signal_open,signal_high,signal_low,signal_close,initial_stop,signal_atr,ma,ma_side,body_ratio,range_atr,close_location,volume_ratio,ma_slope_atr,cross_count24,efficiency24,is_engulf,breakout20,extension_atr,fold,entry_time,entry_price,exit_time,exit_price,closed,outcome,gross_return,net_return,net_r,risk_pct,risk_atr,hold_minutes,partial_fraction,exit_remaining_fraction,partial_exit_time,partial_exit_price,realised_partial_gross_return,marked_gross_return,marked_net_return,max_favourable_r,max_adverse_r,bars_to_first_positive,funding_modelled,diagnostic_eligible,net_loser,hard_stop,colour_exit,fees_flip,never_positive,giveback,early_30min,fee_to_risk,observed_cost_fraction,primary_loss_reason,entry_day,entry_month,diagnostic_explanation,share_of_positive_event_profits,share_of_total_event_net,cumulative_share_of_positive_profits
2025-06-05T13:00:00+00:00_S,2025-06-05 13:00:00+00:00,2025-06-05 14:00:00+00:00,-1,105588.5,105864.8,104250.8,104478.3,105864.8,506.487829617,105072.47,-1,0.687856257745,3.18665110121,0.859045848823,6.28495833644,0.0409042405139,1,0.0378025222622,True,False,1.17311802033,2025H1,2025-06-05 14:00:00+00:00,104478.4,2025-06-05 22:40:00+00:00,101437.9,True,colour_exit,0.0291017090614,0.0271017090614,2.04237103289,0.0132697284798,2.73728196203,520,0,1,,,0,0.0291017090614,0.0271017090614,2.99004616272,-0.294070975188,0,False,True,False,False,True,False,False,False,False,0.15071898442,0.002,net_profit,2025-06-05,2025-06,"net_profit; outcome=colour_exit; gross=291.02bp; net=271.02bp; held=520min; recorded MFE=2.990R; flags=colour_exit. Descriptive, not a proven causal mechanism.",0.179633188492,,0.179633188492
2025-11-12T14:00:00+00:00_S,2025-11-12 14:00:00+00:00,2025-11-12 15:00:00+00:00,-1,104999.9,104999.9,103542.6,103948.1,104999.9,666.865451481,104324.6025,-1,0.721745694092,2.1852983938,0.721745694092,3.30914456805,0.0391364554005,1,0.0862567307833,True,False,0.564585403493,2025H2,2025-11-12 15:00:00+00:00,103948.1,2025-11-12 20:20:00+00:00,101559.2,True,colour_exit,0.0229816610405,0.0209816610405,2.07359174748,0.0101185110647,1.57722970603,320,0,1,,,0,0.0229816610405,0.0209816610405,3.09887811371,-0.307472903594,0,False,True,False,False,True,False,False,False,False,0.197657539456,0.002,net_profit,2025-11-12,2025-11,"net_profit; outcome=colour_exit; gross=229.82bp; net=209.82bp; held=320min; recorded MFE=3.099R; flags=colour_exit. Descriptive, not a proven causal mechanism.",0.139068819019,,0.318702007511
2025-05-29T13:00:00+00:00_S,2025-05-29 13:00:00+00:00,2025-05-29 14:00:00+00:00,-1,108390,108557.2,107390,107563.5,108557.2,571.551016088,108196.29625,-1,0.708104866347,2.04216240921,0.851353666895,3.36248312039,0.0496594632286,1,0.0617460696201,False,False,1.10715619811,2025H1,2025-05-29 14:00:00+00:00,107563.5,2025-05-29 21:00:00+00:00,106154,True,colour_exit,0.0131038874711,0.0111038874711,1.20194525511,0.00923826390923,1.73860245547,420,0,1,,,0,0.0131038874711,0.0111038874711,1.97594847539,-0.234879742377,0,False,True,False,False,True,False,False,False,False,0.216490892624,0.002,net_profit,2025-05-29,2025-05,"net_profit; outcome=colour_exit; gross=131.04bp; net=111.04bp; held=420min; recorded MFE=1.976R; flags=colour_exit. Descriptive, not a proven causal mechanism.",0.0735978202178,,0.392299827729
2025-06-09T08:00:00+00:00_L,2025-06-09 08:00:00+00:00,2025-06-09 09:00:00+00:00,1,105513.1,105891.3,105425.9,105880.1,105425.9,327.804359946,105652,1,0.788568972927,1.41974926775,0.975934679845,1.11010856051,0.00961320343793,1,0.12905227978,True,False,0.695841873602,2025H1,2025-06-09 09:00:00+00:00,105880,2025-06-09 13:40:00+00:00,107222.4,True,colour_exit,0.0126785039668,0.0106785039668,2.48984805109,0.00428881752928,1.38527748708,280,0,1,,,0,0.0126785039668,0.0106785039668,4.4366879542,-0.242017176833,0,False,True,False,False,True,False,False,False,False,0.466329002422,0.002,net_profit,2025-06-09,2025-06,"net_profit; outcome=colour_exit; gross=126.79bp; net=106.79bp; held=280min; recorded MFE=4.437R; flags=colour_exit. Descriptive, not a proven causal mechanism.",0.0707783303086,,0.463078158037
2025-06-02T20:00:00+00:00_L,2025-06-02 20:00:00+00:00,2025-06-02 21:00:00+00:00,1,104375.9,104948,104375.9,104829.5,104375.9,521.63719181,104628.6025,1,0.792868379654,1.09673928351,0.792868379654,0.756520458342,0.00907159881931,1,0.0134767960004,False,False,0.38512878904,2025H1,2025-06-02 21:00:00+00:00,104829.6,2025-06-03 02:25:00+00:00,106069.2,True,colour_exit,0.0118249044163,0.00982490441631,2.27009213136,0.00432797606783,0.869761602744,325,0,1,,,0,0.0118249044163,0.00982490441631,3.6376460216,-0.682389243994,0,False,True,False,False,True,False,False,False,False,0.462109764161,0.002,net_profit,2025-06-02,2025-06,"net_profit; outcome=colour_exit; gross=118.25bp; net=98.25bp; held=325min; recorded MFE=3.638R; flags=colour_exit. Descriptive, not a proven causal mechanism.",0.0651205760837,,0.528198734121
2025-12-09T15:00:00+00:00_L,2025-12-09 15:00:00+00:00,2025-12-09 16:00:00+00:00,1,90310,92863.8,90241.5,92675.4,90241.5,709.83040321,90740.3925,1,0.902032566831,3.69426272549,0.928154673378,6.83766445797,0.0257831540941,3,0.341813461895,True,True,2.72601383549,2025H2,2025-12-09 16:00:00+00:00,92675.3,2025-12-09 19:45:00+00:00,93704.9,True,colour_exit,0.0111097563213,0.00910975632126,0.346885282275,0.0262615821044,3.42870633463,225,0,1,,,0,0.0111097563213,0.00910975632126,0.778453447284,-0.00809433807215,0,False,True,False,False,True,False,False,False,False,0.0761568740242,0.002,net_profit,2025-12-09,2025-12,"net_profit; outcome=colour_exit; gross=111.10bp; net=91.10bp; held=225min; recorded MFE=0.778R; flags=colour_exit. Descriptive, not a proven causal mechanism.",0.0603804937418,,0.588579227863
2025-03-16T09:00:00+00:00_S,2025-03-16 09:00:00+00:00,2025-03-16 10:00:00+00:00,-1,84259.2,84276,83800,83900,84276,319.330562751,84236.97875,-1,0.754621848739,1.49061836079,0.789915966387,1.89058935117,0.0251868051632,3,0.0245389135011,False,False,1.05526620157,2025H1,2025-03-16 10:00:00+00:00,83899.9,2025-03-16 13:40:00+00:00,82978.2,True,colour_exit,0.0109857103525,0.00898571035246,2.00452060622,0.00448272286379,1.1777763981,220,0,1,,,0,0.0109857103525,0.00898571035246,4.09279446956,-0.466099441638,0,False,True,False,False,True,False,False,False,False,0.446157404945,0.002,net_profit,2025-03-16,2025-03,"net_profit; outcome=colour_exit; gross=109.86bp; net=89.86bp; held=220min; recorded MFE=4.093R; flags=colour_exit. Descriptive, not a proven causal mechanism.",0.059558303051,,0.648137530914
2026-01-18T23:00:00+00:00_S,2026-01-18 23:00:00+00:00,2026-01-19 00:00:00+00:00,-1,95444.3,95449.2,93555,93625.2,95449.2,319.694516998,95172.65875,-1,0.960352655475,5.92503123852,0.962939499525,13.2147060606,0.00910895613938,1,0.373826143725,True,True,4.8404294341,2026P1,2026-01-19 00:00:00+00:00,93625.1,2026-01-19 03:10:00+00:00,92669.7,True,colour_exit,0.0102045284865,0.00820452848649,0.421111671509,0.0194830232491,5.7057594141,190,0,1,,,0,0.0102045284865,0.00820452848649,0.991393015734,-5.4821555831e-05,0,False,True,False,False,True,False,False,False,False,0.102653472946,0.002,net_profit,2026-01-19,2026-01,"net_profit; outcome=colour_exit; gross=102.05bp; net=82.05bp; held=190min; recorded MFE=0.991R; flags=colour_exit. Descriptive, not a proven causal mechanism.",0.0543805414176,,0.702518072331
2025-03-12T18:00:00+00:00_L,2025-03-12 18:00:00+00:00,2025-03-12 19:00:00+00:00,1,81844.7,82810,81720,82630.9,81720,1043.65302228,81892.8875,1,0.72128440367,1.04440841614,0.835688073394,0.729416795657,0.0907677149186,2,0.0580647542421,True,False,0.70714354699,2025H1,2025-03-12 19:00:00+00:00,82630.9,2025-03-13 01:00:00+00:00,83454.6,True,colour_exit,0.00996842585522,0.00796842585522,0.722843561313,0.0110237211503,0.872799657123,360,0,1,,,0,0.00996842585522,0.00796842585522,1.5437479416,-0.164672302119,0,False,True,False,False,True,False,False,False,False,0.181426940389,0.002,net_profit,2025-03-12,2025-03,"net_profit; outcome=colour_exit; gross=99.68bp; net=79.68bp; held=360min; recorded MFE=1.544R; flags=colour_exit. Descriptive, not a proven causal mechanism.",0.0528156265125,,0.755333698844
2025-12-14T08:00:00+00:00_S,2025-12-14 08:00:00+00:00,2025-12-14 09:00:00+00:00,-1,90212.4,90263,90075.1,90080.9,90263,245.837190517,90212.175,-1,0.699840340607,0.764326990579,0.969132517296,0.823050824755,0.093137521701,0,0.18837664152,True,False,0.533991621544,2025H2,2025-12-14 09:00:00+00:00,90080.9,2025-12-14 14:05:00+00:00,89373.6,True,colour_exit,0.00785183096528,0.00585183096528,2.89477320154,0.00202151621487,0.740734140417,305,0,1,,,0,0.00785183096528,0.00585183096528,8.66337177375,-0.26194398682,0,False,True,False,False,True,False,False,False,False,0.989356397584,0.002,net_profit,2025-12-14,2025-12,"net_profit; outcome=colour_exit; gross=78.52bp; net=58.52bp; held=305min; recorded MFE=8.663R; flags=colour_exit. Descriptive, not a proven causal mechanism.",0.0387865965363,,0.79412029538
