date,eligible_bars,raw_fires,raw_fire_rate,gap_replay_signals,gap_replay_mean_net,strict_oos_signals,strict_oos_mean_net
2026-03-14,147,143,0.9727891156462585,9,-0.004917107986731369,0,
2026-03-15,56,54,0.9642857142857143,3,-0.008655418753056011,0,
2026-03-20,78,69,0.8846153846153846,5,-0.0054679148411343565,0,
2026-03-21,268,265,0.9888059701492538,15,-0.0022919517085398613,0,
2026-03-23,139,130,0.935251798561151,8,-0.001213734362735792,0,
2026-03-24,64,60,0.9375,4,-0.00011412989834308322,0,
2026-03-27,66,66,1.0,4,-0.004574871084685959,0,
2026-03-28,224,222,0.9910714285714286,12,-0.002916969832232273,0,
2026-03-31,92,91,0.9891304347826086,6,-0.0020228170510528925,0,
2026-04-01,162,123,0.7592592592592593,8,-0.008800579551699507,0,
2026-04-03,17,17,1.0,1,-0.0016585815526736197,0,
2026-04-04,404,403,0.9975247524752475,23,-0.0033416193066058415,0,
2026-04-08,66,42,0.6363636363636364,4,-0.0051140581924510025,0,
2026-04-10,305,239,0.7836065573770492,17,-0.00629985035991084,0,
2026-04-11,321,321,1.0,18,-0.0045544674925159035,0,
2026-04-13,314,206,0.6560509554140127,16,-0.018412964168619365,0,
2026-04-14,94,86,0.9148936170212766,5,-0.0027497022658406795,0,
2026-04-15,114,90,0.7894736842105263,7,-0.006076477020259547,0,
2026-04-21,29,29,1.0,2,0.0025892835017730115,0,
2026-04-24,208,205,0.9855769230769231,12,-0.0020358350296935004,0,
2026-04-25,480,474,0.9875,27,-0.0019065003190520261,0,
2026-04-26,379,374,0.9868073878627969,21,-0.005018742183393031,0,
2026-04-28,145,142,0.9793103448275862,9,-0.0023084991201030255,0,
2026-04-29,41,41,1.0,2,-0.01633928343497415,0,
2026-04-30,210,206,0.9809523809523809,12,-0.0021023660163737375,0,
2026-05-01,201,201,1.0,11,-0.005747613906973203,0,
2026-05-02,354,352,0.9943502824858758,20,-0.002033057049748758,20,-0.002033057049748758
2026-05-03,420,420,1.0,23,-0.004210027496470711,23,-0.004210027496470711
