ts,open,high,low,close,volume,open_time
1784787300000,0.02532,0.02544,0.02532,0.02544,4154,2026-07-23 06:15:00+00:00
1784787600000,0.02544,0.02547,0.02539,0.02546,2892,2026-07-23 06:20:00+00:00
1784787900000,0.02546,0.02561,0.02546,0.0255,6723,2026-07-23 06:25:00+00:00
1784788200000,0.0255,0.02559,0.02548,0.02551,9896,2026-07-23 06:30:00+00:00
1784788500000,0.02552,0.02552,0.02537,0.02537,5459,2026-07-23 06:35:00+00:00
1784788800000,0.02537,0.02538,0.02523,0.02524,5359,2026-07-23 06:40:00+00:00
1784789100000,0.02524,0.02534,0.02522,0.02532,3060,2026-07-23 06:45:00+00:00
1784789400000,0.02532,0.02533,0.02528,0.02529,2198,2026-07-23 06:50:00+00:00
1784789700000,0.02529,0.0253,0.02521,0.02526,5192,2026-07-23 06:55:00+00:00
1784790000000,0.02526,0.02532,0.02521,0.02521,9716,2026-07-23 07:00:00+00:00
1784790300000,0.02521,0.02525,0.02492,0.02502,44034,2026-07-23 07:05:00+00:00
1784790600000,0.02503,0.02504,0.02484,0.02497,24522,2026-07-23 07:10:00+00:00
1784790900000,0.02497,0.02509,0.02495,0.02507,10317,2026-07-23 07:15:00+00:00
1784791200000,0.02507,0.02509,0.02502,0.02507,7413,2026-07-23 07:20:00+00:00
1784791500000,0.02508,0.02509,0.02501,0.02506,9397,2026-07-23 07:25:00+00:00
1784791800000,0.02506,0.02507,0.02499,0.02501,9565,2026-07-23 07:30:00+00:00
1784792100000,0.02501,0.02503,0.02496,0.02496,7848,2026-07-23 07:35:00+00:00
1784792400000,0.02496,0.02502,0.02492,0.02497,6043,2026-07-23 07:40:00+00:00
1784792700000,0.02497,0.02499,0.02494,0.02499,4160,2026-07-23 07:45:00+00:00
1784793000000,0.02499,0.0251,0.02497,0.02506,7977,2026-07-23 07:50:00+00:00
1784793300000,0.02506,0.0251,0.02502,0.02502,4437,2026-07-23 07:55:00+00:00
1784793600000,0.02502,0.02529,0.02501,0.02525,10199,2026-07-23 08:00:00+00:00
1784793900000,0.02525,0.02551,0.02524,0.02542,18152,2026-07-23 08:05:00+00:00
1784794200000,0.02542,0.02557,0.02542,0.02557,7605,2026-07-23 08:10:00+00:00
1784794500000,0.02558,0.02558,0.02545,0.02548,11322,2026-07-23 08:15:00+00:00
1784794800000,0.02549,0.02554,0.02544,0.02546,13782,2026-07-23 08:20:00+00:00
1784795100000,0.02546,0.02552,0.02545,0.02545,6657,2026-07-23 08:25:00+00:00
1784795400000,0.02545,0.02567,0.02545,0.02556,8545,2026-07-23 08:30:00+00:00
1784795700000,0.02556,0.02557,0.02542,0.02545,19196,2026-07-23 08:35:00+00:00
1784796000000,0.02545,0.02553,0.02545,0.02548,7700,2026-07-23 08:40:00+00:00
1784796300000,0.02548,0.02585,0.02546,0.02566,23689,2026-07-23 08:45:00+00:00
1784796600000,0.02568,0.0257,0.02557,0.02557,14519,2026-07-23 08:50:00+00:00
1784796900000,0.02557,0.02563,0.02554,0.02556,7268,2026-07-23 08:55:00+00:00
1784797200000,0.02556,0.02561,0.02539,0.0254,6803,2026-07-23 09:00:00+00:00
1784797500000,0.0254,0.02554,0.02538,0.02544,6418,2026-07-23 09:05:00+00:00
1784797800000,0.02544,0.02557,0.02544,0.02549,5220,2026-07-23 09:10:00+00:00
1784798100000,0.02549,0.02564,0.02549,0.02562,3959,2026-07-23 09:15:00+00:00
1784798400000,0.02563,0.02581,0.02563,0.02573,14255,2026-07-23 09:20:00+00:00
1784798700000,0.02573,0.02579,0.02569,0.02574,19651,2026-07-23 09:25:00+00:00
1784799000000,0.02575,0.02582,0.02571,0.02576,9672,2026-07-23 09:30:00+00:00
1784799300000,0.02575,0.02589,0.02574,0.02586,9667,2026-07-23 09:35:00+00:00
1784799600000,0.02586,0.02612,0.02585,0.026,23158,2026-07-23 09:40:00+00:00
1784799900000,0.02601,0.02628,0.02598,0.02611,23292,2026-07-23 09:45:00+00:00
1784800200000,0.02612,0.02621,0.02601,0.02613,14929,2026-07-23 09:50:00+00:00
1784800500000,0.02612,0.02612,0.02591,0.02592,25624,2026-07-23 09:55:00+00:00
1784800800000,0.02593,0.02597,0.02584,0.0259,14735,2026-07-23 10:00:00+00:00
1784801100000,0.02587,0.02595,0.02585,0.02589,10429,2026-07-23 10:05:00+00:00
1784801400000,0.02589,0.02589,0.02581,0.02588,6817,2026-07-23 10:10:00+00:00
1784801700000,0.02588,0.02595,0.02586,0.02586,4913,2026-07-23 10:15:00+00:00
1784802000000,0.02585,0.02605,0.02581,0.02605,14552,2026-07-23 10:20:00+00:00
1784802300000,0.02604,0.0261,0.02598,0.02598,6941,2026-07-23 10:25:00+00:00
1784802600000,0.02598,0.02598,0.02583,0.02585,11698,2026-07-23 10:30:00+00:00
1784802900000,0.02585,0.02586,0.02576,0.02578,5147,2026-07-23 10:35:00+00:00
1784803200000,0.02578,0.02584,0.02576,0.02578,7700,2026-07-23 10:40:00+00:00
1784803500000,0.02578,0.02579,0.02571,0.02573,10228,2026-07-23 10:45:00+00:00
1784803800000,0.02573,0.02575,0.0256,0.02564,24256,2026-07-23 10:50:00+00:00
1784804100000,0.02565,0.02582,0.02563,0.02579,13209,2026-07-23 10:55:00+00:00
1784804400000,0.02579,0.02581,0.02567,0.02574,14386,2026-07-23 11:00:00+00:00
1784804700000,0.02574,0.02599,0.02573,0.02594,19777,2026-07-23 11:05:00+00:00
1784805000000,0.02594,0.02603,0.02594,0.02601,13885,2026-07-23 11:10:00+00:00
1784805300000,0.02601,0.02613,0.02595,0.02608,8899,2026-07-23 11:15:00+00:00
1784805600000,0.02608,0.02619,0.02603,0.02607,11757,2026-07-23 11:20:00+00:00
