ts,open,high,low,close,volume,open_time
1784787480000,0.0004244,0.0004245,0.0004243,0.0004245,69,2026-07-23 06:18:00+00:00
1784787660000,0.0004241,0.0004241,0.0004241,0.0004241,5,2026-07-23 06:21:00+00:00
1784787840000,0.000424,0.0004245,0.0004237,0.0004245,149,2026-07-23 06:24:00+00:00
1784788020000,0.0004242,0.0004247,0.0004242,0.0004246,263,2026-07-23 06:27:00+00:00
1784788200000,0.0004246,0.0004246,0.000424,0.0004241,1340,2026-07-23 06:30:00+00:00
1784788380000,0.000424,0.000424,0.000424,0.000424,1,2026-07-23 06:33:00+00:00
1784788560000,0.000424,0.000424,0.000424,0.000424,15,2026-07-23 06:36:00+00:00
1784788740000,0.0004239,0.0004242,0.0004239,0.0004242,391,2026-07-23 06:39:00+00:00
1784788920000,0.0004243,0.0004247,0.0004243,0.0004245,368,2026-07-23 06:42:00+00:00
1784789100000,0.0004243,0.0004245,0.0004243,0.0004245,133,2026-07-23 06:45:00+00:00
1784789280000,0.0004245,0.0004247,0.0004245,0.0004247,276,2026-07-23 06:48:00+00:00
1784789460000,0.0004244,0.0004244,0.0004241,0.0004242,218,2026-07-23 06:51:00+00:00
1784789640000,0.0004242,0.0004242,0.000424,0.000424,609,2026-07-23 06:54:00+00:00
1784789820000,0.0004239,0.0004239,0.0004236,0.0004237,11,2026-07-23 06:57:00+00:00
1784790000000,0.0004235,0.0004235,0.0004223,0.0004233,1391,2026-07-23 07:00:00+00:00
1784790180000,0.0004234,0.0004234,0.0004229,0.0004231,102,2026-07-23 07:03:00+00:00
1784790360000,0.0004231,0.0004231,0.0004228,0.0004228,482,2026-07-23 07:06:00+00:00
1784790540000,0.0004227,0.0004227,0.0004205,0.0004205,3865,2026-07-23 07:09:00+00:00
1784790720000,0.0004204,0.0004207,0.0004199,0.0004207,2549,2026-07-23 07:12:00+00:00
1784790900000,0.0004207,0.0004207,0.0004205,0.0004205,70,2026-07-23 07:15:00+00:00
1784791080000,0.0004202,0.0004202,0.0004194,0.0004198,5107,2026-07-23 07:18:00+00:00
1784791260000,0.0004198,0.00042,0.0004198,0.00042,1115,2026-07-23 07:21:00+00:00
1784791440000,0.0004197,0.00042,0.0004197,0.0004198,5360,2026-07-23 07:24:00+00:00
1784791620000,0.0004201,0.0004203,0.0004201,0.0004203,60,2026-07-23 07:27:00+00:00
1784791800000,0.0004201,0.0004202,0.0004198,0.0004198,618,2026-07-23 07:30:00+00:00
1784791980000,0.0004197,0.0004198,0.0004195,0.0004198,599,2026-07-23 07:33:00+00:00
1784792160000,0.0004199,0.0004203,0.0004199,0.0004203,717,2026-07-23 07:36:00+00:00
