ts,open,high,low,close,volume,open_time
1784787300000,65632.1,65667.1,65630,65667.1,5317.45,2026-07-23 06:15:00+00:00
1784787600000,65667.1,65692.3,65588,65607.5,13083.8,2026-07-23 06:20:00+00:00
1784787900000,65607.4,65712,65607.4,65711.9,18729.7,2026-07-23 06:25:00+00:00
1784788200000,65712,65712,65680.6,65680.7,11273.56,2026-07-23 06:30:00+00:00
1784788500000,65680.7,65712.1,65676.2,65705.6,6926.45,2026-07-23 06:35:00+00:00
1784788800000,65705.6,65756.6,65705.6,65738.6,11833.77,2026-07-23 06:40:00+00:00
1784789100000,65738.5,65779.1,65733.4,65763,12045.22,2026-07-23 06:45:00+00:00
1784789400000,65763.1,65784.9,65737.4,65766.3,12900.73,2026-07-23 06:50:00+00:00
1784789700000,65766.3,65766.4,65745.4,65757.1,3485.45,2026-07-23 06:55:00+00:00
1784790000000,65757,65757.1,65650,65675.2,32395.87,2026-07-23 07:00:00+00:00
1784790300000,65675.2,65682.9,65643,65654.2,8370.94,2026-07-23 07:05:00+00:00
1784790600000,65654.2,65661.4,65302.3,65423,220914.87,2026-07-23 07:10:00+00:00
1784790900000,65423,65455,65372.9,65423.2,56994.23,2026-07-23 07:15:00+00:00
1784791200000,65423.3,65436.8,65366.6,65416,36428.07,2026-07-23 07:20:00+00:00
1784791500000,65416,65423.4,65380,65404.5,25313.52,2026-07-23 07:25:00+00:00
1784791800000,65404.5,65429.7,65372.1,65392.2,22269.98,2026-07-23 07:30:00+00:00
1784792100000,65392.2,65423.9,65380.1,65398.7,12682.83,2026-07-23 07:35:00+00:00
1784792400000,65398.8,65406.5,65352.1,65361,24344.85,2026-07-23 07:40:00+00:00
1784792700000,65361,65398.2,65333,65376.2,21481.64,2026-07-23 07:45:00+00:00
1784793000000,65376.3,65390.5,65333,65390.5,16995.65,2026-07-23 07:50:00+00:00
1784793300000,65390.5,65427.4,65390.4,65408.5,16752.27,2026-07-23 07:55:00+00:00
1784793600000,65408.4,65450.8,65379.2,65401.7,52390.49,2026-07-23 08:00:00+00:00
