ts,open,high,low,close,volume,open_time
1784787300000,0.9905,0.9905,0.9843,0.9884,254827,2026-07-23 06:15:00+00:00
1784787600000,0.9884,0.9886,0.986,0.986,87358,2026-07-23 06:20:00+00:00
1784787900000,0.986,0.9897,0.9857,0.9883,106738,2026-07-23 06:25:00+00:00
1784788200000,0.9882,0.9907,0.9875,0.989,139265,2026-07-23 06:30:00+00:00
1784788500000,0.9891,0.9926,0.9887,0.9904,109495,2026-07-23 06:35:00+00:00
1784788800000,0.9904,0.9904,0.9875,0.9885,37445,2026-07-23 06:40:00+00:00
1784789100000,0.9885,0.9892,0.9875,0.9881,31815,2026-07-23 06:45:00+00:00
1784789400000,0.9881,0.9885,0.9862,0.988,62906,2026-07-23 06:50:00+00:00
1784789700000,0.9879,0.9892,0.9865,0.9882,80594,2026-07-23 06:55:00+00:00
1784790000000,0.9881,0.9883,0.9843,0.9852,196191,2026-07-23 07:00:00+00:00
1784790300000,0.9853,0.989,0.9837,0.9884,204031,2026-07-23 07:05:00+00:00
1784790600000,0.9885,0.9962,0.9882,0.9912,334331,2026-07-23 07:10:00+00:00
1784790900000,0.9911,0.9948,0.9902,0.9943,151499,2026-07-23 07:15:00+00:00
1784791200000,0.9942,0.9942,0.9921,0.9931,81883,2026-07-23 07:20:00+00:00
1784791500000,0.9932,0.9958,0.9921,0.9946,140722,2026-07-23 07:25:00+00:00
1784791800000,0.9946,0.9983,0.9934,0.995,288710,2026-07-23 07:30:00+00:00
1784792100000,0.9951,0.9951,0.9925,0.9947,101407,2026-07-23 07:35:00+00:00
1784792400000,0.9947,0.9978,0.9938,0.9961,117247,2026-07-23 07:40:00+00:00
1784792700000,0.9961,0.9975,0.9957,0.9964,111525,2026-07-23 07:45:00+00:00
1784793000000,0.9963,0.9993,0.9944,0.9957,192623,2026-07-23 07:50:00+00:00
1784793300000,0.9957,0.9996,0.9957,0.9971,149751,2026-07-23 07:55:00+00:00
1784793600000,0.9971,0.999,0.9964,0.9972,116853,2026-07-23 08:00:00+00:00
1784793900000,0.9971,0.9992,0.9944,0.9953,130290,2026-07-23 08:05:00+00:00
1784794200000,0.9953,0.9973,0.9937,0.9946,140666,2026-07-23 08:10:00+00:00
1784794500000,0.9945,0.9972,0.9926,0.9942,130484,2026-07-23 08:15:00+00:00
1784794800000,0.9941,0.9945,0.9914,0.9922,68813,2026-07-23 08:20:00+00:00
1784795100000,0.9921,0.9921,0.9865,0.9891,282756,2026-07-23 08:25:00+00:00
1784795400000,0.9891,0.9917,0.9869,0.9907,210111,2026-07-23 08:30:00+00:00
1784795700000,0.9907,0.9907,0.9888,0.9892,77945,2026-07-23 08:35:00+00:00
1784796000000,0.989,0.9907,0.9868,0.9902,96098,2026-07-23 08:40:00+00:00
1784796300000,0.9902,0.9968,0.9902,0.9951,253463,2026-07-23 08:45:00+00:00
1784796600000,0.9951,1,0.9942,0.9972,364061,2026-07-23 08:50:00+00:00
1784796900000,0.9972,1.0034,0.9971,1.0007,397120,2026-07-23 08:55:00+00:00
1784797200000,1.0008,1.0021,0.996,0.9962,219831,2026-07-23 09:00:00+00:00
1784797500000,0.9961,0.9993,0.9948,0.9965,181714,2026-07-23 09:05:00+00:00
1784797800000,0.9965,0.9986,0.995,0.9968,111400,2026-07-23 09:10:00+00:00
1784798100000,0.9968,1.0008,0.9932,0.9999,369872,2026-07-23 09:15:00+00:00
1784798400000,0.9998,1.001,0.9983,0.9999,203840,2026-07-23 09:20:00+00:00
1784798700000,0.9998,1.0021,0.9987,0.9998,148710,2026-07-23 09:25:00+00:00
1784799000000,0.9999,1.0007,0.9982,0.9991,87188,2026-07-23 09:30:00+00:00
1784799300000,0.9991,1.0014,0.9989,0.9996,90870,2026-07-23 09:35:00+00:00
1784799600000,0.9996,1.0019,0.9994,1.0003,140175,2026-07-23 09:40:00+00:00
1784799900000,1.0002,1.0025,0.9989,1.0015,152404,2026-07-23 09:45:00+00:00
1784800200000,1.0016,1.0068,1.0012,1.0041,395850,2026-07-23 09:50:00+00:00
1784800500000,1.004,1.0058,1.0022,1.0026,162438,2026-07-23 09:55:00+00:00
1784800800000,1.0027,1.0053,1.0027,1.0038,142680,2026-07-23 10:00:00+00:00
1784801100000,1.0038,1.0087,1.0028,1.0079,399480,2026-07-23 10:05:00+00:00
1784801400000,1.008,1.0085,1.0062,1.0071,152373,2026-07-23 10:10:00+00:00
1784801700000,1.0071,1.0079,1.0055,1.0058,124634,2026-07-23 10:15:00+00:00
1784802000000,1.0058,1.0064,1.0032,1.0053,208103,2026-07-23 10:20:00+00:00
1784802300000,1.0053,1.0062,1.004,1.0043,69877,2026-07-23 10:25:00+00:00
1784802600000,1.0044,1.0073,1.0043,1.0069,137364,2026-07-23 10:30:00+00:00
1784802900000,1.007,1.0138,1.0063,1.0096,810792,2026-07-23 10:35:00+00:00
1784803200000,1.0096,1.0153,1.0095,1.0142,532086,2026-07-23 10:40:00+00:00
1784803500000,1.0143,1.015,1.0108,1.0126,280139,2026-07-23 10:45:00+00:00
1784803800000,1.0127,1.0163,1.0123,1.0127,277479,2026-07-23 10:50:00+00:00
1784804100000,1.0127,1.035,1.0122,1.0308,2391981,2026-07-23 10:55:00+00:00
1784804400000,1.0307,1.0309,1.0179,1.0244,743391,2026-07-23 11:00:00+00:00
1784804700000,1.0245,1.0297,1.0242,1.0242,314661,2026-07-23 11:05:00+00:00
1784805000000,1.0241,1.0329,1.0239,1.0303,393704,2026-07-23 11:10:00+00:00
1784805300000,1.0302,1.0309,1.0243,1.0261,300224,2026-07-23 11:15:00+00:00
1784805600000,1.0261,1.0263,1.0207,1.0239,259987,2026-07-23 11:20:00+00:00
1784805900000,1.024,1.0288,1.0194,1.0285,270638,2026-07-23 11:25:00+00:00
1784806200000,1.0284,1.0437,1.0282,1.0375,1234248,2026-07-23 11:30:00+00:00
1784806500000,1.0375,1.0383,1.0236,1.024,388035,2026-07-23 11:35:00+00:00
1784806800000,1.0238,1.0246,1.021,1.0235,285926,2026-07-23 11:40:00+00:00
1784807100000,1.0234,1.0242,1.0214,1.0237,131705,2026-07-23 11:45:00+00:00
1784807400000,1.0237,1.025,1.0175,1.0229,304743,2026-07-23 11:50:00+00:00
1784807700000,1.023,1.0287,1.023,1.0242,344380,2026-07-23 11:55:00+00:00
1784808000000,1.0242,1.0836,1.0241,1.0477,7831424,2026-07-23 12:00:00+00:00
1784808300000,1.0477,1.0536,1.0286,1.0462,1647909,2026-07-23 12:05:00+00:00
1784808600000,1.0461,1.0646,1.0451,1.058,2101767,2026-07-23 12:10:00+00:00
1784808900000,1.058,1.0647,1.0521,1.0579,882494,2026-07-23 12:15:00+00:00
1784809200000,1.0579,1.0597,1.044,1.0453,780415,2026-07-23 12:20:00+00:00
1784809500000,1.0453,1.0598,1.0441,1.0514,1092700,2026-07-23 12:25:00+00:00
1784809800000,1.0514,1.0533,1.045,1.0487,528112,2026-07-23 12:30:00+00:00
1784810100000,1.0487,1.0638,1.0487,1.0614,801404,2026-07-23 12:35:00+00:00
1784810400000,1.0614,1.0628,1.0558,1.0575,516392,2026-07-23 12:40:00+00:00
1784810700000,1.0576,1.0576,1.0403,1.0476,1002027,2026-07-23 12:45:00+00:00
1784811000000,1.0476,1.056,1.0459,1.0554,390844,2026-07-23 12:50:00+00:00
1784811300000,1.0554,1.071,1.0518,1.0673,1066075,2026-07-23 12:55:00+00:00
1784811600000,1.0673,1.078,1.0659,1.0748,1239081,2026-07-23 13:00:00+00:00
1784811900000,1.0748,1.0772,1.056,1.0572,1156896,2026-07-23 13:05:00+00:00
1784812200000,1.0572,1.0676,1.0538,1.0671,662529,2026-07-23 13:10:00+00:00
1784812500000,1.0671,1.0709,1.0586,1.0627,576783,2026-07-23 13:15:00+00:00
1784812800000,1.0627,1.0659,1.059,1.0619,321464,2026-07-23 13:20:00+00:00
1784813100000,1.0621,1.0692,1.0602,1.069,346279,2026-07-23 13:25:00+00:00
1784813400000,1.069,1.0819,1.0679,1.0814,1073704,2026-07-23 13:30:00+00:00
1784813700000,1.0813,1.0814,1.0702,1.0733,771266,2026-07-23 13:35:00+00:00
1784814000000,1.073,1.1021,1.0714,1.0833,1811829,2026-07-23 13:40:00+00:00
1784814300000,1.0833,1.0977,1.0791,1.0876,1503552,2026-07-23 13:45:00+00:00
1784814600000,1.0875,1.0917,1.085,1.0894,535536,2026-07-23 13:50:00+00:00
1784814900000,1.0895,1.0983,1.0886,1.0913,1047670,2026-07-23 13:55:00+00:00
1784815200000,1.0915,1.0984,1.0865,1.0933,733223,2026-07-23 14:00:00+00:00
1784815500000,1.0934,1.098,1.085,1.0972,637564,2026-07-23 14:05:00+00:00
1784815800000,1.0973,1.1088,1.0924,1.0991,1254877,2026-07-23 14:10:00+00:00
1784816100000,1.0991,1.1076,1.0969,1.1028,1044402,2026-07-23 14:15:00+00:00
1784816400000,1.1029,1.1039,1.0969,1.0978,524342,2026-07-23 14:20:00+00:00
1784816700000,1.0978,1.1175,1.0962,1.1091,1475619,2026-07-23 14:25:00+00:00
1784817000000,1.1092,1.1112,1.101,1.104,845692,2026-07-23 14:30:00+00:00
1784817300000,1.1041,1.1106,1.0983,1.1077,756437,2026-07-23 14:35:00+00:00
1784817600000,1.1077,1.1089,1.0943,1.0991,1050926,2026-07-23 14:40:00+00:00
1784817900000,1.0991,1.1035,1.0893,1.0905,1033267,2026-07-23 14:45:00+00:00
1784818200000,1.0906,1.0976,1.0873,1.0938,726505,2026-07-23 14:50:00+00:00
1784818500000,1.0938,1.0961,1.0894,1.0903,393748,2026-07-23 14:55:00+00:00
1784818800000,1.0903,1.0947,1.0896,1.0918,420085,2026-07-23 15:00:00+00:00
1784819100000,1.0918,1.1027,1.0907,1.0996,750958,2026-07-23 15:05:00+00:00
1784819400000,1.0995,1.1002,1.0861,1.0932,1423225,2026-07-23 15:10:00+00:00
1784819700000,1.0932,1.0958,1.0755,1.0793,1398664,2026-07-23 15:15:00+00:00
1784820000000,1.0793,1.086,1.0762,1.0807,805065,2026-07-23 15:20:00+00:00
1784820300000,1.0808,1.0842,1.0731,1.0737,755926,2026-07-23 15:25:00+00:00
1784820600000,1.0736,1.0766,1.0655,1.0713,1561642,2026-07-23 15:30:00+00:00
1784820900000,1.0712,1.0731,1.0665,1.0695,630378,2026-07-23 15:35:00+00:00
1784821200000,1.0694,1.0694,1.0516,1.0523,1115484,2026-07-23 15:40:00+00:00
1784821500000,1.0523,1.0617,1.0281,1.0407,2812722,2026-07-23 15:45:00+00:00
1784821800000,1.0407,1.0506,1.0324,1.0391,1293641,2026-07-23 15:50:00+00:00
1784822100000,1.039,1.0399,1.026,1.0289,1147046,2026-07-23 15:55:00+00:00
1784822400000,1.0289,1.0307,1.0156,1.0162,1634081,2026-07-23 16:00:00+00:00
1784822700000,1.0161,1.0478,1.0107,1.0203,2735588,2026-07-23 16:05:00+00:00
1784823000000,1.0203,1.0254,1.0119,1.019,929371,2026-07-23 16:10:00+00:00
1784823300000,1.0189,1.0331,1.0143,1.0273,1180832,2026-07-23 16:15:00+00:00
1784823600000,1.0273,1.0469,1.027,1.0415,1015766,2026-07-23 16:20:00+00:00
1784823900000,1.0417,1.0456,1.0365,1.0428,472181,2026-07-23 16:25:00+00:00
1784824200000,1.0427,1.0457,1.0355,1.0443,402730,2026-07-23 16:30:00+00:00
1784824500000,1.0442,1.0551,1.0419,1.0463,684790,2026-07-23 16:35:00+00:00
1784824800000,1.0462,1.0462,1.0357,1.0385,476340,2026-07-23 16:40:00+00:00
1784825100000,1.0386,1.0496,1.0386,1.0441,279644,2026-07-23 16:45:00+00:00
1784825400000,1.0437,1.045,1.0318,1.0377,413971,2026-07-23 16:50:00+00:00
1784825700000,1.0376,1.0442,1.0361,1.0398,349713,2026-07-23 16:55:00+00:00
1784826000000,1.0398,1.0468,1.037,1.0406,336870,2026-07-23 17:00:00+00:00
1784826300000,1.0406,1.0426,1.0362,1.0423,238786,2026-07-23 17:05:00+00:00
1784826600000,1.0423,1.0434,1.0351,1.0393,182534,2026-07-23 17:10:00+00:00
1784826900000,1.0391,1.0425,1.0374,1.0424,185939,2026-07-23 17:15:00+00:00
1784827200000,1.0423,1.0438,1.0356,1.0359,168447,2026-07-23 17:20:00+00:00
1784827500000,1.0359,1.0359,1.0281,1.0307,511161,2026-07-23 17:25:00+00:00
1784827800000,1.0307,1.0334,1.0251,1.0255,233051,2026-07-23 17:30:00+00:00
1784828100000,1.0255,1.0295,1.0243,1.0275,183636,2026-07-23 17:35:00+00:00
1784828400000,1.0275,1.0302,1.0263,1.0281,124052,2026-07-23 17:40:00+00:00
1784828700000,1.0281,1.0355,1.0263,1.0329,216234,2026-07-23 17:45:00+00:00
1784829000000,1.0329,1.0335,1.0288,1.0298,96124,2026-07-23 17:50:00+00:00
1784829300000,1.0297,1.0319,1.0276,1.0288,102360,2026-07-23 17:55:00+00:00
1784829600000,1.0289,1.0335,1.0281,1.0311,167596,2026-07-23 18:00:00+00:00
1784829900000,1.0311,1.0341,1.0301,1.0339,84483,2026-07-23 18:05:00+00:00
1784830200000,1.034,1.0382,1.0314,1.0317,150235,2026-07-23 18:10:00+00:00
1784830500000,1.0318,1.0325,1.028,1.0301,158970,2026-07-23 18:15:00+00:00
1784830800000,1.0301,1.0338,1.0282,1.0337,74376,2026-07-23 18:20:00+00:00
1784831100000,1.0338,1.0416,1.0319,1.0397,201821,2026-07-23 18:25:00+00:00
1784831400000,1.0397,1.0435,1.0389,1.0406,123109,2026-07-23 18:30:00+00:00
1784831700000,1.0406,1.0427,1.0362,1.0391,150901,2026-07-23 18:35:00+00:00
1784832000000,1.0391,1.0409,1.0345,1.0372,139533,2026-07-23 18:40:00+00:00
1784832300000,1.0372,1.0375,1.034,1.0341,76094,2026-07-23 18:45:00+00:00
1784832600000,1.0341,1.0364,1.0318,1.0318,84090,2026-07-23 18:50:00+00:00
1784832900000,1.0318,1.0323,1.0282,1.0312,151564,2026-07-23 18:55:00+00:00
1784833200000,1.0312,1.0312,1.0265,1.0288,134808,2026-07-23 19:00:00+00:00
1784833500000,1.0289,1.0334,1.0279,1.0328,171290,2026-07-23 19:05:00+00:00
1784833800000,1.0329,1.0357,1.0301,1.0347,146331,2026-07-23 19:10:00+00:00
1784834100000,1.0348,1.0457,1.0344,1.0443,243928,2026-07-23 19:15:00+00:00
1784834400000,1.0444,1.0475,1.0442,1.0466,191635,2026-07-23 19:20:00+00:00
1784834700000,1.0467,1.0523,1.046,1.0512,220555,2026-07-23 19:25:00+00:00
1784835000000,1.0513,1.0595,1.0501,1.0501,487887,2026-07-23 19:30:00+00:00
1784835300000,1.0501,1.0523,1.0467,1.051,176148,2026-07-23 19:35:00+00:00
1784835600000,1.051,1.0517,1.0468,1.0478,97011,2026-07-23 19:40:00+00:00
1784835900000,1.0479,1.0523,1.0451,1.0469,212725,2026-07-23 19:45:00+00:00
1784836200000,1.047,1.0508,1.0453,1.0495,106360,2026-07-23 19:50:00+00:00
1784836500000,1.0495,1.0535,1.0475,1.0524,106002,2026-07-23 19:55:00+00:00
1784836800000,1.0524,1.0535,1.0498,1.0529,119638,2026-07-23 20:00:00+00:00
1784837100000,1.0532,1.0547,1.0493,1.0499,89974,2026-07-23 20:05:00+00:00
1784837400000,1.0499,1.0515,1.0475,1.0484,74319,2026-07-23 20:10:00+00:00
1784837700000,1.0484,1.0526,1.0478,1.0525,53496,2026-07-23 20:15:00+00:00
1784838000000,1.0525,1.0542,1.0516,1.0516,78963,2026-07-23 20:20:00+00:00
1784838300000,1.0517,1.0585,1.049,1.0502,193410,2026-07-23 20:25:00+00:00
1784838600000,1.0502,1.0502,1.0445,1.0483,137803,2026-07-23 20:30:00+00:00
1784838900000,1.0484,1.0484,1.0452,1.0466,87306,2026-07-23 20:35:00+00:00
1784839200000,1.0467,1.0474,1.0403,1.0411,107898,2026-07-23 20:40:00+00:00
1784839500000,1.0411,1.0437,1.0371,1.0413,166300,2026-07-23 20:45:00+00:00
1784839800000,1.0413,1.0431,1.0402,1.0417,53884,2026-07-23 20:50:00+00:00
1784840100000,1.0418,1.0476,1.0413,1.0462,54913,2026-07-23 20:55:00+00:00
1784840400000,1.0463,1.0476,1.044,1.0448,89027,2026-07-23 21:00:00+00:00
1784840700000,1.0449,1.0459,1.043,1.044,70190,2026-07-23 21:05:00+00:00
1784841000000,1.0441,1.0459,1.0413,1.0441,106786,2026-07-23 21:10:00+00:00
1784841300000,1.0441,1.0497,1.0435,1.0464,73994,2026-07-23 21:15:00+00:00
1784841600000,1.0465,1.047,1.0453,1.0457,20318,2026-07-23 21:20:00+00:00
1784841900000,1.0457,1.0512,1.0435,1.0504,80967,2026-07-23 21:25:00+00:00
1784842200000,1.0503,1.0522,1.0471,1.0519,58675,2026-07-23 21:30:00+00:00
1784842500000,1.0519,1.053,1.0469,1.0469,73242,2026-07-23 21:35:00+00:00
1784842800000,1.0469,1.0476,1.046,1.0472,28491,2026-07-23 21:40:00+00:00
1784843100000,1.0471,1.0515,1.0451,1.0503,53333,2026-07-23 21:45:00+00:00
1784843400000,1.0505,1.0517,1.0488,1.0496,31854,2026-07-23 21:50:00+00:00
1784843700000,1.0497,1.0505,1.0478,1.0485,43676,2026-07-23 21:55:00+00:00
1784844000000,1.0486,1.05,1.0461,1.0491,78050,2026-07-23 22:00:00+00:00
1784844300000,1.0492,1.0513,1.0477,1.048,47385,2026-07-23 22:05:00+00:00
1784844600000,1.0479,1.049,1.0469,1.0472,50169,2026-07-23 22:10:00+00:00
1784844900000,1.0473,1.0493,1.0448,1.0492,59826,2026-07-23 22:15:00+00:00
1784845200000,1.0492,1.0526,1.0487,1.0501,73710,2026-07-23 22:20:00+00:00
1784845500000,1.0501,1.051,1.0466,1.0474,75652,2026-07-23 22:25:00+00:00
1784845800000,1.0474,1.0483,1.0437,1.0442,100684,2026-07-23 22:30:00+00:00
1784846100000,1.0441,1.0444,1.0387,1.0423,234656,2026-07-23 22:35:00+00:00
1784846400000,1.0423,1.044,1.0412,1.0424,51222,2026-07-23 22:40:00+00:00
1784846700000,1.0424,1.0431,1.0348,1.0377,135108,2026-07-23 22:45:00+00:00
1784847000000,1.0378,1.0394,1.0366,1.0374,65208,2026-07-23 22:50:00+00:00
1784847300000,1.0375,1.0379,1.0361,1.0364,37860,2026-07-23 22:55:00+00:00
1784847600000,1.0363,1.0392,1.0361,1.0379,77745,2026-07-23 23:00:00+00:00
1784847900000,1.0379,1.0386,1.035,1.0359,70206,2026-07-23 23:05:00+00:00
1784848200000,1.0359,1.0369,1.0322,1.0341,91639,2026-07-23 23:10:00+00:00
1784848500000,1.0341,1.0346,1.0283,1.0287,149400,2026-07-23 23:15:00+00:00
1784848800000,1.0286,1.0302,1.0272,1.0274,124494,2026-07-23 23:20:00+00:00
1784849100000,1.0276,1.0283,1.018,1.0254,370320,2026-07-23 23:25:00+00:00
1784849400000,1.0253,1.0308,1.0245,1.03,153798,2026-07-23 23:30:00+00:00
1784849700000,1.0299,1.0299,1.0219,1.0228,244106,2026-07-23 23:35:00+00:00
1784850000000,1.0228,1.0237,1.0188,1.019,205206,2026-07-23 23:40:00+00:00
1784850300000,1.0191,1.0226,1.0143,1.0169,387198,2026-07-23 23:45:00+00:00
1784850600000,1.017,1.0217,1.0151,1.0168,327451,2026-07-23 23:50:00+00:00
1784850900000,1.0168,1.0202,1.0156,1.0164,126238,2026-07-23 23:55:00+00:00
1784851200000,1.0164,1.0255,1.0084,1.0192,837664,2026-07-24 00:00:00+00:00
1784851500000,1.0193,1.0223,1.0168,1.0203,211728,2026-07-24 00:05:00+00:00
1784851800000,1.0203,1.0216,1.0163,1.0194,165402,2026-07-24 00:10:00+00:00
1784852100000,1.0194,1.0234,1.0111,1.0126,234419,2026-07-24 00:15:00+00:00
1784852400000,1.0126,1.0266,1.0121,1.0244,221748,2026-07-24 00:20:00+00:00
1784852700000,1.0243,1.0243,1.0151,1.0179,208165,2026-07-24 00:25:00+00:00
1784853000000,1.0176,1.0211,1.0144,1.0196,168280,2026-07-24 00:30:00+00:00
1784853300000,1.0195,1.0269,1.0179,1.0263,177840,2026-07-24 00:35:00+00:00
1784853600000,1.0259,1.0259,1.0219,1.0244,96366,2026-07-24 00:40:00+00:00
1784853900000,1.0243,1.029,1.0233,1.0236,184241,2026-07-24 00:45:00+00:00
