ts,open,high,low,close,volume,open_time
1784787300000,0.1716,0.1716,0.1712,0.1714,1437,2026-07-23 06:15:00+00:00
1784787600000,0.1714,0.1715,0.171,0.1715,2821,2026-07-23 06:20:00+00:00
1784787900000,0.1715,0.1716,0.1715,0.1716,347,2026-07-23 06:25:00+00:00
1784788200000,0.1716,0.1716,0.1711,0.1716,944,2026-07-23 06:30:00+00:00
1784788500000,0.1716,0.1716,0.1714,0.1714,253,2026-07-23 06:35:00+00:00
1784788800000,0.1714,0.1715,0.1714,0.1715,469,2026-07-23 06:40:00+00:00
1784789100000,0.1715,0.1715,0.1713,0.1714,1083,2026-07-23 06:45:00+00:00
1784789400000,0.1714,0.1717,0.1714,0.1715,4365,2026-07-23 06:50:00+00:00
1784789700000,0.1715,0.1717,0.1715,0.1717,418,2026-07-23 06:55:00+00:00
1784790000000,0.1717,0.1737,0.1713,0.1732,28417,2026-07-23 07:00:00+00:00
1784790300000,0.1733,0.1733,0.1726,0.1727,12250,2026-07-23 07:05:00+00:00
1784790600000,0.1727,0.1727,0.1725,0.1726,2631,2026-07-23 07:10:00+00:00
1784790900000,0.1726,0.1726,0.171,0.1715,21013,2026-07-23 07:15:00+00:00
1784791200000,0.1715,0.1715,0.1714,0.1714,124,2026-07-23 07:20:00+00:00
1784791500000,0.1714,0.1714,0.1711,0.1712,1042,2026-07-23 07:25:00+00:00
1784791800000,0.1712,0.1716,0.1712,0.1715,1547,2026-07-23 07:30:00+00:00
1784792100000,0.1715,0.1717,0.1711,0.1711,1498,2026-07-23 07:35:00+00:00
1784792400000,0.1711,0.1711,0.1703,0.1708,6264,2026-07-23 07:40:00+00:00
1784792700000,0.1708,0.171,0.1705,0.1707,5546,2026-07-23 07:45:00+00:00
1784793000000,0.1707,0.1708,0.1697,0.1699,3475,2026-07-23 07:50:00+00:00
1784793300000,0.1699,0.17,0.1698,0.17,1183,2026-07-23 07:55:00+00:00
1784793600000,0.17,0.1701,0.1697,0.1701,5114,2026-07-23 08:00:00+00:00
1784793900000,0.1701,0.1702,0.1698,0.1699,1386,2026-07-23 08:05:00+00:00
1784794200000,0.1699,0.1701,0.1697,0.1699,6049,2026-07-23 08:10:00+00:00
1784794500000,0.1699,0.1703,0.1695,0.1699,20544,2026-07-23 08:15:00+00:00
1784794800000,0.17,0.1701,0.1696,0.1698,13214,2026-07-23 08:20:00+00:00
1784795100000,0.1698,0.17,0.1693,0.1697,13450,2026-07-23 08:25:00+00:00
1784795400000,0.1697,0.1697,0.1674,0.1677,70037,2026-07-23 08:30:00+00:00
1784795700000,0.1677,0.1703,0.1674,0.1695,64474,2026-07-23 08:35:00+00:00
1784796000000,0.1695,0.1699,0.1693,0.1697,4612,2026-07-23 08:40:00+00:00
1784796300000,0.1697,0.1699,0.1696,0.1699,8117,2026-07-23 08:45:00+00:00
1784796600000,0.1699,0.1705,0.1696,0.1704,7532,2026-07-23 08:50:00+00:00
1784796900000,0.1705,0.1711,0.1705,0.171,6342,2026-07-23 08:55:00+00:00
1784797200000,0.1711,0.1713,0.1706,0.1706,2118,2026-07-23 09:00:00+00:00
1784797500000,0.1706,0.171,0.1704,0.171,757,2026-07-23 09:05:00+00:00
1784797800000,0.171,0.1711,0.1705,0.1706,4921,2026-07-23 09:10:00+00:00
1784798100000,0.1708,0.1708,0.1706,0.1708,291,2026-07-23 09:15:00+00:00
1784798400000,0.1708,0.1721,0.1708,0.1719,13038,2026-07-23 09:20:00+00:00
