open_time,open,high,low,close,volume
2026-04-29 15:00:00+00:00,0.7765,0.7789,0.7574,0.7612,33367
2026-04-29 15:15:00+00:00,0.7614,0.7637,0.7561,0.7627,14140
2026-04-29 15:30:00+00:00,0.7627,0.7645,0.7521,0.7597,45317
2026-04-29 15:45:00+00:00,0.7597,0.7665,0.7543,0.7606,15468
2026-04-29 16:00:00+00:00,0.7606,0.7622,0.75,0.7505,18937
2026-04-29 16:15:00+00:00,0.75,0.7565,0.7483,0.7523,19220
2026-04-29 16:30:00+00:00,0.7522,0.7636,0.7496,0.7595,11601
2026-04-29 16:45:00+00:00,0.7594,0.7696,0.7584,0.767,9880
2026-04-29 17:00:00+00:00,0.7669,0.7788,0.7666,0.7768,21396
2026-04-29 17:15:00+00:00,0.7769,0.7886,0.7761,0.782,38688
2026-04-29 17:30:00+00:00,0.7818,0.7954,0.7812,0.7954,51441
2026-04-29 17:45:00+00:00,0.7948,0.802,0.7792,0.7931,88128
2026-04-29 18:00:00+00:00,0.7934,0.7947,0.7672,0.7815,84267
2026-04-29 18:15:00+00:00,0.7817,0.7887,0.7731,0.7744,55006
2026-04-29 18:30:00+00:00,0.7745,0.7803,0.7656,0.7772,49345
2026-04-29 18:45:00+00:00,0.7771,0.7775,0.7677,0.7749,16557
2026-04-29 19:00:00+00:00,0.7749,0.7788,0.7687,0.7739,13814
2026-04-29 19:15:00+00:00,0.774,0.7785,0.7715,0.7762,7137
2026-04-29 19:30:00+00:00,0.776,0.776,0.7701,0.7725,4931
2026-04-29 19:45:00+00:00,0.7724,0.7732,0.7675,0.7703,9447
2026-04-29 20:00:00+00:00,0.7704,0.7733,0.7578,0.7604,25347
2026-04-29 20:15:00+00:00,0.7605,0.7666,0.7593,0.7663,6686
2026-04-29 20:30:00+00:00,0.7663,0.7713,0.7649,0.7684,6797
2026-04-29 20:45:00+00:00,0.7684,0.7763,0.7673,0.7732,3962
2026-04-29 21:00:00+00:00,0.7732,0.7819,0.7701,0.7813,11176
2026-04-29 21:15:00+00:00,0.7813,0.7821,0.7723,0.7755,5615
2026-04-29 21:30:00+00:00,0.7755,0.7767,0.7704,0.776,4171
2026-04-29 21:45:00+00:00,0.7757,0.7835,0.7756,0.7781,5565
2026-04-29 22:00:00+00:00,0.7779,0.7841,0.7691,0.7797,10602
2026-04-29 22:15:00+00:00,0.7799,0.781,0.7743,0.776,6736
2026-04-29 22:30:00+00:00,0.7761,0.7813,0.7759,0.78,4475
2026-04-29 22:45:00+00:00,0.7796,0.7796,0.7696,0.7696,6937
2026-04-29 23:00:00+00:00,0.7698,0.774,0.7655,0.7712,6274
2026-04-29 23:15:00+00:00,0.7712,0.7736,0.7642,0.7655,10345
2026-04-29 23:30:00+00:00,0.7654,0.7655,0.7607,0.7626,8378
2026-04-29 23:45:00+00:00,0.7628,0.7651,0.751,0.762,29603
2026-04-30 00:00:00+00:00,0.7622,0.7656,0.728,0.7317,71121
2026-04-30 00:15:00+00:00,0.7315,0.7339,0.7224,0.7273,44707
2026-04-30 00:30:00+00:00,0.7268,0.7357,0.7209,0.7356,23007
2026-04-30 00:45:00+00:00,0.7356,0.742,0.7353,0.739,15157
2026-04-30 01:00:00+00:00,0.7392,0.7414,0.7362,0.7413,11354
2026-04-30 01:15:00+00:00,0.7408,0.7409,0.7353,0.737,5462
2026-04-30 01:30:00+00:00,0.7373,0.7387,0.731,0.7332,8941
2026-04-30 01:45:00+00:00,0.7335,0.7364,0.7319,0.7332,7536
2026-04-30 02:00:00+00:00,0.733,0.7393,0.7313,0.7393,10492
2026-04-30 02:15:00+00:00,0.7393,0.7401,0.7308,0.7324,8041
