open_time,open,high,low,close,volume
2026-04-29 03:15:00+00:00,0.3395,0.3415,0.3395,0.3413,48721
2026-04-29 03:30:00+00:00,0.3414,0.3435,0.3409,0.3432,59671
2026-04-29 03:45:00+00:00,0.3432,0.3438,0.3426,0.3432,65175
2026-04-29 04:00:00+00:00,0.3433,0.3468,0.3418,0.3457,344335
2026-04-29 04:15:00+00:00,0.3457,0.3462,0.3431,0.3443,206757
2026-04-29 04:30:00+00:00,0.3444,0.3462,0.3444,0.3454,88011
2026-04-29 04:45:00+00:00,0.3455,0.3461,0.3446,0.3447,68796
2026-04-29 05:00:00+00:00,0.3447,0.345,0.344,0.3444,53463
2026-04-29 05:15:00+00:00,0.3445,0.3476,0.3445,0.3476,43466
2026-04-29 05:30:00+00:00,0.3476,0.3481,0.3467,0.3471,57285
2026-04-29 05:45:00+00:00,0.347,0.3477,0.3457,0.3457,61912
2026-04-29 06:00:00+00:00,0.3457,0.3461,0.3451,0.3455,27261
2026-04-29 06:15:00+00:00,0.3455,0.3462,0.3451,0.3462,18930
2026-04-29 06:30:00+00:00,0.3463,0.3464,0.3445,0.3448,29636
2026-04-29 06:45:00+00:00,0.3448,0.3448,0.3437,0.3448,55183
2026-04-29 07:00:00+00:00,0.3447,0.3447,0.3431,0.3436,42683
2026-04-29 07:15:00+00:00,0.3435,0.3441,0.3431,0.3437,6728
2026-04-29 07:30:00+00:00,0.3437,0.3444,0.3431,0.3437,37184
2026-04-29 07:45:00+00:00,0.3437,0.344,0.3422,0.3424,74854
2026-04-29 08:00:00+00:00,0.3424,0.343,0.3414,0.3419,41028
2026-04-29 08:15:00+00:00,0.3418,0.3427,0.3416,0.3422,60608
2026-04-29 08:30:00+00:00,0.3421,0.3421,0.341,0.3414,13495
2026-04-29 08:45:00+00:00,0.3415,0.342,0.3408,0.3408,11442
2026-04-29 09:00:00+00:00,0.3408,0.341,0.34,0.3409,24253
2026-04-29 09:15:00+00:00,0.3409,0.3421,0.3408,0.3417,73028
2026-04-29 09:30:00+00:00,0.3415,0.3433,0.3414,0.3422,63201
2026-04-29 09:45:00+00:00,0.3421,0.3438,0.342,0.3434,64151
2026-04-29 10:00:00+00:00,0.3434,0.3457,0.3434,0.3451,93504
2026-04-29 10:15:00+00:00,0.3451,0.3459,0.3448,0.3459,47981
2026-04-29 10:30:00+00:00,0.3458,0.3469,0.3455,0.3462,76878
2026-04-29 10:45:00+00:00,0.3461,0.3473,0.3452,0.3454,58590
2026-04-29 11:00:00+00:00,0.3453,0.3455,0.3432,0.3447,110305
2026-04-29 11:15:00+00:00,0.3447,0.3457,0.3446,0.3449,66131
2026-04-29 11:30:00+00:00,0.3447,0.3449,0.3435,0.3439,16741
2026-04-29 11:45:00+00:00,0.3439,0.3444,0.3425,0.3437,164161
2026-04-29 12:00:00+00:00,0.3438,0.3438,0.3414,0.3414,29865
2026-04-29 12:15:00+00:00,0.3413,0.3423,0.3387,0.3408,193094
2026-04-29 12:30:00+00:00,0.3409,0.3421,0.3391,0.3421,114936
2026-04-29 12:45:00+00:00,0.3422,0.3432,0.3418,0.3428,72327
2026-04-29 13:00:00+00:00,0.3427,0.3433,0.3422,0.3425,52593
2026-04-29 13:15:00+00:00,0.3426,0.3426,0.3402,0.3409,85445
2026-04-29 13:30:00+00:00,0.3407,0.341,0.3391,0.34,45114
2026-04-29 13:45:00+00:00,0.3399,0.3415,0.339,0.3412,93405
2026-04-29 14:00:00+00:00,0.3412,0.3412,0.3395,0.3409,47891
2026-04-29 14:15:00+00:00,0.3408,0.3431,0.3404,0.3422,71385
2026-04-29 14:30:00+00:00,0.3422,0.3427,0.3412,0.3413,32230
2026-04-29 14:45:00+00:00,0.3413,0.3413,0.3393,0.3394,33089
2026-04-29 15:00:00+00:00,0.3394,0.3399,0.3358,0.3362,236569
2026-04-29 15:15:00+00:00,0.3362,0.3394,0.336,0.3392,110269
2026-04-29 15:30:00+00:00,0.339,0.3393,0.3352,0.3352,93783
2026-04-29 15:45:00+00:00,0.3352,0.336,0.3331,0.3351,149286
2026-04-29 16:00:00+00:00,0.335,0.3366,0.3347,0.3361,54531
2026-04-29 16:15:00+00:00,0.3362,0.3364,0.3339,0.3345,31129
2026-04-29 16:30:00+00:00,0.3344,0.3346,0.3335,0.3339,19494
2026-04-29 16:45:00+00:00,0.3338,0.3344,0.3331,0.3339,37050
2026-04-29 17:00:00+00:00,0.334,0.3353,0.334,0.3347,28518
2026-04-29 17:15:00+00:00,0.3346,0.3361,0.3344,0.335,28681
