ts,open,high,low,close,volume,open_time
1785981600000,0.05494,0.05497,0.05486,0.05486,3913,2026-08-06 02:00:00+00:00
1785982500000,0.05486,0.05486,0.05464,0.05466,6061,2026-08-06 02:15:00+00:00
1785983400000,0.05466,0.05472,0.0543,0.05439,19078,2026-08-06 02:30:00+00:00
1785984300000,0.05441,0.05456,0.05441,0.05442,21190,2026-08-06 02:45:00+00:00
1785985200000,0.05442,0.05467,0.05437,0.05466,8644,2026-08-06 03:00:00+00:00
1785986100000,0.05468,0.05491,0.05465,0.05465,16251,2026-08-06 03:15:00+00:00
1785987000000,0.05465,0.05468,0.05451,0.05463,8612,2026-08-06 03:30:00+00:00
1785987900000,0.05462,0.05462,0.05453,0.05455,2247,2026-08-06 03:45:00+00:00
1785988800000,0.05452,0.05487,0.05449,0.05458,31987,2026-08-06 04:00:00+00:00
1785989700000,0.05459,0.05491,0.05459,0.05488,8634,2026-08-06 04:15:00+00:00
1785990600000,0.05488,0.05512,0.05482,0.05489,14010,2026-08-06 04:30:00+00:00
1785991500000,0.05492,0.05507,0.05492,0.05507,3490,2026-08-06 04:45:00+00:00
1785992400000,0.05506,0.05518,0.05504,0.05518,12967,2026-08-06 05:00:00+00:00
1785993300000,0.0552,0.05532,0.05506,0.05507,10142,2026-08-06 05:15:00+00:00
1785994200000,0.05505,0.0552,0.05501,0.05512,19233,2026-08-06 05:30:00+00:00
1785995100000,0.05512,0.05538,0.05511,0.05538,1114,2026-08-06 05:45:00+00:00
1785996000000,0.05538,0.0556,0.05527,0.05549,29089,2026-08-06 06:00:00+00:00
1785996900000,0.0555,0.0557,0.0555,0.05558,5870,2026-08-06 06:15:00+00:00
1785997800000,0.05557,0.05564,0.05542,0.05554,5012,2026-08-06 06:30:00+00:00
1785998700000,0.05555,0.05565,0.05549,0.05562,5606,2026-08-06 06:45:00+00:00
1785999600000,0.05566,0.0558,0.05549,0.05549,15860,2026-08-06 07:00:00+00:00
1786000500000,0.05552,0.05588,0.05552,0.05578,8338,2026-08-06 07:15:00+00:00
1786001400000,0.05586,0.05636,0.05586,0.05608,20438,2026-08-06 07:30:00+00:00
1786002300000,0.0561,0.05617,0.05604,0.05611,5910,2026-08-06 07:45:00+00:00
1786003200000,0.05612,0.05618,0.05594,0.05604,35788,2026-08-06 08:00:00+00:00
