ts,open,high,low,close,volume,open_time
1785981600000,89.02,89.14,88.77,88.77,39759.8,2026-08-06 02:00:00+00:00
1785982500000,88.77,89.09,88.71,88.96,29925.2,2026-08-06 02:15:00+00:00
1785983400000,88.95,89.16,88.29,88.8,82368.0,2026-08-06 02:30:00+00:00
1785984300000,88.79,88.85,88.28,88.47,62272.3,2026-08-06 02:45:00+00:00
1785985200000,88.46,88.48,87.69,88.43,77431.3,2026-08-06 03:00:00+00:00
1785986100000,88.43,88.43,88.18,88.32,28930.6,2026-08-06 03:15:00+00:00
1785987000000,88.32,88.58,88.16,88.49,24583.5,2026-08-06 03:30:00+00:00
1785987900000,88.48,88.68,88.41,88.61,21972.3,2026-08-06 03:45:00+00:00
1785988800000,88.6,88.66,88.32,88.61,12734.9,2026-08-06 04:00:00+00:00
1785989700000,88.61,88.97,88.61,88.9,23796.7,2026-08-06 04:15:00+00:00
1785990600000,88.9,89.17,88.9,89.07,29732.5,2026-08-06 04:30:00+00:00
1785991500000,89.07,89.23,88.97,89.22,8676.7,2026-08-06 04:45:00+00:00
1785992400000,89.22,89.69,89.22,89.52,41647.3,2026-08-06 05:00:00+00:00
1785993300000,89.52,89.69,89.41,89.42,21190.5,2026-08-06 05:15:00+00:00
1785994200000,89.42,89.51,89.19,89.3,25638.4,2026-08-06 05:30:00+00:00
1785995100000,89.3,89.48,89.13,89.41,13661.9,2026-08-06 05:45:00+00:00
1785996000000,89.41,89.41,89.03,89.07,17921.7,2026-08-06 06:00:00+00:00
1785996900000,89.06,89.11,88.55,88.79,77583.5,2026-08-06 06:15:00+00:00
1785997800000,88.8,88.82,88.66,88.79,15108.2,2026-08-06 06:30:00+00:00
1785998700000,88.79,88.81,88.6,88.65,6431.2,2026-08-06 06:45:00+00:00
1785999600000,88.64,88.7,88.52,88.61,14754.1,2026-08-06 07:00:00+00:00
1786000500000,88.61,88.71,88.48,88.48,21941.9,2026-08-06 07:15:00+00:00
1786001400000,88.48,88.62,88.35,88.36,13338.0,2026-08-06 07:30:00+00:00
1786002300000,88.36,88.43,88.26,88.38,17944.6,2026-08-06 07:45:00+00:00
1786003200000,88.38,88.51,88.3,88.36,16504.4,2026-08-06 08:00:00+00:00
1786004100000,88.36,88.5,88.28,88.5,15712.1,2026-08-06 08:15:00+00:00
