ts,open,high,low,close,volume,open_time
1785981600000,0.004397,0.004397,0.00437,0.004378,5951,2026-08-06 02:00:00+00:00
1785982500000,0.004376,0.004376,0.004357,0.004363,10450,2026-08-06 02:15:00+00:00
1785983400000,0.004365,0.004371,0.004359,0.004367,2426,2026-08-06 02:30:00+00:00
1785984300000,0.004367,0.004373,0.004359,0.004373,2699,2026-08-06 02:45:00+00:00
1785985200000,0.004371,0.004401,0.004365,0.0044,9823,2026-08-06 03:00:00+00:00
1785986100000,0.004404,0.004425,0.004404,0.004425,5882,2026-08-06 03:15:00+00:00
1785987000000,0.004422,0.004431,0.004411,0.004431,11057,2026-08-06 03:30:00+00:00
1785987900000,0.004433,0.004455,0.004425,0.004442,7190,2026-08-06 03:45:00+00:00
1785988800000,0.004443,0.004451,0.004421,0.004433,8818,2026-08-06 04:00:00+00:00
1785989700000,0.004434,0.004436,0.004415,0.00442,12112,2026-08-06 04:15:00+00:00
1785990600000,0.004423,0.004425,0.004415,0.004417,4677,2026-08-06 04:30:00+00:00
1785991500000,0.004418,0.004432,0.00441,0.004414,5042,2026-08-06 04:45:00+00:00
1785992400000,0.004412,0.00442,0.004411,0.004414,2937,2026-08-06 05:00:00+00:00
1785993300000,0.004418,0.004429,0.004412,0.004417,3945,2026-08-06 05:15:00+00:00
1785994200000,0.004419,0.004426,0.004409,0.00442,2294,2026-08-06 05:30:00+00:00
1785995100000,0.004421,0.004422,0.004395,0.004408,3653,2026-08-06 05:45:00+00:00
1785996000000,0.004412,0.004461,0.004412,0.004431,23581,2026-08-06 06:00:00+00:00
1785996900000,0.00443,0.004465,0.004415,0.004453,17384,2026-08-06 06:15:00+00:00
1785997800000,0.004452,0.004452,0.004425,0.00443,883,2026-08-06 06:30:00+00:00
1785998700000,0.00443,0.004469,0.004424,0.004452,15443,2026-08-06 06:45:00+00:00
1785999600000,0.004451,0.004462,0.004438,0.004446,6908,2026-08-06 07:00:00+00:00
1786000500000,0.004452,0.004479,0.004452,0.004457,9098,2026-08-06 07:15:00+00:00
1786001400000,0.004457,0.004462,0.00445,0.004462,1379,2026-08-06 07:30:00+00:00
1786002300000,0.004459,0.004464,0.004442,0.004442,10165,2026-08-06 07:45:00+00:00
1786003200000,0.004444,0.004454,0.004435,0.00444,6037,2026-08-06 08:00:00+00:00
1786004100000,0.004438,0.004443,0.004428,0.004435,8031,2026-08-06 08:15:00+00:00
1786005000000,0.004435,0.004458,0.004429,0.00445,9832,2026-08-06 08:30:00+00:00
1786005900000,0.00445,0.004465,0.004447,0.004464,2031,2026-08-06 08:45:00+00:00
1786006800000,0.004461,0.004464,0.004427,0.004436,2749,2026-08-06 09:00:00+00:00
1786007700000,0.004429,0.004457,0.004421,0.004423,14239,2026-08-06 09:15:00+00:00
1786008600000,0.004425,0.004436,0.004416,0.004423,6798,2026-08-06 09:30:00+00:00
1786009500000,0.004426,0.004439,0.004426,0.00443,952,2026-08-06 09:45:00+00:00
1786010400000,0.00443,0.004468,0.00443,0.004457,6951,2026-08-06 10:00:00+00:00
