ts,open,high,low,close,volume,open_time
1785981600000,0.01719,0.01726,0.01719,0.01723,27272,2026-08-06 02:00:00+00:00
1785982500000,0.01722,0.01722,0.01717,0.01722,43922,2026-08-06 02:15:00+00:00
1785983400000,0.01721,0.01722,0.01718,0.01722,14161,2026-08-06 02:30:00+00:00
1785984300000,0.01722,0.01724,0.01721,0.01721,10914,2026-08-06 02:45:00+00:00
1785985200000,0.01722,0.01722,0.01718,0.01718,13867,2026-08-06 03:00:00+00:00
1785986100000,0.01718,0.01718,0.01716,0.01717,28415,2026-08-06 03:15:00+00:00
1785987000000,0.01717,0.01717,0.01714,0.01716,19113,2026-08-06 03:30:00+00:00
1785987900000,0.01716,0.01717,0.01713,0.01714,22783,2026-08-06 03:45:00+00:00
1785988800000,0.01714,0.01714,0.01708,0.01711,28918,2026-08-06 04:00:00+00:00
1785989700000,0.01711,0.01722,0.01711,0.0172,6733,2026-08-06 04:15:00+00:00
1785990600000,0.0172,0.01723,0.01719,0.01719,25084,2026-08-06 04:30:00+00:00
1785991500000,0.0172,0.01724,0.01719,0.01723,53971,2026-08-06 04:45:00+00:00
1785992400000,0.01723,0.01738,0.01721,0.01732,70148,2026-08-06 05:00:00+00:00
1785993300000,0.01732,0.01734,0.01729,0.01729,15720,2026-08-06 05:15:00+00:00
1785994200000,0.01729,0.0173,0.01728,0.0173,2261,2026-08-06 05:30:00+00:00
1785995100000,0.0173,0.01732,0.01729,0.01732,20530,2026-08-06 05:45:00+00:00
1785996000000,0.01734,0.01739,0.01732,0.01734,38758,2026-08-06 06:00:00+00:00
1785996900000,0.01734,0.0174,0.01733,0.01739,8650,2026-08-06 06:15:00+00:00
1785997800000,0.01738,0.01739,0.01735,0.01735,5094,2026-08-06 06:30:00+00:00
1785998700000,0.01736,0.01738,0.01732,0.01738,14736,2026-08-06 06:45:00+00:00
1785999600000,0.01738,0.01738,0.01734,0.01736,6249,2026-08-06 07:00:00+00:00
1786000500000,0.01735,0.01737,0.01732,0.01736,33818,2026-08-06 07:15:00+00:00
1786001400000,0.01735,0.01736,0.01732,0.01732,9288,2026-08-06 07:30:00+00:00
1786002300000,0.01732,0.01732,0.0173,0.0173,8294,2026-08-06 07:45:00+00:00
1786003200000,0.01729,0.0173,0.01727,0.01729,10600,2026-08-06 08:00:00+00:00
1786004100000,0.01728,0.01729,0.01726,0.01729,6283,2026-08-06 08:15:00+00:00
1786005000000,0.01728,0.0174,0.01728,0.0174,32999,2026-08-06 08:30:00+00:00
1786005900000,0.01739,0.01741,0.01737,0.01737,27421,2026-08-06 08:45:00+00:00
1786006800000,0.01737,0.01739,0.01729,0.01729,30474,2026-08-06 09:00:00+00:00
1786007700000,0.01729,0.01731,0.01726,0.01726,24340,2026-08-06 09:15:00+00:00
1786008600000,0.01726,0.01731,0.01721,0.01726,43500,2026-08-06 09:30:00+00:00
1786009500000,0.01724,0.01724,0.01721,0.01724,21535,2026-08-06 09:45:00+00:00
1786010400000,0.01723,0.01723,0.01716,0.01718,54605,2026-08-06 10:00:00+00:00
1786011300000,0.01719,0.01725,0.01719,0.01723,58888,2026-08-06 10:15:00+00:00
1786012200000,0.01723,0.01727,0.01723,0.01726,1744,2026-08-06 10:30:00+00:00
1786013100000,0.01725,0.01725,0.0172,0.01721,9181,2026-08-06 10:45:00+00:00
1786014000000,0.01721,0.01725,0.01717,0.01725,47094,2026-08-06 11:00:00+00:00
1786014900000,0.01725,0.01734,0.01725,0.01734,5448,2026-08-06 11:15:00+00:00
1786015800000,0.01733,0.01735,0.01732,0.01732,4371,2026-08-06 11:30:00+00:00
1786016700000,0.01732,0.01737,0.01731,0.01734,29376,2026-08-06 11:45:00+00:00
1786017600000,0.01734,0.01735,0.0173,0.01734,19647,2026-08-06 12:00:00+00:00
1786018500000,0.01734,0.01739,0.01733,0.01736,16703,2026-08-06 12:15:00+00:00
1786019400000,0.01735,0.01738,0.01734,0.01735,7994,2026-08-06 12:30:00+00:00
1786020300000,0.01735,0.01735,0.01725,0.01725,17499,2026-08-06 12:45:00+00:00
1786021200000,0.01725,0.01728,0.01717,0.0172,52959,2026-08-06 13:00:00+00:00
1786022100000,0.0172,0.01723,0.01719,0.01723,15582,2026-08-06 13:15:00+00:00
1786023000000,0.01723,0.01738,0.0172,0.01738,12916,2026-08-06 13:30:00+00:00
1786023900000,0.01738,0.01742,0.01738,0.0174,7372,2026-08-06 13:45:00+00:00
1786024800000,0.01741,0.01745,0.0174,0.01742,26969,2026-08-06 14:00:00+00:00
1786025700000,0.01741,0.01742,0.01738,0.01739,21230,2026-08-06 14:15:00+00:00
1786026600000,0.01738,0.01749,0.01736,0.01748,19450,2026-08-06 14:30:00+00:00
1786027500000,0.01749,0.01754,0.01746,0.01753,48234,2026-08-06 14:45:00+00:00
1786028400000,0.01754,0.01755,0.01752,0.01752,10274,2026-08-06 15:00:00+00:00
1786029300000,0.01752,0.01754,0.01748,0.01754,20699,2026-08-06 15:15:00+00:00
1786030200000,0.01754,0.01765,0.01753,0.01754,62682,2026-08-06 15:30:00+00:00
1786031100000,0.01754,0.01759,0.01747,0.01748,76350,2026-08-06 15:45:00+00:00
1786032000000,0.01748,0.01756,0.01748,0.01754,20412,2026-08-06 16:00:00+00:00
1786032900000,0.01754,0.01763,0.01754,0.01761,33425,2026-08-06 16:15:00+00:00
1786033800000,0.01762,0.01783,0.01759,0.01779,100036,2026-08-06 16:30:00+00:00
1786034700000,0.01781,0.01787,0.01771,0.01782,200009,2026-08-06 16:45:00+00:00
1786035600000,0.01782,0.01807,0.01777,0.01785,319310,2026-08-06 17:00:00+00:00
1786036500000,0.01784,0.01784,0.01775,0.01775,6337,2026-08-06 17:15:00+00:00
1786037400000,0.01775,0.01776,0.01769,0.01773,18908,2026-08-06 17:30:00+00:00
1786038300000,0.01772,0.01773,0.01765,0.0177,45252,2026-08-06 17:45:00+00:00
1786039200000,0.01769,0.01771,0.01758,0.01765,155744,2026-08-06 18:00:00+00:00
1786040100000,0.01765,0.01765,0.01747,0.01759,84343,2026-08-06 18:15:00+00:00
1786041000000,0.01759,0.01761,0.01751,0.01752,18337,2026-08-06 18:30:00+00:00
1786041900000,0.01752,0.01754,0.01749,0.01753,32275,2026-08-06 18:45:00+00:00
1786042800000,0.01754,0.01765,0.01753,0.01753,99393,2026-08-06 19:00:00+00:00
1786043700000,0.01753,0.01753,0.01749,0.01751,7348,2026-08-06 19:15:00+00:00
1786044600000,0.0175,0.01753,0.01749,0.01749,8667,2026-08-06 19:30:00+00:00
1786045500000,0.01749,0.01756,0.01749,0.01753,20645,2026-08-06 19:45:00+00:00
1786046400000,0.01753,0.01757,0.01752,0.01756,32348,2026-08-06 20:00:00+00:00
1786047300000,0.01755,0.01757,0.01753,0.01757,6376,2026-08-06 20:15:00+00:00
1786048200000,0.01758,0.01761,0.01757,0.01759,9454,2026-08-06 20:30:00+00:00
1786049100000,0.01758,0.0176,0.01758,0.01759,1594,2026-08-06 20:45:00+00:00
1786050000000,0.01759,0.01763,0.01759,0.01761,10432,2026-08-06 21:00:00+00:00
1786050900000,0.01762,0.01764,0.0176,0.01764,78997,2026-08-06 21:15:00+00:00
1786051800000,0.01765,0.01776,0.0176,0.01768,246865,2026-08-06 21:30:00+00:00
1786052700000,0.01769,0.01789,0.01769,0.01782,188217,2026-08-06 21:45:00+00:00
1786053600000,0.01783,0.01785,0.01775,0.01777,18959,2026-08-06 22:00:00+00:00
1786054500000,0.01776,0.01776,0.01766,0.01767,13509,2026-08-06 22:15:00+00:00
1786055400000,0.01768,0.01768,0.01761,0.01761,8868,2026-08-06 22:30:00+00:00
1786056300000,0.01761,0.01761,0.01758,0.01759,10585,2026-08-06 22:45:00+00:00
1786057200000,0.01758,0.01762,0.01758,0.01762,18714,2026-08-06 23:00:00+00:00
1786058100000,0.01763,0.01763,0.01751,0.01754,90946,2026-08-06 23:15:00+00:00
1786059000000,0.01754,0.01755,0.01747,0.0175,31659,2026-08-06 23:30:00+00:00
1786059900000,0.0175,0.01756,0.01746,0.01756,42498,2026-08-06 23:45:00+00:00
1786060800000,0.01755,0.0176,0.01752,0.01756,18019,2026-08-07 00:00:00+00:00
1786061700000,0.01756,0.01758,0.01752,0.01758,13998,2026-08-07 00:15:00+00:00
1786062600000,0.01759,0.01761,0.01757,0.0176,12814,2026-08-07 00:30:00+00:00
1786063500000,0.0176,0.01765,0.0176,0.01764,31699,2026-08-07 00:45:00+00:00
1786064400000,0.01764,0.01768,0.0176,0.0176,10720,2026-08-07 01:00:00+00:00
1786065300000,0.0176,0.01762,0.01755,0.0176,12377,2026-08-07 01:15:00+00:00
1786066200000,0.0176,0.01761,0.01753,0.01757,19157,2026-08-07 01:30:00+00:00
1786067100000,0.01757,0.01758,0.01755,0.01757,23677,2026-08-07 01:45:00+00:00
1786068000000,0.01757,0.01758,0.01751,0.01757,21296,2026-08-07 02:00:00+00:00
1786068900000,0.01757,0.01765,0.01751,0.01751,73179,2026-08-07 02:15:00+00:00
1786069800000,0.01752,0.01756,0.0175,0.01755,16783,2026-08-07 02:30:00+00:00
1786070700000,0.01755,0.01755,0.01747,0.01747,16505,2026-08-07 02:45:00+00:00
1786071600000,0.01746,0.01752,0.01742,0.01742,34895,2026-08-07 03:00:00+00:00
1786072500000,0.01742,0.01744,0.01739,0.01741,19848,2026-08-07 03:15:00+00:00
1786073400000,0.01741,0.01747,0.01739,0.01744,25693,2026-08-07 03:30:00+00:00
1786074300000,0.01744,0.01744,0.01739,0.0174,12715,2026-08-07 03:45:00+00:00
1786075200000,0.01739,0.01739,0.01734,0.01736,24658,2026-08-07 04:00:00+00:00
1786076100000,0.01736,0.01749,0.01736,0.01748,16760,2026-08-07 04:15:00+00:00
1786077000000,0.01747,0.01747,0.01741,0.01744,9972,2026-08-07 04:30:00+00:00
1786077900000,0.01743,0.01745,0.0174,0.01744,28980,2026-08-07 04:45:00+00:00
1786078800000,0.01743,0.01748,0.01743,0.01744,4355,2026-08-07 05:00:00+00:00
1786079700000,0.01744,0.01749,0.01744,0.01747,26340,2026-08-07 05:15:00+00:00
1786080600000,0.01746,0.01748,0.01744,0.01745,3127,2026-08-07 05:30:00+00:00
1786081500000,0.01745,0.01755,0.01745,0.01754,21775,2026-08-07 05:45:00+00:00
1786082400000,0.01753,0.01762,0.01751,0.0176,35132,2026-08-07 06:00:00+00:00
1786083300000,0.0176,0.01761,0.01757,0.01757,9215,2026-08-07 06:15:00+00:00
1786084200000,0.01757,0.0176,0.01756,0.01759,8703,2026-08-07 06:30:00+00:00
1786085100000,0.0176,0.01762,0.01757,0.0176,39351,2026-08-07 06:45:00+00:00
1786086000000,0.01759,0.01759,0.01748,0.01754,54316,2026-08-07 07:00:00+00:00
1786086900000,0.01753,0.01754,0.01751,0.01754,20073,2026-08-07 07:15:00+00:00
1786087800000,0.01753,0.01753,0.01745,0.01745,2722,2026-08-07 07:30:00+00:00
1786088700000,0.01746,0.01748,0.01745,0.01745,12097,2026-08-07 07:45:00+00:00
1786089600000,0.01746,0.01748,0.01745,0.01747,3029,2026-08-07 08:00:00+00:00
1786090500000,0.01748,0.01752,0.01747,0.01749,20859,2026-08-07 08:15:00+00:00
