ts,open,high,low,close,volume,open_time
1785981600000,0.01402,0.01405,0.01401,0.01405,1420,2026-08-06 02:00:00+00:00
1785982500000,0.01403,0.01403,0.01396,0.01396,1591,2026-08-06 02:15:00+00:00
1785983400000,0.01398,0.01398,0.01398,0.01398,66,2026-08-06 02:30:00+00:00
1785984300000,0.01398,0.014,0.01398,0.014,147,2026-08-06 02:45:00+00:00
1785985200000,0.01397,0.01399,0.01397,0.01399,75,2026-08-06 03:00:00+00:00
1785986100000,0.01397,0.01397,0.01396,0.01397,129,2026-08-06 03:15:00+00:00
1785987000000,0.01398,0.01398,0.01394,0.01396,323,2026-08-06 03:30:00+00:00
1785987900000,0.01396,0.01397,0.01396,0.01396,20,2026-08-06 03:45:00+00:00
1785988800000,0.01396,0.01397,0.01393,0.01397,249,2026-08-06 04:00:00+00:00
1785989700000,0.01399,0.01405,0.01399,0.01405,457,2026-08-06 04:15:00+00:00
1785990600000,0.01405,0.01407,0.01404,0.01404,163,2026-08-06 04:30:00+00:00
1785991500000,0.01406,0.01406,0.01397,0.014,3336,2026-08-06 04:45:00+00:00
1785992400000,0.01401,0.01409,0.01401,0.01404,1153,2026-08-06 05:00:00+00:00
1785993300000,0.01408,0.01409,0.01407,0.01409,271,2026-08-06 05:15:00+00:00
1785994200000,0.01406,0.01406,0.01402,0.01404,701,2026-08-06 05:30:00+00:00
1785995100000,0.01404,0.01404,0.01404,0.01404,0,2026-08-06 05:45:00+00:00
1785996000000,0.01402,0.01403,0.01402,0.01403,70,2026-08-06 06:00:00+00:00
1785996900000,0.01401,0.01402,0.014,0.014,376,2026-08-06 06:15:00+00:00
1785997800000,0.014,0.014,0.014,0.014,0,2026-08-06 06:30:00+00:00
1785998700000,0.014,0.014,0.014,0.014,0,2026-08-06 06:45:00+00:00
1785999600000,0.014,0.014,0.014,0.014,0,2026-08-06 07:00:00+00:00
1786000500000,0.01403,0.01403,0.01403,0.01403,10,2026-08-06 07:15:00+00:00
1786001400000,0.01397,0.01397,0.01397,0.01397,2,2026-08-06 07:30:00+00:00
1786002300000,0.01395,0.01396,0.01394,0.01394,19,2026-08-06 07:45:00+00:00
1786003200000,0.01396,0.01397,0.01392,0.01392,154,2026-08-06 08:00:00+00:00
1786004100000,0.01393,0.01393,0.01393,0.01393,1,2026-08-06 08:15:00+00:00
1786005000000,0.01396,0.01396,0.01396,0.01396,1,2026-08-06 08:30:00+00:00
1786005900000,0.01397,0.01401,0.01397,0.01401,1367,2026-08-06 08:45:00+00:00
1786006800000,0.01401,0.01403,0.01397,0.01397,1020,2026-08-06 09:00:00+00:00
1786007700000,0.01398,0.01398,0.01395,0.01395,206,2026-08-06 09:15:00+00:00
1786008600000,0.01394,0.01394,0.01394,0.01394,2,2026-08-06 09:30:00+00:00
1786009500000,0.01395,0.01397,0.01395,0.01395,278,2026-08-06 09:45:00+00:00
1786010400000,0.01394,0.01394,0.01392,0.01394,940,2026-08-06 10:00:00+00:00
1786011300000,0.01394,0.01394,0.01394,0.01394,1,2026-08-06 10:15:00+00:00
1786012200000,0.01393,0.01393,0.01393,0.01393,62,2026-08-06 10:30:00+00:00
1786013100000,0.01392,0.01392,0.01392,0.01392,6,2026-08-06 10:45:00+00:00
1786014000000,0.01389,0.0139,0.01386,0.0139,312,2026-08-06 11:00:00+00:00
1786014900000,0.01392,0.01392,0.01389,0.01389,354,2026-08-06 11:15:00+00:00
1786015800000,0.01389,0.01389,0.01389,0.01389,0,2026-08-06 11:30:00+00:00
1786016700000,0.01391,0.01392,0.01391,0.01391,27,2026-08-06 11:45:00+00:00
1786017600000,0.01392,0.01392,0.01387,0.0139,1344,2026-08-06 12:00:00+00:00
1786018500000,0.0139,0.01394,0.0139,0.01394,186,2026-08-06 12:15:00+00:00
1786019400000,0.01395,0.01395,0.01391,0.01391,261,2026-08-06 12:30:00+00:00
1786020300000,0.0139,0.0139,0.0139,0.0139,60,2026-08-06 12:45:00+00:00
1786021200000,0.01389,0.01389,0.01381,0.01383,169,2026-08-06 13:00:00+00:00
1786022100000,0.01383,0.01385,0.01381,0.01385,1905,2026-08-06 13:15:00+00:00
1786023000000,0.01384,0.01389,0.01384,0.01389,35,2026-08-06 13:30:00+00:00
1786023900000,0.0139,0.0139,0.01389,0.01389,14,2026-08-06 13:45:00+00:00
1786024800000,0.01388,0.01393,0.01388,0.01392,53,2026-08-06 14:00:00+00:00
1786025700000,0.01392,0.01392,0.01391,0.01391,352,2026-08-06 14:15:00+00:00
1786026600000,0.01389,0.01397,0.01388,0.01397,652,2026-08-06 14:30:00+00:00
1786027500000,0.01394,0.01396,0.01394,0.01396,366,2026-08-06 14:45:00+00:00
1786028400000,0.01395,0.01397,0.01395,0.01397,174,2026-08-06 15:00:00+00:00
1786029300000,0.01395,0.01399,0.01395,0.01399,1561,2026-08-06 15:15:00+00:00
1786030200000,0.01401,0.01402,0.01399,0.01399,191,2026-08-06 15:30:00+00:00
1786031100000,0.01398,0.01402,0.01397,0.01397,168,2026-08-06 15:45:00+00:00
1786032000000,0.01398,0.01398,0.01395,0.01395,220,2026-08-06 16:00:00+00:00
1786032900000,0.01395,0.01395,0.01395,0.01395,0,2026-08-06 16:15:00+00:00
1786033800000,0.01396,0.01398,0.01394,0.01396,1381,2026-08-06 16:30:00+00:00
1786034700000,0.01397,0.01399,0.01397,0.01399,294,2026-08-06 16:45:00+00:00
1786035600000,0.01401,0.01402,0.014,0.014,177,2026-08-06 17:00:00+00:00
1786036500000,0.014,0.014,0.014,0.014,0,2026-08-06 17:15:00+00:00
1786037400000,0.01399,0.01399,0.01399,0.01399,76,2026-08-06 17:30:00+00:00
1786038300000,0.01397,0.01397,0.01396,0.01397,164,2026-08-06 17:45:00+00:00
1786039200000,0.01394,0.01394,0.01392,0.01392,187,2026-08-06 18:00:00+00:00
1786040100000,0.01394,0.01398,0.01394,0.01396,97,2026-08-06 18:15:00+00:00
1786041000000,0.01393,0.01393,0.01393,0.01393,2,2026-08-06 18:30:00+00:00
1786041900000,0.01389,0.0139,0.01388,0.01388,383,2026-08-06 18:45:00+00:00
1786042800000,0.0139,0.0139,0.0139,0.0139,25,2026-08-06 19:00:00+00:00
1786043700000,0.0139,0.0139,0.0139,0.0139,0,2026-08-06 19:15:00+00:00
1786044600000,0.0139,0.0139,0.0139,0.0139,10,2026-08-06 19:30:00+00:00
1786045500000,0.01389,0.01392,0.01389,0.0139,406,2026-08-06 19:45:00+00:00
1786046400000,0.01391,0.01392,0.01391,0.01392,78,2026-08-06 20:00:00+00:00
1786047300000,0.01391,0.01391,0.01391,0.01391,5,2026-08-06 20:15:00+00:00
1786048200000,0.0139,0.0139,0.0139,0.0139,12,2026-08-06 20:30:00+00:00
1786049100000,0.01392,0.01392,0.01392,0.01392,74,2026-08-06 20:45:00+00:00
1786050000000,0.01392,0.01392,0.01392,0.01392,2,2026-08-06 21:00:00+00:00
1786050900000,0.01392,0.01392,0.01392,0.01392,0,2026-08-06 21:15:00+00:00
1786051800000,0.01392,0.01393,0.01392,0.01393,7,2026-08-06 21:30:00+00:00
1786052700000,0.01395,0.01396,0.01394,0.01394,215,2026-08-06 21:45:00+00:00
1786053600000,0.01394,0.01395,0.01394,0.01395,85,2026-08-06 22:00:00+00:00
1786054500000,0.01395,0.01395,0.01395,0.01395,0,2026-08-06 22:15:00+00:00
1786055400000,0.01391,0.01391,0.01389,0.01389,500,2026-08-06 22:30:00+00:00
1786056300000,0.01391,0.01391,0.01391,0.01391,6,2026-08-06 22:45:00+00:00
1786057200000,0.01391,0.01391,0.01391,0.01391,0,2026-08-06 23:00:00+00:00
1786058100000,0.01391,0.01391,0.01391,0.01391,0,2026-08-06 23:15:00+00:00
1786059000000,0.0139,0.0139,0.01389,0.01389,74,2026-08-06 23:30:00+00:00
1786059900000,0.01391,0.01393,0.01391,0.01393,13,2026-08-06 23:45:00+00:00
1786060800000,0.01393,0.01393,0.01393,0.01393,1,2026-08-07 00:00:00+00:00
1786061700000,0.01392,0.01394,0.01392,0.01394,14,2026-08-07 00:15:00+00:00
1786062600000,0.01397,0.014,0.01397,0.014,864,2026-08-07 00:30:00+00:00
1786063500000,0.01398,0.01401,0.01398,0.01401,191,2026-08-07 00:45:00+00:00
1786064400000,0.01402,0.01406,0.01402,0.01405,139,2026-08-07 01:00:00+00:00
1786065300000,0.01401,0.01401,0.01398,0.014,603,2026-08-07 01:15:00+00:00
1786066200000,0.014,0.01401,0.01397,0.01397,402,2026-08-07 01:30:00+00:00
1786067100000,0.01397,0.01397,0.01397,0.01397,0,2026-08-07 01:45:00+00:00
1786068000000,0.01397,0.01397,0.01394,0.01396,227,2026-08-07 02:00:00+00:00
1786068900000,0.01397,0.014,0.01397,0.01399,856,2026-08-07 02:15:00+00:00
1786069800000,0.01398,0.01399,0.01398,0.01398,5,2026-08-07 02:30:00+00:00
1786070700000,0.01401,0.01401,0.01401,0.01401,1,2026-08-07 02:45:00+00:00
1786071600000,0.01399,0.01406,0.01399,0.01406,206,2026-08-07 03:00:00+00:00
1786072500000,0.01405,0.01405,0.01405,0.01405,9,2026-08-07 03:15:00+00:00
1786073400000,0.01404,0.01405,0.01402,0.01402,299,2026-08-07 03:30:00+00:00
1786074300000,0.01401,0.01401,0.01399,0.01399,3,2026-08-07 03:45:00+00:00
1786075200000,0.01399,0.01399,0.01396,0.01397,13,2026-08-07 04:00:00+00:00
1786076100000,0.01398,0.014,0.01398,0.014,14,2026-08-07 04:15:00+00:00
1786077000000,0.01399,0.01399,0.01398,0.01398,24,2026-08-07 04:30:00+00:00
1786077900000,0.01399,0.01401,0.01397,0.01397,1294,2026-08-07 04:45:00+00:00
1786078800000,0.01394,0.01394,0.01393,0.01393,25,2026-08-07 05:00:00+00:00
1786079700000,0.01396,0.01397,0.01395,0.01395,74,2026-08-07 05:15:00+00:00
