ts,open,high,low,close,volume,open_time
1785981600000,0.01352,0.01354,0.01351,0.01352,7639,2026-08-06 02:00:00+00:00
1785982500000,0.01352,0.01352,0.01348,0.0135,57578,2026-08-06 02:15:00+00:00
1785983400000,0.0135,0.01352,0.01348,0.0135,72973,2026-08-06 02:30:00+00:00
1785984300000,0.0135,0.01354,0.0135,0.01354,11788,2026-08-06 02:45:00+00:00
1785985200000,0.01354,0.01354,0.01348,0.01348,57819,2026-08-06 03:00:00+00:00
1785986100000,0.01348,0.0135,0.01346,0.01349,22641,2026-08-06 03:15:00+00:00
1785987000000,0.0135,0.01372,0.0135,0.01372,192112,2026-08-06 03:30:00+00:00
1785987900000,0.01372,0.01383,0.01371,0.01379,260472,2026-08-06 03:45:00+00:00
1785988800000,0.0138,0.01384,0.01376,0.01376,185469,2026-08-06 04:00:00+00:00
1785989700000,0.01376,0.01377,0.01371,0.01375,146559,2026-08-06 04:15:00+00:00
1785990600000,0.01375,0.01379,0.01371,0.01371,91511,2026-08-06 04:30:00+00:00
1785991500000,0.01372,0.01384,0.01369,0.01379,1006401,2026-08-06 04:45:00+00:00
1785992400000,0.0138,0.01384,0.01374,0.01383,189936,2026-08-06 05:00:00+00:00
1785993300000,0.01383,0.01395,0.01382,0.01384,228437,2026-08-06 05:15:00+00:00
1785994200000,0.01385,0.01387,0.01378,0.01378,170151,2026-08-06 05:30:00+00:00
1785995100000,0.01377,0.0138,0.01376,0.0138,39497,2026-08-06 05:45:00+00:00
1785996000000,0.01381,0.01385,0.0138,0.01385,68392,2026-08-06 06:00:00+00:00
1785996900000,0.01385,0.0139,0.0138,0.01387,149577,2026-08-06 06:15:00+00:00
1785997800000,0.01388,0.01394,0.01387,0.01394,86100,2026-08-06 06:30:00+00:00
1785998700000,0.01394,0.01405,0.01391,0.01402,255092,2026-08-06 06:45:00+00:00
1785999600000,0.01403,0.01415,0.01402,0.01413,489316,2026-08-06 07:00:00+00:00
1786000500000,0.01412,0.01417,0.01404,0.01413,251863,2026-08-06 07:15:00+00:00
1786001400000,0.01413,0.01414,0.01402,0.01404,184606,2026-08-06 07:30:00+00:00
1786002300000,0.01404,0.01404,0.01398,0.01399,177064,2026-08-06 07:45:00+00:00
1786003200000,0.01398,0.01419,0.01398,0.01419,312443,2026-08-06 08:00:00+00:00
1786004100000,0.0142,0.01473,0.01418,0.01449,4044118,2026-08-06 08:15:00+00:00
1786005000000,0.01447,0.01449,0.01429,0.01444,1088707,2026-08-06 08:30:00+00:00
1786005900000,0.01444,0.01446,0.01412,0.0142,791849,2026-08-06 08:45:00+00:00
1786006800000,0.01421,0.01422,0.01401,0.01404,470947,2026-08-06 09:00:00+00:00
1786007700000,0.01405,0.01425,0.01405,0.01423,380281,2026-08-06 09:15:00+00:00
1786008600000,0.01422,0.01426,0.01414,0.01414,245317,2026-08-06 09:30:00+00:00
1786009500000,0.01413,0.01414,0.014,0.01402,304096,2026-08-06 09:45:00+00:00
1786010400000,0.014,0.01402,0.01392,0.01393,263719,2026-08-06 10:00:00+00:00
1786011300000,0.01393,0.01394,0.01386,0.01389,116014,2026-08-06 10:15:00+00:00
1786012200000,0.0139,0.01391,0.01384,0.01384,64581,2026-08-06 10:30:00+00:00
1786013100000,0.01385,0.01388,0.01381,0.01385,89063,2026-08-06 10:45:00+00:00
1786014000000,0.01383,0.01385,0.01376,0.01384,217914,2026-08-06 11:00:00+00:00
1786014900000,0.01385,0.014,0.01384,0.01399,163368,2026-08-06 11:15:00+00:00
1786015800000,0.01398,0.014,0.01393,0.01398,122431,2026-08-06 11:30:00+00:00
1786016700000,0.01398,0.01403,0.01387,0.01388,195330,2026-08-06 11:45:00+00:00
