ts,open,high,low,close,volume,open_time
1785981600000,593.5,594.1,592.7,593.2,64359,2026-08-06 02:00:00+00:00
1785982500000,593.1,593.5,591.9,592.0,123167,2026-08-06 02:15:00+00:00
1785983400000,591.9,593.0,591.5,593.0,72157,2026-08-06 02:30:00+00:00
1785984300000,593.1,593.3,592.3,593.1,71127,2026-08-06 02:45:00+00:00
1785985200000,593.1,594.1,592.6,593.9,32467,2026-08-06 03:00:00+00:00
1785986100000,593.8,593.9,592.7,593.1,32906,2026-08-06 03:15:00+00:00
1785987000000,593.2,593.8,593.1,593.5,71048,2026-08-06 03:30:00+00:00
1785987900000,593.4,594.3,593.3,594.2,106992,2026-08-06 03:45:00+00:00
1785988800000,594.2,594.9,593.6,594.6,31933,2026-08-06 04:00:00+00:00
1785989700000,594.5,595.7,594.5,595.1,57755,2026-08-06 04:15:00+00:00
1785990600000,595.1,595.3,594.5,594.8,33517,2026-08-06 04:30:00+00:00
1785991500000,594.7,595.4,594.5,595.0,55704,2026-08-06 04:45:00+00:00
1785992400000,595.0,596.8,594.9,596.3,69975,2026-08-06 05:00:00+00:00
1785993300000,596.3,596.9,595.9,596.2,68004,2026-08-06 05:15:00+00:00
1785994200000,596.1,598.0,596.0,597.3,153887,2026-08-06 05:30:00+00:00
1785995100000,597.3,597.4,596.0,596.4,47916,2026-08-06 05:45:00+00:00
1785996000000,596.3,596.4,594.8,594.9,105050,2026-08-06 06:00:00+00:00
1785996900000,594.9,595.4,594.4,594.9,111866,2026-08-06 06:15:00+00:00
1785997800000,594.9,595.1,594.5,594.7,34910,2026-08-06 06:30:00+00:00
1785998700000,594.7,595.0,594.4,594.8,26050,2026-08-06 06:45:00+00:00
1785999600000,594.8,595.3,594.6,595.2,72435,2026-08-06 07:00:00+00:00
1786000500000,595.2,595.8,595.0,595.2,31674,2026-08-06 07:15:00+00:00
1786001400000,595.1,595.7,594.7,594.9,51750,2026-08-06 07:30:00+00:00
1786002300000,595.0,595.3,594.3,594.9,32787,2026-08-06 07:45:00+00:00
1786003200000,595.0,595.2,594.3,594.6,47975,2026-08-06 08:00:00+00:00
1786004100000,594.5,595.1,594.0,594.9,51883,2026-08-06 08:15:00+00:00
1786005000000,594.9,595.3,594.6,594.7,24151,2026-08-06 08:30:00+00:00
1786005900000,594.7,595.8,594.6,595.1,46026,2026-08-06 08:45:00+00:00
1786006800000,595.1,595.3,593.7,594.1,169202,2026-08-06 09:00:00+00:00
1786007700000,594.1,594.8,593.7,594.4,50313,2026-08-06 09:15:00+00:00
1786008600000,594.4,594.6,593.7,593.8,166296,2026-08-06 09:30:00+00:00
1786009500000,593.8,594.3,592.8,594.2,128780,2026-08-06 09:45:00+00:00
1786010400000,594.2,594.5,593.6,593.8,62396,2026-08-06 10:00:00+00:00
1786011300000,593.7,594.5,593.6,594.1,24797,2026-08-06 10:15:00+00:00
1786012200000,594.0,594.1,593.4,593.4,21438,2026-08-06 10:30:00+00:00
