ts,open,high,low,close,volume,open_time
1785981600000,0.3408,0.3416,0.3405,0.3409,9004,2026-08-06 02:00:00+00:00
1785982500000,0.3409,0.3431,0.3403,0.3427,75012,2026-08-06 02:15:00+00:00
1785983400000,0.3426,0.3428,0.342,0.3427,37062,2026-08-06 02:30:00+00:00
1785984300000,0.3428,0.3428,0.3409,0.3409,80636,2026-08-06 02:45:00+00:00
1785985200000,0.3408,0.3408,0.338,0.3386,88685,2026-08-06 03:00:00+00:00
1785986100000,0.3383,0.3389,0.3379,0.3384,45400,2026-08-06 03:15:00+00:00
1785987000000,0.3382,0.3389,0.3377,0.3378,27074,2026-08-06 03:30:00+00:00
1785987900000,0.3377,0.3411,0.3367,0.3392,989432,2026-08-06 03:45:00+00:00
1785988800000,0.3391,0.3395,0.3372,0.3386,509375,2026-08-06 04:00:00+00:00
1785989700000,0.3388,0.3415,0.3388,0.3415,78255,2026-08-06 04:15:00+00:00
1785990600000,0.3415,0.3427,0.3408,0.3408,43354,2026-08-06 04:30:00+00:00
1785991500000,0.3409,0.3409,0.3405,0.3406,1881,2026-08-06 04:45:00+00:00
1785992400000,0.3406,0.3412,0.3401,0.3404,120373,2026-08-06 05:00:00+00:00
1785993300000,0.3405,0.3405,0.3396,0.3404,43892,2026-08-06 05:15:00+00:00
1785994200000,0.3404,0.3404,0.338,0.3393,93116,2026-08-06 05:30:00+00:00
1785995100000,0.3393,0.3415,0.3389,0.339,189248,2026-08-06 05:45:00+00:00
1785996000000,0.339,0.3399,0.3387,0.3399,14506,2026-08-06 06:00:00+00:00
1785996900000,0.3399,0.3402,0.3391,0.34,12081,2026-08-06 06:15:00+00:00
1785997800000,0.34,0.34,0.3388,0.3389,46151,2026-08-06 06:30:00+00:00
1785998700000,0.3389,0.3397,0.3389,0.339,17956,2026-08-06 06:45:00+00:00
1785999600000,0.3389,0.3389,0.3375,0.3377,86307,2026-08-06 07:00:00+00:00
1786000500000,0.3379,0.3383,0.3373,0.3377,76684,2026-08-06 07:15:00+00:00
1786001400000,0.3376,0.3378,0.3367,0.337,18939,2026-08-06 07:30:00+00:00
1786002300000,0.3371,0.3381,0.3367,0.3369,27307,2026-08-06 07:45:00+00:00
1786003200000,0.3371,0.3372,0.3342,0.3345,255883,2026-08-06 08:00:00+00:00
1786004100000,0.3347,0.3375,0.3347,0.337,386681,2026-08-06 08:15:00+00:00
1786005000000,0.3371,0.3372,0.3363,0.3366,17020,2026-08-06 08:30:00+00:00
