ts,open,high,low,close,volume,open_time
1785981600000,0.02487,0.025,0.02487,0.02498,4145,2026-08-06 02:00:00+00:00
1785982500000,0.02494,0.02497,0.02487,0.02492,3691,2026-08-06 02:15:00+00:00
1785983400000,0.02496,0.02506,0.02496,0.02503,4917,2026-08-06 02:30:00+00:00
1785984300000,0.02504,0.02511,0.02504,0.02507,10790,2026-08-06 02:45:00+00:00
1785985200000,0.02508,0.02509,0.02503,0.02504,2548,2026-08-06 03:00:00+00:00
1785986100000,0.02504,0.02505,0.02501,0.02505,2047,2026-08-06 03:15:00+00:00
1785987000000,0.02505,0.02509,0.025,0.02507,4429,2026-08-06 03:30:00+00:00
1785987900000,0.02508,0.02512,0.02502,0.02508,12195,2026-08-06 03:45:00+00:00
1785988800000,0.02507,0.0251,0.02506,0.02506,3901,2026-08-06 04:00:00+00:00
1785989700000,0.02507,0.02514,0.02507,0.02514,5603,2026-08-06 04:15:00+00:00
1785990600000,0.02513,0.02514,0.02505,0.02509,7267,2026-08-06 04:30:00+00:00
1785991500000,0.02508,0.02508,0.02501,0.02505,4231,2026-08-06 04:45:00+00:00
1785992400000,0.02505,0.02511,0.02505,0.02509,2102,2026-08-06 05:00:00+00:00
1785993300000,0.0251,0.0251,0.02506,0.02507,3966,2026-08-06 05:15:00+00:00
1785994200000,0.02507,0.02508,0.02502,0.02508,2089,2026-08-06 05:30:00+00:00
1785995100000,0.02508,0.02517,0.02508,0.02517,1277,2026-08-06 05:45:00+00:00
1785996000000,0.02516,0.02519,0.02509,0.02517,9527,2026-08-06 06:00:00+00:00
1785996900000,0.02516,0.02516,0.02509,0.02516,1166,2026-08-06 06:15:00+00:00
1785997800000,0.02516,0.02524,0.02514,0.02521,10032,2026-08-06 06:30:00+00:00
1785998700000,0.02521,0.02533,0.02518,0.0252,22917,2026-08-06 06:45:00+00:00
1785999600000,0.02519,0.02565,0.02518,0.02565,33459,2026-08-06 07:00:00+00:00
1786000500000,0.02568,0.02574,0.02532,0.02534,42867,2026-08-06 07:15:00+00:00
1786001400000,0.02537,0.0257,0.02536,0.02541,89284,2026-08-06 07:30:00+00:00
1786002300000,0.02541,0.0255,0.02541,0.02545,7841,2026-08-06 07:45:00+00:00
1786003200000,0.02544,0.02596,0.02542,0.02591,32106,2026-08-06 08:00:00+00:00
1786004100000,0.02589,0.02591,0.02571,0.0259,26552,2026-08-06 08:15:00+00:00
1786005000000,0.02588,0.02607,0.02563,0.0259,24365,2026-08-06 08:30:00+00:00
1786005900000,0.02592,0.02609,0.02591,0.02604,9748,2026-08-06 08:45:00+00:00
1786006800000,0.02604,0.02641,0.026,0.02624,36470,2026-08-06 09:00:00+00:00
1786007700000,0.02622,0.02632,0.02593,0.02596,16920,2026-08-06 09:15:00+00:00
1786008600000,0.02596,0.02598,0.02572,0.02575,14289,2026-08-06 09:30:00+00:00
1786009500000,0.02573,0.02575,0.02564,0.02565,13339,2026-08-06 09:45:00+00:00
1786010400000,0.02565,0.02569,0.02547,0.02553,10892,2026-08-06 10:00:00+00:00
1786011300000,0.02555,0.02569,0.02552,0.02567,5389,2026-08-06 10:15:00+00:00
1786012200000,0.02567,0.0257,0.02553,0.02553,10877,2026-08-06 10:30:00+00:00
1786013100000,0.02552,0.02565,0.02547,0.0256,6020,2026-08-06 10:45:00+00:00
1786014000000,0.0256,0.0256,0.02548,0.02553,6390,2026-08-06 11:00:00+00:00
1786014900000,0.02552,0.02563,0.02547,0.02563,6411,2026-08-06 11:15:00+00:00
1786015800000,0.02564,0.02571,0.02555,0.02555,4504,2026-08-06 11:30:00+00:00
1786016700000,0.02554,0.02577,0.02547,0.02574,9944,2026-08-06 11:45:00+00:00
1786017600000,0.02573,0.02612,0.02568,0.02609,35253,2026-08-06 12:00:00+00:00
