ts,open,high,low,close,volume,open_time
1785981600000,6.493,6.511,6.48,6.496,1738.31,2026-08-06 02:00:00+00:00
1785982500000,6.496,6.504,6.481,6.501,1245.12,2026-08-06 02:15:00+00:00
1785983400000,6.5,6.506,6.493,6.499,378.86,2026-08-06 02:30:00+00:00
1785984300000,6.499,6.503,6.491,6.493,455.72,2026-08-06 02:45:00+00:00
1785985200000,6.493,6.5,6.484,6.499,967.83,2026-08-06 03:00:00+00:00
1785986100000,6.499,6.5,6.492,6.496,517.27,2026-08-06 03:15:00+00:00
1785987000000,6.496,6.497,6.489,6.491,377.73,2026-08-06 03:30:00+00:00
1785987900000,6.491,6.498,6.49,6.495,401.51,2026-08-06 03:45:00+00:00
1785988800000,6.495,6.507,6.487,6.503,1383.31,2026-08-06 04:00:00+00:00
1785989700000,6.503,6.539,6.503,6.535,865.63,2026-08-06 04:15:00+00:00
1785990600000,6.535,6.54,6.526,6.53,903.24,2026-08-06 04:30:00+00:00
1785991500000,6.53,6.541,6.525,6.541,759.14,2026-08-06 04:45:00+00:00
1785992400000,6.541,6.561,6.541,6.552,1503.25,2026-08-06 05:00:00+00:00
1785993300000,6.552,6.554,6.533,6.534,1814.4,2026-08-06 05:15:00+00:00
1785994200000,6.534,6.54,6.517,6.523,1937.63,2026-08-06 05:30:00+00:00
1785995100000,6.523,6.534,6.516,6.534,673.24,2026-08-06 05:45:00+00:00
1785996000000,6.533,6.533,6.511,6.514,930.21,2026-08-06 06:00:00+00:00
1785996900000,6.513,6.515,6.5,6.513,712.72,2026-08-06 06:15:00+00:00
1785997800000,6.513,6.525,6.509,6.52,701.11,2026-08-06 06:30:00+00:00
1785998700000,6.52,6.529,6.517,6.525,362.88,2026-08-06 06:45:00+00:00
1785999600000,6.524,6.525,6.513,6.518,342.33,2026-08-06 07:00:00+00:00
1786000500000,6.518,6.528,6.514,6.523,359.11,2026-08-06 07:15:00+00:00
1786001400000,6.523,6.524,6.506,6.509,385.68,2026-08-06 07:30:00+00:00
1786002300000,6.509,6.513,6.506,6.507,246.24,2026-08-06 07:45:00+00:00
1786003200000,6.507,6.512,6.5,6.503,285.02,2026-08-06 08:00:00+00:00
1786004100000,6.503,6.51,6.5,6.507,191.86,2026-08-06 08:15:00+00:00
1786005000000,6.507,6.512,6.503,6.509,662.58,2026-08-06 08:30:00+00:00
1786005900000,6.509,6.526,6.509,6.523,1442.6,2026-08-06 08:45:00+00:00
1786006800000,6.523,6.525,6.446,6.46,4686.33,2026-08-06 09:00:00+00:00
1786007700000,6.46,6.46,6.391,6.421,10764.13,2026-08-06 09:15:00+00:00
1786008600000,6.42,6.429,6.406,6.414,3905.68,2026-08-06 09:30:00+00:00
1786009500000,6.414,6.42,6.403,6.414,2961.01,2026-08-06 09:45:00+00:00
1786010400000,6.413,6.416,6.322,6.331,19749.41,2026-08-06 10:00:00+00:00
1786011300000,6.331,6.353,6.324,6.342,5645.42,2026-08-06 10:15:00+00:00
1786012200000,6.342,6.356,6.33,6.348,3907.84,2026-08-06 10:30:00+00:00
1786013100000,6.348,6.363,6.347,6.359,1749.56,2026-08-06 10:45:00+00:00
1786014000000,6.359,6.36,6.295,6.357,14181.87,2026-08-06 11:00:00+00:00
1786014900000,6.357,6.381,6.357,6.376,1985.04,2026-08-06 11:15:00+00:00
1786015800000,6.376,6.388,6.371,6.388,1152.07,2026-08-06 11:30:00+00:00
1786016700000,6.387,6.388,6.378,6.385,956.52,2026-08-06 11:45:00+00:00
1786017600000,6.385,6.385,6.356,6.368,2911.59,2026-08-06 12:00:00+00:00
1786018500000,6.368,6.383,6.368,6.379,939.9,2026-08-06 12:15:00+00:00
1786019400000,6.379,6.383,6.365,6.372,920.89,2026-08-06 12:30:00+00:00
1786020300000,6.372,6.373,6.353,6.353,350.2,2026-08-06 12:45:00+00:00
1786021200000,6.354,6.358,6.345,6.358,1423.17,2026-08-06 13:00:00+00:00
1786022100000,6.358,6.363,6.352,6.355,587.3,2026-08-06 13:15:00+00:00
1786023000000,6.355,6.375,6.348,6.372,667.17,2026-08-06 13:30:00+00:00
1786023900000,6.372,6.386,6.366,6.38,700.99,2026-08-06 13:45:00+00:00
1786024800000,6.379,6.383,6.371,6.371,894.15,2026-08-06 14:00:00+00:00
1786025700000,6.371,6.378,6.361,6.365,1191.92,2026-08-06 14:15:00+00:00
1786026600000,6.365,6.402,6.36,6.398,1489.34,2026-08-06 14:30:00+00:00
1786027500000,6.398,6.412,6.396,6.411,812.2,2026-08-06 14:45:00+00:00
1786028400000,6.41,6.422,6.403,6.411,1656.83,2026-08-06 15:00:00+00:00
1786029300000,6.411,6.411,6.398,6.408,1341.15,2026-08-06 15:15:00+00:00
1786030200000,6.408,6.411,6.399,6.399,757.08,2026-08-06 15:30:00+00:00
1786031100000,6.399,6.42,6.399,6.405,503.03,2026-08-06 15:45:00+00:00
1786032000000,6.405,6.419,6.401,6.408,940.76,2026-08-06 16:00:00+00:00
1786032900000,6.408,6.417,6.4,6.417,961.56,2026-08-06 16:15:00+00:00
1786033800000,6.417,6.438,6.417,6.435,915.77,2026-08-06 16:30:00+00:00
1786034700000,6.435,6.452,6.426,6.445,576.65,2026-08-06 16:45:00+00:00
1786035600000,6.444,6.458,6.444,6.447,1097.32,2026-08-06 17:00:00+00:00
1786036500000,6.447,6.458,6.446,6.449,786.54,2026-08-06 17:15:00+00:00
1786037400000,6.449,6.453,6.429,6.439,805.12,2026-08-06 17:30:00+00:00
1786038300000,6.439,6.466,6.439,6.463,1161.86,2026-08-06 17:45:00+00:00
1786039200000,6.463,6.472,6.447,6.465,1084.96,2026-08-06 18:00:00+00:00
1786040100000,6.465,6.491,6.461,6.487,1302.22,2026-08-06 18:15:00+00:00
1786041000000,6.487,6.487,6.467,6.475,970.06,2026-08-06 18:30:00+00:00
1786041900000,6.475,6.478,6.455,6.468,836.28,2026-08-06 18:45:00+00:00
1786042800000,6.469,6.483,6.462,6.464,1534.19,2026-08-06 19:00:00+00:00
1786043700000,6.464,6.476,6.461,6.466,732.88,2026-08-06 19:15:00+00:00
1786044600000,6.466,6.482,6.465,6.48,1075.5,2026-08-06 19:30:00+00:00
1786045500000,6.48,6.488,6.463,6.486,1325.85,2026-08-06 19:45:00+00:00
1786046400000,6.485,6.496,6.485,6.491,1129.64,2026-08-06 20:00:00+00:00
1786047300000,6.491,6.527,6.49,6.508,3443.78,2026-08-06 20:15:00+00:00
1786048200000,6.508,6.515,6.498,6.512,1636.61,2026-08-06 20:30:00+00:00
1786049100000,6.512,6.518,6.499,6.515,785.71,2026-08-06 20:45:00+00:00
1786050000000,6.516,6.56,6.516,6.526,5726.81,2026-08-06 21:00:00+00:00
1786050900000,6.525,6.527,6.51,6.518,1923.57,2026-08-06 21:15:00+00:00
1786051800000,6.518,6.546,6.517,6.543,714.92,2026-08-06 21:30:00+00:00
1786052700000,6.542,6.594,6.54,6.568,5948.23,2026-08-06 21:45:00+00:00
1786053600000,6.568,6.575,6.518,6.524,1581.41,2026-08-06 22:00:00+00:00
1786054500000,6.524,6.524,6.499,6.501,835.92,2026-08-06 22:15:00+00:00
1786055400000,6.501,6.509,6.491,6.495,1304.02,2026-08-06 22:30:00+00:00
1786056300000,6.495,6.498,6.49,6.498,343.66,2026-08-06 22:45:00+00:00
1786057200000,6.498,6.501,6.477,6.479,1594.51,2026-08-06 23:00:00+00:00
1786058100000,6.479,6.482,6.466,6.476,1587.12,2026-08-06 23:15:00+00:00
1786059000000,6.476,6.485,6.47,6.484,944.66,2026-08-06 23:30:00+00:00
1786059900000,6.484,6.498,6.482,6.498,695.46,2026-08-06 23:45:00+00:00
1786060800000,6.498,6.504,6.477,6.491,4457.11,2026-08-07 00:00:00+00:00
1786061700000,6.49,6.493,6.479,6.491,993.35,2026-08-07 00:15:00+00:00
1786062600000,6.49,6.49,6.476,6.484,571.22,2026-08-07 00:30:00+00:00
1786063500000,6.484,6.49,6.477,6.483,389.31,2026-08-07 00:45:00+00:00
1786064400000,6.483,6.504,6.483,6.5,1068.11,2026-08-07 01:00:00+00:00
1786065300000,6.5,6.501,6.49,6.493,533.11,2026-08-07 01:15:00+00:00
1786066200000,6.493,6.497,6.475,6.485,834.0,2026-08-07 01:30:00+00:00
1786067100000,6.485,6.488,6.481,6.484,283.96,2026-08-07 01:45:00+00:00
1786068000000,6.484,6.484,6.456,6.482,740.5,2026-08-07 02:00:00+00:00
1786068900000,6.482,6.501,6.482,6.497,1039.16,2026-08-07 02:15:00+00:00
1786069800000,6.496,6.52,6.491,6.508,870.27,2026-08-07 02:30:00+00:00
1786070700000,6.508,6.512,6.498,6.504,652.32,2026-08-07 02:45:00+00:00
1786071600000,6.503,6.514,6.494,6.494,822.82,2026-08-07 03:00:00+00:00
1786072500000,6.494,6.496,6.482,6.486,551.35,2026-08-07 03:15:00+00:00
1786073400000,6.486,6.499,6.486,6.494,201.49,2026-08-07 03:30:00+00:00
1786074300000,6.494,6.499,6.479,6.479,456.96,2026-08-07 03:45:00+00:00
1786075200000,6.479,6.488,6.47,6.483,562.41,2026-08-07 04:00:00+00:00
1786076100000,6.483,6.491,6.481,6.484,425.45,2026-08-07 04:15:00+00:00
1786077000000,6.483,6.49,6.475,6.484,1044.92,2026-08-07 04:30:00+00:00
1786077900000,6.484,6.495,6.48,6.495,981.75,2026-08-07 04:45:00+00:00
1786078800000,6.495,6.526,6.495,6.524,1427.26,2026-08-07 05:00:00+00:00
1786079700000,6.524,6.536,6.499,6.507,1776.86,2026-08-07 05:15:00+00:00
1786080600000,6.506,6.521,6.491,6.521,1843.12,2026-08-07 05:30:00+00:00
1786081500000,6.518,6.549,6.518,6.539,2594.35,2026-08-07 05:45:00+00:00
1786082400000,6.539,6.539,6.517,6.522,1827.02,2026-08-07 06:00:00+00:00
1786083300000,6.522,6.522,6.505,6.51,779.5,2026-08-07 06:15:00+00:00
1786084200000,6.509,6.512,6.503,6.507,627.7,2026-08-07 06:30:00+00:00
1786085100000,6.507,6.521,6.503,6.511,467.64,2026-08-07 06:45:00+00:00
1786086000000,6.51,6.53,6.502,6.52,607.11,2026-08-07 07:00:00+00:00
1786086900000,6.52,6.529,6.515,6.515,633.13,2026-08-07 07:15:00+00:00
1786087800000,6.514,6.523,6.511,6.522,592.38,2026-08-07 07:30:00+00:00
1786088700000,6.52,6.526,6.519,6.526,153.81,2026-08-07 07:45:00+00:00
1786089600000,6.526,6.535,6.517,6.522,568.16,2026-08-07 08:00:00+00:00
1786090500000,6.522,6.525,6.513,6.518,344.86,2026-08-07 08:15:00+00:00
1786091400000,6.518,6.534,6.518,6.528,682.42,2026-08-07 08:30:00+00:00
1786092300000,6.528,6.529,6.517,6.518,420.57,2026-08-07 08:45:00+00:00
1786093200000,6.518,6.52,6.512,6.514,284.16,2026-08-07 09:00:00+00:00
1786094100000,6.514,6.523,6.506,6.516,741.42,2026-08-07 09:15:00+00:00
1786095000000,6.516,6.525,6.508,6.511,334.27,2026-08-07 09:30:00+00:00
1786095900000,6.511,6.512,6.504,6.506,453.45,2026-08-07 09:45:00+00:00
1786096800000,6.506,6.521,6.503,6.513,696.57,2026-08-07 10:00:00+00:00
1786097700000,6.513,6.516,6.501,6.505,579.73,2026-08-07 10:15:00+00:00
1786098600000,6.505,6.509,6.495,6.498,621.05,2026-08-07 10:30:00+00:00
1786099500000,6.498,6.5,6.491,6.491,1119.32,2026-08-07 10:45:00+00:00
1786100400000,6.491,6.507,6.486,6.503,605.21,2026-08-07 11:00:00+00:00
1786101300000,6.502,6.519,6.502,6.514,795.42,2026-08-07 11:15:00+00:00
1786102200000,6.514,6.523,6.505,6.505,1053.5,2026-08-07 11:30:00+00:00
1786103100000,6.505,6.509,6.5,6.504,531.32,2026-08-07 11:45:00+00:00
1786104000000,6.505,6.53,6.505,6.522,1800.5,2026-08-07 12:00:00+00:00
1786104900000,6.522,6.526,6.49,6.502,1543.8,2026-08-07 12:15:00+00:00
1786105800000,6.502,6.538,6.498,6.499,2257.05,2026-08-07 12:30:00+00:00
1786106700000,6.499,6.515,6.499,6.505,521.05,2026-08-07 12:45:00+00:00
