ts,open,high,low,close,volume,open_time
1785981600000,1906.14,1910.27,1903.0,1903.21,235262.47,2026-08-06 02:00:00+00:00
1785982500000,1903.21,1905.17,1894.49,1897.91,1032910.53,2026-08-06 02:15:00+00:00
1785983400000,1897.91,1899.9,1894.05,1899.73,301287.23,2026-08-06 02:30:00+00:00
1785984300000,1899.73,1900.9,1897.11,1898.5,156623.01,2026-08-06 02:45:00+00:00
1785985200000,1898.5,1898.55,1895.72,1897.27,148083.4,2026-08-06 03:00:00+00:00
1785986100000,1897.26,1897.43,1894.51,1896.06,123078.56,2026-08-06 03:15:00+00:00
1785987000000,1896.07,1898.16,1894.95,1896.6,124753.31,2026-08-06 03:30:00+00:00
1785987900000,1896.6,1898.88,1895.34,1898.13,116252.75,2026-08-06 03:45:00+00:00
1785988800000,1898.14,1899.5,1895.0,1898.88,193030.55,2026-08-06 04:00:00+00:00
1785989700000,1898.88,1905.8,1898.88,1905.48,396002.73,2026-08-06 04:15:00+00:00
1785990600000,1905.48,1907.84,1903.69,1904.66,223637.15,2026-08-06 04:30:00+00:00
1785991500000,1904.67,1907.33,1903.7,1906.85,202523.99,2026-08-06 04:45:00+00:00
1785992400000,1906.84,1916.81,1906.32,1913.86,929481.45,2026-08-06 05:00:00+00:00
1785993300000,1913.86,1917.8,1910.06,1910.96,505887.86,2026-08-06 05:15:00+00:00
1785994200000,1910.95,1912.0,1909.22,1912.0,208818.97,2026-08-06 05:30:00+00:00
1785995100000,1912.0,1913.46,1910.37,1913.45,101916.25,2026-08-06 05:45:00+00:00
1785996000000,1913.46,1913.67,1908.77,1909.19,148162.3,2026-08-06 06:00:00+00:00
1785996900000,1909.19,1913.17,1908.5,1912.11,142685.73,2026-08-06 06:15:00+00:00
1785997800000,1912.12,1913.5,1910.87,1912.78,90559.59,2026-08-06 06:30:00+00:00
1785998700000,1912.79,1913.4,1911.57,1912.66,61074.45,2026-08-06 06:45:00+00:00
1785999600000,1912.66,1914.0,1911.05,1913.64,76549.82,2026-08-06 07:00:00+00:00
1786000500000,1913.64,1914.4,1911.52,1911.52,109726.34,2026-08-06 07:15:00+00:00
1786001400000,1911.53,1911.7,1906.67,1907.65,171993.89,2026-08-06 07:30:00+00:00
1786002300000,1907.66,1910.62,1907.0,1908.54,224691.53,2026-08-06 07:45:00+00:00
1786003200000,1908.55,1910.77,1907.55,1908.86,210084.4,2026-08-06 08:00:00+00:00
1786004100000,1908.86,1912.81,1908.22,1912.81,159591.65,2026-08-06 08:15:00+00:00
1786005000000,1912.81,1914.3,1911.04,1912.69,145068.12,2026-08-06 08:30:00+00:00
1786005900000,1912.7,1921.18,1912.51,1915.33,543272.55,2026-08-06 08:45:00+00:00
1786006800000,1915.32,1916.0,1905.14,1907.01,454943.49,2026-08-06 09:00:00+00:00
1786007700000,1907.02,1911.1,1906.22,1908.15,358902.9,2026-08-06 09:15:00+00:00
1786008600000,1908.14,1908.39,1905.25,1905.83,224900.67,2026-08-06 09:30:00+00:00
1786009500000,1905.82,1907.78,1903.9,1907.01,207778.43,2026-08-06 09:45:00+00:00
1786010400000,1907.01,1907.01,1902.3,1902.32,309013.09,2026-08-06 10:00:00+00:00
1786011300000,1902.32,1905.65,1900.68,1904.92,278816.32,2026-08-06 10:15:00+00:00
1786012200000,1904.93,1905.32,1902.81,1903.52,126353.33,2026-08-06 10:30:00+00:00
1786013100000,1903.52,1904.17,1900.79,1901.98,215075.85,2026-08-06 10:45:00+00:00
1786014000000,1901.99,1902.19,1895.61,1901.71,517951.42,2026-08-06 11:00:00+00:00
1786014900000,1901.71,1906.47,1901.7,1904.75,234889.99,2026-08-06 11:15:00+00:00
1786015800000,1904.75,1908.41,1904.69,1908.02,147840.52,2026-08-06 11:30:00+00:00
1786016700000,1908.03,1908.03,1904.85,1906.91,131737.63,2026-08-06 11:45:00+00:00
1786017600000,1906.91,1907.0,1900.5,1900.73,225292.53,2026-08-06 12:00:00+00:00
1786018500000,1900.73,1905.6,1900.51,1904.15,185904.62,2026-08-06 12:15:00+00:00
1786019400000,1904.16,1905.77,1902.19,1903.21,106232.99,2026-08-06 12:30:00+00:00
1786020300000,1903.21,1903.7,1898.1,1898.23,172894.39,2026-08-06 12:45:00+00:00
1786021200000,1898.23,1899.89,1891.21,1895.46,765508.48,2026-08-06 13:00:00+00:00
1786022100000,1895.47,1897.42,1893.66,1897.02,299116.19,2026-08-06 13:15:00+00:00
1786023000000,1897.02,1907.41,1892.43,1905.88,801695.39,2026-08-06 13:30:00+00:00
1786023900000,1905.88,1910.4,1904.1,1906.49,553669.27,2026-08-06 13:45:00+00:00
1786024800000,1906.49,1910.87,1904.02,1907.34,407505.55,2026-08-06 14:00:00+00:00
1786025700000,1907.33,1912.0,1905.47,1905.99,376856.5,2026-08-06 14:15:00+00:00
1786026600000,1906.0,1918.0,1902.09,1914.4,843126.39,2026-08-06 14:30:00+00:00
1786027500000,1914.4,1915.62,1909.57,1914.0,281188.41,2026-08-06 14:45:00+00:00
1786028400000,1914.0,1919.4,1911.64,1914.03,578843.89,2026-08-06 15:00:00+00:00
1786029300000,1914.04,1916.5,1911.37,1915.99,393123.29,2026-08-06 15:15:00+00:00
1786030200000,1916.0,1918.43,1911.64,1912.6,250980.46,2026-08-06 15:30:00+00:00
1786031100000,1912.6,1917.87,1909.03,1909.8,312893.47,2026-08-06 15:45:00+00:00
1786032000000,1909.81,1910.88,1907.54,1908.95,345254.06,2026-08-06 16:00:00+00:00
1786032900000,1908.96,1912.8,1908.32,1910.97,254846.34,2026-08-06 16:15:00+00:00
1786033800000,1910.98,1916.0,1909.4,1914.1,202670.74,2026-08-06 16:30:00+00:00
1786034700000,1914.09,1915.7,1911.76,1914.84,108904.35,2026-08-06 16:45:00+00:00
1786035600000,1914.84,1917.5,1913.66,1913.67,140775.84,2026-08-06 17:00:00+00:00
1786036500000,1913.67,1915.57,1912.58,1913.3,71232.29,2026-08-06 17:15:00+00:00
1786037400000,1913.31,1916.19,1909.4,1911.74,164483.19,2026-08-06 17:30:00+00:00
1786038300000,1911.74,1914.58,1910.25,1913.21,75875.29,2026-08-06 17:45:00+00:00
1786039200000,1913.21,1913.4,1908.08,1910.66,122475.41,2026-08-06 18:00:00+00:00
1786040100000,1910.66,1913.26,1909.0,1910.77,69249.57,2026-08-06 18:15:00+00:00
1786041000000,1910.77,1910.9,1904.38,1905.01,194994.06,2026-08-06 18:30:00+00:00
1786041900000,1905.01,1906.91,1903.13,1905.28,157548.49,2026-08-06 18:45:00+00:00
1786042800000,1905.29,1908.41,1905.07,1907.42,98557.75,2026-08-06 19:00:00+00:00
1786043700000,1907.42,1908.92,1905.66,1906.0,83836.79,2026-08-06 19:15:00+00:00
1786044600000,1906.01,1908.06,1905.35,1907.55,59414.19,2026-08-06 19:30:00+00:00
1786045500000,1907.55,1910.45,1906.51,1909.02,89195.72,2026-08-06 19:45:00+00:00
1786046400000,1909.03,1910.02,1908.31,1908.9,52249.62,2026-08-06 20:00:00+00:00
1786047300000,1908.9,1909.26,1905.4,1906.19,72314.78,2026-08-06 20:15:00+00:00
1786048200000,1906.19,1908.19,1905.0,1907.02,33850.84,2026-08-06 20:30:00+00:00
1786049100000,1907.01,1907.01,1905.82,1906.26,43505.87,2026-08-06 20:45:00+00:00
1786050000000,1906.27,1908.4,1905.72,1907.54,62868.78,2026-08-06 21:00:00+00:00
1786050900000,1907.54,1908.81,1906.2,1906.72,43223.83,2026-08-06 21:15:00+00:00
1786051800000,1906.73,1908.18,1905.09,1906.67,46241.59,2026-08-06 21:30:00+00:00
1786052700000,1906.67,1906.78,1905.2,1905.37,29704.34,2026-08-06 21:45:00+00:00
1786053600000,1905.37,1906.66,1902.5,1906.34,77084.36,2026-08-06 22:00:00+00:00
1786054500000,1906.34,1906.61,1901.77,1903.41,76649.19,2026-08-06 22:15:00+00:00
1786055400000,1903.41,1903.99,1901.6,1902.5,67651.2,2026-08-06 22:30:00+00:00
1786056300000,1902.5,1904.72,1902.3,1904.16,43102.84,2026-08-06 22:45:00+00:00
1786057200000,1904.15,1905.2,1903.2,1904.14,40403.74,2026-08-06 23:00:00+00:00
1786058100000,1904.14,1904.48,1899.1,1900.84,225584.13,2026-08-06 23:15:00+00:00
1786059000000,1900.85,1901.39,1898.05,1899.36,116894.67,2026-08-06 23:30:00+00:00
1786059900000,1899.37,1903.81,1898.59,1903.35,122288.82,2026-08-06 23:45:00+00:00
1786060800000,1903.35,1904.61,1899.77,1900.38,129159.72,2026-08-07 00:00:00+00:00
1786061700000,1900.39,1902.0,1899.0,1901.0,139246.78,2026-08-07 00:15:00+00:00
1786062600000,1901.01,1903.91,1899.26,1902.68,130573.22,2026-08-07 00:30:00+00:00
1786063500000,1902.68,1903.9,1901.0,1903.06,75030.06,2026-08-07 00:45:00+00:00
1786064400000,1903.05,1906.8,1902.3,1902.72,200554.33,2026-08-07 01:00:00+00:00
1786065300000,1902.73,1904.9,1901.53,1904.46,100312.78,2026-08-07 01:15:00+00:00
1786066200000,1904.47,1905.5,1898.22,1901.32,223414.71,2026-08-07 01:30:00+00:00
1786067100000,1901.33,1904.35,1900.82,1902.61,79903.74,2026-08-07 01:45:00+00:00
1786068000000,1902.61,1903.16,1896.38,1901.96,175454.42,2026-08-07 02:00:00+00:00
1786068900000,1901.96,1908.0,1899.66,1899.75,384192.71,2026-08-07 02:15:00+00:00
1786069800000,1899.75,1902.29,1898.73,1901.86,153322.2,2026-08-07 02:30:00+00:00
1786070700000,1901.86,1904.32,1901.59,1902.0,116005.93,2026-08-07 02:45:00+00:00
1786071600000,1902.01,1903.22,1899.7,1900.41,86718.62,2026-08-07 03:00:00+00:00
1786072500000,1900.4,1900.99,1898.2,1899.49,123732.36,2026-08-07 03:15:00+00:00
1786073400000,1899.5,1901.43,1898.5,1899.24,71917.06,2026-08-07 03:30:00+00:00
1786074300000,1899.25,1900.0,1895.39,1896.78,186070.74,2026-08-07 03:45:00+00:00
1786075200000,1896.78,1899.36,1895.15,1898.1,186536.84,2026-08-07 04:00:00+00:00
1786076100000,1898.1,1900.0,1897.0,1898.37,111362.73,2026-08-07 04:15:00+00:00
1786077000000,1898.36,1899.98,1897.08,1897.69,84954.55,2026-08-07 04:30:00+00:00
1786077900000,1897.68,1898.05,1893.5,1896.65,300450.71,2026-08-07 04:45:00+00:00
1786078800000,1896.65,1897.95,1895.33,1897.08,113583.62,2026-08-07 05:00:00+00:00
1786079700000,1897.08,1897.36,1895.2,1895.7,96521.87,2026-08-07 05:15:00+00:00
1786080600000,1895.7,1898.0,1894.68,1897.26,105631.95,2026-08-07 05:30:00+00:00
1786081500000,1897.27,1901.87,1897.07,1900.7,204315.9,2026-08-07 05:45:00+00:00
1786082400000,1900.7,1903.17,1899.09,1903.16,185528.39,2026-08-07 06:00:00+00:00
1786083300000,1903.17,1906.66,1902.43,1904.9,467770.94,2026-08-07 06:15:00+00:00
1786084200000,1904.9,1905.8,1902.95,1903.86,200337.02,2026-08-07 06:30:00+00:00
1786085100000,1903.87,1904.67,1902.06,1903.69,93563.44,2026-08-07 06:45:00+00:00
1786086000000,1903.69,1906.45,1901.5,1905.47,195260.84,2026-08-07 07:00:00+00:00
1786086900000,1905.46,1906.2,1904.37,1904.71,122183.84,2026-08-07 07:15:00+00:00
1786087800000,1904.71,1904.75,1902.2,1902.64,90592.06,2026-08-07 07:30:00+00:00
1786088700000,1902.64,1903.13,1901.6,1901.61,63711.22,2026-08-07 07:45:00+00:00
1786089600000,1901.61,1905.9,1901.13,1905.49,163695.24,2026-08-07 08:00:00+00:00
1786090500000,1905.5,1906.2,1903.92,1905.31,126527.68,2026-08-07 08:15:00+00:00
1786091400000,1905.32,1914.33,1905.0,1912.28,461713.82,2026-08-07 08:30:00+00:00
1786092300000,1912.28,1912.28,1908.32,1909.75,191057.64,2026-08-07 08:45:00+00:00
1786093200000,1909.75,1913.97,1909.63,1911.3,250592.01,2026-08-07 09:00:00+00:00
1786094100000,1911.31,1914.25,1909.68,1910.42,417800.96,2026-08-07 09:15:00+00:00
1786095000000,1910.43,1917.21,1909.65,1915.2,492905.21,2026-08-07 09:30:00+00:00
1786095900000,1915.19,1915.73,1912.34,1912.48,160820.79,2026-08-07 09:45:00+00:00
1786096800000,1912.48,1915.2,1911.93,1914.29,123381.67,2026-08-07 10:00:00+00:00
1786097700000,1914.29,1914.29,1912.13,1913.93,61606.3,2026-08-07 10:15:00+00:00
1786098600000,1913.94,1914.03,1911.33,1912.78,81963.09,2026-08-07 10:30:00+00:00
1786099500000,1912.78,1913.97,1911.35,1911.93,59914.16,2026-08-07 10:45:00+00:00
1786100400000,1911.92,1916.3,1911.78,1915.15,166377.18,2026-08-07 11:00:00+00:00
1786101300000,1915.14,1920.52,1913.46,1916.05,524907.51,2026-08-07 11:15:00+00:00
1786102200000,1916.05,1916.94,1914.6,1915.5,109597.49,2026-08-07 11:30:00+00:00
1786103100000,1915.51,1916.0,1913.91,1915.58,67894.63,2026-08-07 11:45:00+00:00
1786104000000,1915.58,1937.16,1915.58,1933.06,2049577.59,2026-08-07 12:00:00+00:00
1786104900000,1933.06,1933.66,1927.13,1932.33,774014.98,2026-08-07 12:15:00+00:00
1786105800000,1932.32,1944.0,1921.41,1928.05,1878521.3,2026-08-07 12:30:00+00:00
1786106700000,1928.04,1935.17,1928.04,1931.15,453439.2,2026-08-07 12:45:00+00:00
1786107600000,1931.14,1933.0,1927.39,1928.04,251572.6,2026-08-07 13:00:00+00:00
1786108500000,1928.03,1930.63,1925.02,1927.2,247808.81,2026-08-07 13:15:00+00:00
1786109400000,1927.21,1933.99,1925.4,1931.5,478269.47,2026-08-07 13:30:00+00:00
1786110300000,1931.5,1931.85,1920.4,1922.61,656723.59,2026-08-07 13:45:00+00:00
1786111200000,1922.61,1922.63,1909.48,1911.47,1460096.89,2026-08-07 14:00:00+00:00
1786112100000,1911.46,1924.0,1909.33,1922.76,748321.98,2026-08-07 14:15:00+00:00
1786113000000,1922.76,1925.8,1916.36,1917.1,577614.53,2026-08-07 14:30:00+00:00
1786113900000,1917.11,1920.0,1910.39,1912.8,469240.22,2026-08-07 14:45:00+00:00
1786114800000,1912.8,1918.9,1912.11,1914.71,281382.98,2026-08-07 15:00:00+00:00
1786115700000,1914.71,1917.94,1913.22,1915.94,152909.48,2026-08-07 15:15:00+00:00
1786116600000,1915.95,1920.6,1915.4,1919.35,284969.64,2026-08-07 15:30:00+00:00
1786117500000,1919.35,1919.76,1916.23,1917.14,144720.39,2026-08-07 15:45:00+00:00
1786118400000,1917.14,1924.34,1917.14,1922.2,400074.18,2026-08-07 16:00:00+00:00
1786119300000,1922.21,1923.14,1912.44,1914.15,479740.87,2026-08-07 16:15:00+00:00
1786120200000,1914.15,1915.57,1911.04,1914.55,192116.87,2026-08-07 16:30:00+00:00
1786121100000,1914.55,1915.79,1908.41,1908.71,258113.02,2026-08-07 16:45:00+00:00
1786122000000,1908.71,1910.77,1902.72,1906.39,574998.05,2026-08-07 17:00:00+00:00
1786122900000,1906.38,1909.94,1905.41,1907.29,156331.09,2026-08-07 17:15:00+00:00
1786123800000,1907.29,1911.76,1904.0,1911.2,258780.2,2026-08-07 17:30:00+00:00
1786124700000,1911.21,1912.79,1906.4,1911.67,310760.5,2026-08-07 17:45:00+00:00
1786125600000,1911.66,1914.65,1911.09,1913.11,216248.97,2026-08-07 18:00:00+00:00
1786126500000,1913.1,1914.41,1911.67,1911.71,113851.37,2026-08-07 18:15:00+00:00
1786127400000,1911.71,1913.12,1907.15,1907.15,85464.93,2026-08-07 18:30:00+00:00
1786128300000,1907.16,1909.73,1905.5,1909.04,159998.23,2026-08-07 18:45:00+00:00
1786129200000,1909.04,1914.0,1909.04,1912.85,207772.35,2026-08-07 19:00:00+00:00
1786130100000,1912.84,1917.63,1912.84,1916.1,226413.19,2026-08-07 19:15:00+00:00
1786131000000,1916.1,1918.47,1915.8,1917.32,140829.31,2026-08-07 19:30:00+00:00
1786131900000,1917.31,1919.56,1916.3,1917.87,118462.38,2026-08-07 19:45:00+00:00
1786132800000,1917.87,1919.99,1916.4,1917.69,95713.95,2026-08-07 20:00:00+00:00
1786133700000,1917.69,1917.69,1915.25,1916.0,39898.92,2026-08-07 20:15:00+00:00
1786134600000,1916.01,1916.01,1914.32,1914.54,62323.48,2026-08-07 20:30:00+00:00
1786135500000,1914.53,1914.96,1913.27,1913.93,43344.65,2026-08-07 20:45:00+00:00
1786136400000,1913.93,1915.0,1913.15,1914.02,45049.09,2026-08-07 21:00:00+00:00
1786137300000,1914.02,1915.44,1911.76,1912.99,71528.95,2026-08-07 21:15:00+00:00
1786138200000,1912.98,1922.9,1912.76,1917.39,333713.71,2026-08-07 21:30:00+00:00
1786139100000,1917.39,1917.48,1915.36,1915.73,40191.81,2026-08-07 21:45:00+00:00
1786140000000,1915.73,1915.81,1913.93,1914.74,42557.07,2026-08-07 22:00:00+00:00
1786140900000,1914.74,1915.74,1914.3,1914.36,19912.73,2026-08-07 22:15:00+00:00
1786141800000,1914.36,1914.8,1912.95,1913.57,35469.26,2026-08-07 22:30:00+00:00
1786142700000,1913.57,1914.08,1913.38,1913.96,26918.69,2026-08-07 22:45:00+00:00
1786143600000,1913.95,1915.45,1913.9,1915.19,30842.08,2026-08-07 23:00:00+00:00
1786144500000,1915.19,1915.2,1913.82,1914.11,20531.55,2026-08-07 23:15:00+00:00
1786145400000,1914.1,1915.23,1913.91,1915.09,22693.67,2026-08-07 23:30:00+00:00
1786146300000,1915.1,1915.64,1912.96,1912.97,62089.11,2026-08-07 23:45:00+00:00
1786147200000,1912.96,1914.02,1911.5,1913.55,76769.52,2026-08-08 00:00:00+00:00
1786148100000,1913.56,1913.56,1911.5,1913.36,36111.81,2026-08-08 00:15:00+00:00
1786149000000,1913.36,1913.89,1913.33,1913.79,27568.23,2026-08-08 00:30:00+00:00
1786149900000,1913.8,1913.98,1913.22,1913.66,31531.83,2026-08-08 00:45:00+00:00
1786150800000,1913.66,1914.45,1913.23,1914.12,66860.1,2026-08-08 01:00:00+00:00
1786151700000,1914.13,1915.57,1913.5,1914.0,55734.87,2026-08-08 01:15:00+00:00
1786152600000,1914.0,1915.09,1914.0,1914.77,39131.66,2026-08-08 01:30:00+00:00
1786153500000,1914.78,1914.78,1913.66,1914.04,28701.08,2026-08-08 01:45:00+00:00
1786154400000,1914.04,1914.04,1912.39,1912.54,56722.29,2026-08-08 02:00:00+00:00
1786155300000,1912.54,1912.75,1911.36,1912.61,52698.3,2026-08-08 02:15:00+00:00
1786156200000,1912.6,1913.83,1912.34,1912.34,56778.12,2026-08-08 02:30:00+00:00
1786157100000,1912.35,1912.43,1911.81,1912.34,28859.68,2026-08-08 02:45:00+00:00
1786158000000,1912.35,1913.7,1912.27,1913.51,56949.38,2026-08-08 03:00:00+00:00
1786158900000,1913.5,1915.7,1913.5,1915.7,74211.4,2026-08-08 03:15:00+00:00
1786159800000,1915.69,1918.45,1915.69,1916.53,150551.55,2026-08-08 03:30:00+00:00
