ts,open,high,low,close,volume,open_time
1785981600000,2.05e-05,2.056e-05,2.049e-05,2.052e-05,857,2026-08-06 02:00:00+00:00
1785982500000,2.051e-05,2.051e-05,2.044e-05,2.047e-05,5002,2026-08-06 02:15:00+00:00
1785983400000,2.046e-05,2.051e-05,2.045e-05,2.051e-05,7399,2026-08-06 02:30:00+00:00
1785984300000,2.052e-05,2.052e-05,2.049e-05,2.05e-05,1107,2026-08-06 02:45:00+00:00
1785985200000,2.049e-05,2.049e-05,2.046e-05,2.049e-05,646,2026-08-06 03:00:00+00:00
1785986100000,2.048e-05,2.049e-05,2.045e-05,2.048e-05,2198,2026-08-06 03:15:00+00:00
1785987000000,2.048e-05,2.049e-05,2.047e-05,2.048e-05,292,2026-08-06 03:30:00+00:00
1785987900000,2.047e-05,2.05e-05,2.045e-05,2.05e-05,1651,2026-08-06 03:45:00+00:00
1785988800000,2.048e-05,2.051e-05,2.047e-05,2.051e-05,635,2026-08-06 04:00:00+00:00
1785989700000,2.052e-05,2.062e-05,2.052e-05,2.06e-05,690,2026-08-06 04:15:00+00:00
1785990600000,2.06e-05,2.063e-05,2.059e-05,2.059e-05,1226,2026-08-06 04:30:00+00:00
1785991500000,2.059e-05,2.061e-05,2.058e-05,2.061e-05,751,2026-08-06 04:45:00+00:00
1785992400000,2.062e-05,2.073e-05,2.062e-05,2.07e-05,3904,2026-08-06 05:00:00+00:00
1785993300000,2.07e-05,2.074e-05,2.069e-05,2.069e-05,4566,2026-08-06 05:15:00+00:00
1785994200000,2.069e-05,2.073e-05,2.066e-05,2.069e-05,5388,2026-08-06 05:30:00+00:00
1785995100000,2.069e-05,2.07e-05,2.068e-05,2.07e-05,716,2026-08-06 05:45:00+00:00
1785996000000,2.069e-05,2.071e-05,2.068e-05,2.068e-05,789,2026-08-06 06:00:00+00:00
1785996900000,2.068e-05,2.069e-05,2.066e-05,2.069e-05,3928,2026-08-06 06:15:00+00:00
1785997800000,2.07e-05,2.073e-05,2.068e-05,2.068e-05,2747,2026-08-06 06:30:00+00:00
1785998700000,2.07e-05,2.071e-05,2.067e-05,2.069e-05,4060,2026-08-06 06:45:00+00:00
1785999600000,2.068e-05,2.069e-05,2.068e-05,2.068e-05,895,2026-08-06 07:00:00+00:00
1786000500000,2.069e-05,2.07e-05,2.068e-05,2.068e-05,968,2026-08-06 07:15:00+00:00
1786001400000,2.069e-05,2.069e-05,2.063e-05,2.065e-05,1665,2026-08-06 07:30:00+00:00
1786002300000,2.064e-05,2.067e-05,2.063e-05,2.065e-05,1353,2026-08-06 07:45:00+00:00
1786003200000,2.066e-05,2.071e-05,2.064e-05,2.067e-05,11480,2026-08-06 08:00:00+00:00
1786004100000,2.068e-05,2.069e-05,2.066e-05,2.068e-05,2797,2026-08-06 08:15:00+00:00
1786005000000,2.068e-05,2.071e-05,2.068e-05,2.071e-05,509,2026-08-06 08:30:00+00:00
1786005900000,2.071e-05,2.074e-05,2.07e-05,2.071e-05,880,2026-08-06 08:45:00+00:00
1786006800000,2.071e-05,2.071e-05,2.056e-05,2.056e-05,641,2026-08-06 09:00:00+00:00
1786007700000,2.058e-05,2.06e-05,2.057e-05,2.057e-05,2224,2026-08-06 09:15:00+00:00
1786008600000,2.056e-05,2.059e-05,2.052e-05,2.054e-05,1185,2026-08-06 09:30:00+00:00
1786009500000,2.053e-05,2.056e-05,2.052e-05,2.056e-05,1963,2026-08-06 09:45:00+00:00
1786010400000,2.055e-05,2.055e-05,2.049e-05,2.051e-05,1425,2026-08-06 10:00:00+00:00
1786011300000,2.051e-05,2.057e-05,2.05e-05,2.055e-05,1296,2026-08-06 10:15:00+00:00
1786012200000,2.055e-05,2.055e-05,2.052e-05,2.053e-05,1345,2026-08-06 10:30:00+00:00
1786013100000,2.053e-05,2.054e-05,2.051e-05,2.051e-05,469,2026-08-06 10:45:00+00:00
1786014000000,2.052e-05,2.055e-05,2.049e-05,2.055e-05,1871,2026-08-06 11:00:00+00:00
