ts,open,high,low,close,volume,open_time
1785981600000,8.584,8.593,8.58,8.586,6930,2026-08-06 02:00:00+00:00
1785982500000,8.578,8.578,8.559,8.572,2337,2026-08-06 02:15:00+00:00
1785983400000,8.57,8.577,8.564,8.569,1230,2026-08-06 02:30:00+00:00
1785984300000,8.57,8.581,8.569,8.581,1273,2026-08-06 02:45:00+00:00
1785985200000,8.578,8.58,8.571,8.58,732,2026-08-06 03:00:00+00:00
1785986100000,8.58,8.584,8.575,8.584,1438,2026-08-06 03:15:00+00:00
1785987000000,8.592,8.602,8.584,8.592,792,2026-08-06 03:30:00+00:00
1785987900000,8.592,8.592,8.586,8.588,329,2026-08-06 03:45:00+00:00
1785988800000,8.586,8.603,8.581,8.603,271,2026-08-06 04:00:00+00:00
1785989700000,8.61,8.627,8.609,8.62,560,2026-08-06 04:15:00+00:00
1785990600000,8.621,8.638,8.621,8.634,615,2026-08-06 04:30:00+00:00
1785991500000,8.633,8.636,8.629,8.632,329,2026-08-06 04:45:00+00:00
1785992400000,8.634,8.644,8.621,8.632,3045,2026-08-06 05:00:00+00:00
1785993300000,8.634,8.65,8.634,8.637,1077,2026-08-06 05:15:00+00:00
1785994200000,8.636,8.638,8.63,8.633,324,2026-08-06 05:30:00+00:00
1785995100000,8.632,8.632,8.625,8.629,1192,2026-08-06 05:45:00+00:00
1785996000000,8.628,8.628,8.609,8.613,1868,2026-08-06 06:00:00+00:00
1785996900000,8.614,8.616,8.606,8.606,540,2026-08-06 06:15:00+00:00
1785997800000,8.61,8.624,8.61,8.624,207,2026-08-06 06:30:00+00:00
1785998700000,8.626,8.626,8.62,8.621,151,2026-08-06 06:45:00+00:00
1785999600000,8.621,8.661,8.618,8.625,12069,2026-08-06 07:00:00+00:00
1786000500000,8.625,8.636,8.62,8.636,1752,2026-08-06 07:15:00+00:00
1786001400000,8.637,8.666,8.637,8.666,1397,2026-08-06 07:30:00+00:00
1786002300000,8.665,8.665,8.641,8.645,1053,2026-08-06 07:45:00+00:00
1786003200000,8.647,8.657,8.642,8.651,1606,2026-08-06 08:00:00+00:00
1786004100000,8.643,8.649,8.636,8.645,2362,2026-08-06 08:15:00+00:00
