ts,open,high,low,close,volume,open_time
1785981600000,3.397,3.401,3.387,3.394,157250,2026-08-06 02:00:00+00:00
1785982500000,3.394,3.4,3.373,3.39,388826,2026-08-06 02:15:00+00:00
1785983400000,3.39,3.412,3.39,3.404,131186,2026-08-06 02:30:00+00:00
1785984300000,3.404,3.411,3.403,3.403,53705,2026-08-06 02:45:00+00:00
1785985200000,3.403,3.404,3.382,3.384,170644,2026-08-06 03:00:00+00:00
1785986100000,3.385,3.391,3.365,3.369,321661,2026-08-06 03:15:00+00:00
1785987000000,3.37,3.372,3.346,3.352,391894,2026-08-06 03:30:00+00:00
1785987900000,3.353,3.354,3.332,3.336,506725,2026-08-06 03:45:00+00:00
1785988800000,3.336,3.34,3.315,3.34,477419,2026-08-06 04:00:00+00:00
1785989700000,3.341,3.362,3.341,3.354,162200,2026-08-06 04:15:00+00:00
1785990600000,3.353,3.358,3.34,3.341,193745,2026-08-06 04:30:00+00:00
1785991500000,3.341,3.341,3.326,3.33,91271,2026-08-06 04:45:00+00:00
1785992400000,3.33,3.345,3.322,3.343,346172,2026-08-06 05:00:00+00:00
1785993300000,3.343,3.366,3.335,3.337,852448,2026-08-06 05:15:00+00:00
1785994200000,3.337,3.341,3.325,3.328,249967,2026-08-06 05:30:00+00:00
1785995100000,3.328,3.328,3.318,3.328,199459,2026-08-06 05:45:00+00:00
1785996000000,3.329,3.33,3.316,3.321,138441,2026-08-06 06:00:00+00:00
1785996900000,3.321,3.326,3.281,3.323,813594,2026-08-06 06:15:00+00:00
1785997800000,3.323,3.329,3.315,3.319,94857,2026-08-06 06:30:00+00:00
1785998700000,3.319,3.332,3.316,3.332,98302,2026-08-06 06:45:00+00:00
1785999600000,3.332,3.333,3.317,3.323,99448,2026-08-06 07:00:00+00:00
1786000500000,3.323,3.329,3.32,3.325,33499,2026-08-06 07:15:00+00:00
1786001400000,3.325,3.33,3.32,3.324,41985,2026-08-06 07:30:00+00:00
1786002300000,3.324,3.331,3.321,3.322,63140,2026-08-06 07:45:00+00:00
1786003200000,3.322,3.326,3.307,3.307,113071,2026-08-06 08:00:00+00:00
1786004100000,3.308,3.318,3.3,3.309,342334,2026-08-06 08:15:00+00:00
1786005000000,3.309,3.322,3.306,3.315,218593,2026-08-06 08:30:00+00:00
1786005900000,3.315,3.33,3.311,3.321,250837,2026-08-06 08:45:00+00:00
1786006800000,3.321,3.321,3.299,3.303,219880,2026-08-06 09:00:00+00:00
1786007700000,3.303,3.31,3.297,3.306,175005,2026-08-06 09:15:00+00:00
1786008600000,3.305,3.322,3.3,3.305,131081,2026-08-06 09:30:00+00:00
1786009500000,3.305,3.315,3.302,3.312,43622,2026-08-06 09:45:00+00:00
1786010400000,3.312,3.32,3.303,3.308,113543,2026-08-06 10:00:00+00:00
1786011300000,3.308,3.331,3.306,3.329,201638,2026-08-06 10:15:00+00:00
1786012200000,3.33,3.338,3.314,3.315,88259,2026-08-06 10:30:00+00:00
1786013100000,3.315,3.316,3.301,3.304,46702,2026-08-06 10:45:00+00:00
1786014000000,3.304,3.315,3.262,3.302,1331875,2026-08-06 11:00:00+00:00
1786014900000,3.304,3.322,3.303,3.32,150274,2026-08-06 11:15:00+00:00
1786015800000,3.32,3.35,3.32,3.345,231894,2026-08-06 11:30:00+00:00
1786016700000,3.345,3.351,3.335,3.348,196888,2026-08-06 11:45:00+00:00
1786017600000,3.349,3.349,3.334,3.344,109487,2026-08-06 12:00:00+00:00
1786018500000,3.344,3.351,3.324,3.345,389657,2026-08-06 12:15:00+00:00
1786019400000,3.346,3.358,3.336,3.349,235974,2026-08-06 12:30:00+00:00
1786020300000,3.35,3.358,3.343,3.347,171387,2026-08-06 12:45:00+00:00
1786021200000,3.347,3.351,3.329,3.341,189378,2026-08-06 13:00:00+00:00
1786022100000,3.341,3.347,3.332,3.338,229631,2026-08-06 13:15:00+00:00
1786023000000,3.338,3.347,3.331,3.345,227891,2026-08-06 13:30:00+00:00
