ts,open,high,low,close,volume,open_time
1785981600000,0.3141,0.3141,0.3118,0.3127,3679170,2026-08-06 02:00:00+00:00
1785982500000,0.3127,0.3135,0.3118,0.3134,1616355,2026-08-06 02:15:00+00:00
1785983400000,0.3133,0.3143,0.313,0.314,1740921,2026-08-06 02:30:00+00:00
1785984300000,0.3139,0.3141,0.3118,0.312,1308073,2026-08-06 02:45:00+00:00
1785985200000,0.3119,0.3125,0.3105,0.3116,3165956,2026-08-06 03:00:00+00:00
1785986100000,0.3115,0.3123,0.3112,0.312,456995,2026-08-06 03:15:00+00:00
1785987000000,0.312,0.3125,0.3115,0.3121,969521,2026-08-06 03:30:00+00:00
1785987900000,0.3122,0.3124,0.311,0.3119,993694,2026-08-06 03:45:00+00:00
1785988800000,0.3119,0.3136,0.3101,0.3133,3804039,2026-08-06 04:00:00+00:00
1785989700000,0.3132,0.3152,0.3132,0.3151,1981042,2026-08-06 04:15:00+00:00
1785990600000,0.315,0.3156,0.3138,0.3141,1895307,2026-08-06 04:30:00+00:00
1785991500000,0.3141,0.3145,0.3138,0.3143,616285,2026-08-06 04:45:00+00:00
1785992400000,0.3144,0.3164,0.3142,0.3148,1591488,2026-08-06 05:00:00+00:00
1785993300000,0.3147,0.315,0.3131,0.3133,913221,2026-08-06 05:15:00+00:00
1785994200000,0.3132,0.3133,0.3122,0.3127,1669521,2026-08-06 05:30:00+00:00
1785995100000,0.3128,0.3132,0.3116,0.3123,1115182,2026-08-06 05:45:00+00:00
1785996000000,0.3124,0.3124,0.3094,0.3099,3382882,2026-08-06 06:00:00+00:00
1785996900000,0.3098,0.3111,0.3084,0.3109,2846325,2026-08-06 06:15:00+00:00
1785997800000,0.3109,0.3115,0.3105,0.3113,612431,2026-08-06 06:30:00+00:00
1785998700000,0.3112,0.3116,0.3109,0.3114,512568,2026-08-06 06:45:00+00:00
1785999600000,0.3114,0.3118,0.3108,0.3111,830553,2026-08-06 07:00:00+00:00
1786000500000,0.3111,0.3118,0.3108,0.3111,417004,2026-08-06 07:15:00+00:00
1786001400000,0.3111,0.3115,0.3105,0.3109,646290,2026-08-06 07:30:00+00:00
1786002300000,0.3109,0.3113,0.3102,0.3107,480369,2026-08-06 07:45:00+00:00
1786003200000,0.3107,0.3109,0.309,0.3096,2031167,2026-08-06 08:00:00+00:00
1786004100000,0.3095,0.3105,0.3092,0.3104,781543,2026-08-06 08:15:00+00:00
1786005000000,0.3104,0.3113,0.3102,0.3109,687288,2026-08-06 08:30:00+00:00
1786005900000,0.3108,0.3145,0.3107,0.3126,2626133,2026-08-06 08:45:00+00:00
1786006800000,0.3126,0.3128,0.3078,0.3091,3923819,2026-08-06 09:00:00+00:00
1786007700000,0.309,0.3096,0.3065,0.308,5100432,2026-08-06 09:15:00+00:00
1786008600000,0.3079,0.3079,0.3049,0.3053,6750961,2026-08-06 09:30:00+00:00
1786009500000,0.3053,0.3067,0.3042,0.3046,5756391,2026-08-06 09:45:00+00:00
1786010400000,0.3046,0.3052,0.3021,0.3048,5247913,2026-08-06 10:00:00+00:00
1786011300000,0.3047,0.306,0.3042,0.3058,1141299,2026-08-06 10:15:00+00:00
1786012200000,0.3059,0.3062,0.305,0.3052,957936,2026-08-06 10:30:00+00:00
1786013100000,0.3052,0.306,0.3029,0.3038,2927981,2026-08-06 10:45:00+00:00
1786014000000,0.3039,0.304,0.3021,0.3038,2955634,2026-08-06 11:00:00+00:00
1786014900000,0.3038,0.3044,0.3037,0.3042,1126102,2026-08-06 11:15:00+00:00
1786015800000,0.3042,0.3058,0.3038,0.3058,1741336,2026-08-06 11:30:00+00:00
1786016700000,0.3058,0.3061,0.305,0.3053,1275394,2026-08-06 11:45:00+00:00
1786017600000,0.3054,0.3054,0.304,0.3043,1143369,2026-08-06 12:00:00+00:00
1786018500000,0.3043,0.3046,0.3029,0.3046,1211132,2026-08-06 12:15:00+00:00
1786019400000,0.3045,0.3047,0.3035,0.3039,1099390,2026-08-06 12:30:00+00:00
1786020300000,0.3039,0.304,0.3022,0.3026,2222829,2026-08-06 12:45:00+00:00
1786021200000,0.3026,0.3034,0.3008,0.3034,5528573,2026-08-06 13:00:00+00:00
1786022100000,0.3034,0.3034,0.3018,0.3026,1352983,2026-08-06 13:15:00+00:00
1786023000000,0.3026,0.3055,0.3018,0.305,2239733,2026-08-06 13:30:00+00:00
1786023900000,0.3051,0.3053,0.3042,0.3044,979808,2026-08-06 13:45:00+00:00
1786024800000,0.3044,0.3048,0.3033,0.3035,1432424,2026-08-06 14:00:00+00:00
1786025700000,0.3034,0.3048,0.3023,0.3024,3087739,2026-08-06 14:15:00+00:00
1786026600000,0.3024,0.3042,0.3012,0.3039,2765108,2026-08-06 14:30:00+00:00
1786027500000,0.304,0.3049,0.3029,0.3038,1912124,2026-08-06 14:45:00+00:00
1786028400000,0.3038,0.3048,0.3034,0.3041,1150264,2026-08-06 15:00:00+00:00
1786029300000,0.3041,0.305,0.3028,0.3035,2214759,2026-08-06 15:15:00+00:00
1786030200000,0.3035,0.3042,0.3032,0.3034,1191703,2026-08-06 15:30:00+00:00
1786031100000,0.3034,0.3055,0.303,0.3033,2021983,2026-08-06 15:45:00+00:00
1786032000000,0.3033,0.304,0.3014,0.302,2792875,2026-08-06 16:00:00+00:00
1786032900000,0.3021,0.3028,0.3009,0.3026,1731740,2026-08-06 16:15:00+00:00
1786033800000,0.3026,0.3043,0.3018,0.3035,1395133,2026-08-06 16:30:00+00:00
1786034700000,0.3036,0.3042,0.3029,0.3035,922585,2026-08-06 16:45:00+00:00
1786035600000,0.3035,0.3045,0.3034,0.3034,839908,2026-08-06 17:00:00+00:00
1786036500000,0.3034,0.3046,0.3031,0.3038,1056177,2026-08-06 17:15:00+00:00
1786037400000,0.3038,0.3044,0.3025,0.3033,930821,2026-08-06 17:30:00+00:00
