ts,open,high,low,close,volume,open_time
1785981600000,0.01842,0.01846,0.01839,0.01839,913522,2026-08-06 02:00:00+00:00
1785982500000,0.01839,0.0184,0.01824,0.01833,1033540,2026-08-06 02:15:00+00:00
1785983400000,0.01834,0.01837,0.01829,0.01835,147793,2026-08-06 02:30:00+00:00
1785984300000,0.01835,0.01835,0.01831,0.01832,41332,2026-08-06 02:45:00+00:00
1785985200000,0.01831,0.01834,0.0183,0.01833,104292,2026-08-06 03:00:00+00:00
1785986100000,0.01833,0.01845,0.01833,0.01842,427290,2026-08-06 03:15:00+00:00
1785987000000,0.01843,0.01856,0.0184,0.01853,613626,2026-08-06 03:30:00+00:00
1785987900000,0.01852,0.01852,0.01844,0.01848,473617,2026-08-06 03:45:00+00:00
1785988800000,0.01848,0.01862,0.01846,0.01861,1013329,2026-08-06 04:00:00+00:00
1785989700000,0.01861,0.01869,0.01857,0.01863,1617873,2026-08-06 04:15:00+00:00
1785990600000,0.01864,0.01867,0.01855,0.0186,1401458,2026-08-06 04:30:00+00:00
1785991500000,0.0186,0.01869,0.01859,0.01868,458798,2026-08-06 04:45:00+00:00
1785992400000,0.01868,0.01871,0.01865,0.01868,848288,2026-08-06 05:00:00+00:00
1785993300000,0.01868,0.01869,0.0186,0.01861,316912,2026-08-06 05:15:00+00:00
1785994200000,0.0186,0.01861,0.01857,0.01859,146263,2026-08-06 05:30:00+00:00
1785995100000,0.01858,0.01858,0.01851,0.01856,672088,2026-08-06 05:45:00+00:00
1785996000000,0.01855,0.01859,0.01853,0.01857,541539,2026-08-06 06:00:00+00:00
1785996900000,0.01856,0.0186,0.01852,0.01858,507439,2026-08-06 06:15:00+00:00
1785997800000,0.01857,0.01857,0.01849,0.01854,431654,2026-08-06 06:30:00+00:00
1785998700000,0.01853,0.01853,0.01851,0.01853,182594,2026-08-06 06:45:00+00:00
1785999600000,0.01852,0.01854,0.01846,0.01846,568104,2026-08-06 07:00:00+00:00
1786000500000,0.01847,0.01851,0.01847,0.01849,327835,2026-08-06 07:15:00+00:00
1786001400000,0.0185,0.01853,0.01845,0.0185,249746,2026-08-06 07:30:00+00:00
1786002300000,0.01849,0.01854,0.01847,0.01851,294291,2026-08-06 07:45:00+00:00
1786003200000,0.01851,0.0186,0.0185,0.01855,683958,2026-08-06 08:00:00+00:00
1786004100000,0.01854,0.01855,0.01852,0.01853,106587,2026-08-06 08:15:00+00:00
1786005000000,0.01852,0.01863,0.01851,0.01861,195834,2026-08-06 08:30:00+00:00
1786005900000,0.01861,0.01862,0.01859,0.01862,347944,2026-08-06 08:45:00+00:00
1786006800000,0.01862,0.01864,0.0185,0.0185,513841,2026-08-06 09:00:00+00:00
1786007700000,0.01851,0.01852,0.01848,0.01849,349402,2026-08-06 09:15:00+00:00
1786008600000,0.01847,0.01847,0.01843,0.01844,221916,2026-08-06 09:30:00+00:00
1786009500000,0.01843,0.01844,0.01838,0.01838,165050,2026-08-06 09:45:00+00:00
1786010400000,0.01838,0.01842,0.01834,0.01842,586459,2026-08-06 10:00:00+00:00
1786011300000,0.01841,0.01847,0.0184,0.01846,645774,2026-08-06 10:15:00+00:00
1786012200000,0.01845,0.01845,0.01838,0.01839,378509,2026-08-06 10:30:00+00:00
1786013100000,0.0184,0.01842,0.01839,0.0184,474068,2026-08-06 10:45:00+00:00
1786014000000,0.01839,0.01843,0.01834,0.01843,813087,2026-08-06 11:00:00+00:00
1786014900000,0.01843,0.01859,0.01843,0.01855,964936,2026-08-06 11:15:00+00:00
1786015800000,0.01856,0.01857,0.01851,0.01857,615717,2026-08-06 11:30:00+00:00
1786016700000,0.01858,0.01858,0.0185,0.01851,128366,2026-08-06 11:45:00+00:00
1786017600000,0.01851,0.01868,0.0185,0.01867,389924,2026-08-06 12:00:00+00:00
1786018500000,0.01868,0.01873,0.01866,0.01868,534760,2026-08-06 12:15:00+00:00
1786019400000,0.01868,0.01871,0.01861,0.01863,597889,2026-08-06 12:30:00+00:00
1786020300000,0.01862,0.01863,0.01859,0.0186,56150,2026-08-06 12:45:00+00:00
1786021200000,0.01859,0.01865,0.01854,0.01858,342010,2026-08-06 13:00:00+00:00
1786022100000,0.01857,0.01863,0.01856,0.01862,249690,2026-08-06 13:15:00+00:00
1786023000000,0.01862,0.01868,0.01859,0.01867,850252,2026-08-06 13:30:00+00:00
1786023900000,0.01867,0.01874,0.01865,0.01868,934488,2026-08-06 13:45:00+00:00
1786024800000,0.01868,0.01872,0.01867,0.01868,454501,2026-08-06 14:00:00+00:00
1786025700000,0.01867,0.01871,0.01864,0.01868,310147,2026-08-06 14:15:00+00:00
1786026600000,0.01868,0.01883,0.01865,0.01879,1743889,2026-08-06 14:30:00+00:00
1786027500000,0.0188,0.01881,0.0187,0.01875,693045,2026-08-06 14:45:00+00:00
1786028400000,0.01875,0.01875,0.01868,0.0187,274614,2026-08-06 15:00:00+00:00
1786029300000,0.0187,0.01874,0.01868,0.0187,295653,2026-08-06 15:15:00+00:00
1786030200000,0.0187,0.01872,0.01866,0.01871,224311,2026-08-06 15:30:00+00:00
1786031100000,0.01871,0.01877,0.01866,0.01866,171445,2026-08-06 15:45:00+00:00
1786032000000,0.01867,0.01879,0.01864,0.01879,900451,2026-08-06 16:00:00+00:00
1786032900000,0.01879,0.01903,0.01876,0.01903,2654013,2026-08-06 16:15:00+00:00
1786033800000,0.01903,0.01906,0.01892,0.01898,2821873,2026-08-06 16:30:00+00:00
1786034700000,0.01898,0.01902,0.01888,0.01889,2405163,2026-08-06 16:45:00+00:00
1786035600000,0.0189,0.01896,0.01875,0.01894,3515545,2026-08-06 17:00:00+00:00
1786036500000,0.01893,0.01901,0.01883,0.01884,1973993,2026-08-06 17:15:00+00:00
1786037400000,0.01884,0.01884,0.01876,0.01879,975454,2026-08-06 17:30:00+00:00
1786038300000,0.01879,0.01881,0.01876,0.01877,512055,2026-08-06 17:45:00+00:00
1786039200000,0.01876,0.01879,0.01854,0.01872,2982739,2026-08-06 18:00:00+00:00
1786040100000,0.01872,0.01872,0.01866,0.01871,1004433,2026-08-06 18:15:00+00:00
1786041000000,0.01871,0.01871,0.0186,0.01862,1005131,2026-08-06 18:30:00+00:00
1786041900000,0.01862,0.01864,0.01858,0.01863,149009,2026-08-06 18:45:00+00:00
1786042800000,0.01863,0.01863,0.0186,0.01861,186501,2026-08-06 19:00:00+00:00
1786043700000,0.01861,0.01862,0.01859,0.0186,72345,2026-08-06 19:15:00+00:00
1786044600000,0.01859,0.01864,0.01858,0.01858,603029,2026-08-06 19:30:00+00:00
1786045500000,0.01859,0.01865,0.01855,0.0186,1194857,2026-08-06 19:45:00+00:00
1786046400000,0.0186,0.01862,0.01854,0.01857,754706,2026-08-06 20:00:00+00:00
1786047300000,0.01856,0.01864,0.01855,0.01863,211508,2026-08-06 20:15:00+00:00
1786048200000,0.01862,0.0187,0.01862,0.0187,249444,2026-08-06 20:30:00+00:00
1786049100000,0.0187,0.0187,0.01858,0.01858,285543,2026-08-06 20:45:00+00:00
1786050000000,0.01857,0.0186,0.01853,0.01858,446707,2026-08-06 21:00:00+00:00
