ts,open,high,low,close,volume,open_time
1785981600000,0.13006,0.13171,0.12986,0.13082,1364395,2026-08-06 02:00:00+00:00
1785982500000,0.1309,0.1314,0.12881,0.13037,1883966,2026-08-06 02:15:00+00:00
1785983400000,0.13036,0.13057,0.12805,0.129,1969948,2026-08-06 02:30:00+00:00
1785984300000,0.12903,0.13051,0.12858,0.12985,1027421,2026-08-06 02:45:00+00:00
1785985200000,0.12983,0.13034,0.12826,0.12919,1399507,2026-08-06 03:00:00+00:00
1785986100000,0.1292,0.13063,0.12714,0.13062,1617377,2026-08-06 03:15:00+00:00
1785987000000,0.13057,0.13059,0.12857,0.13034,1301269,2026-08-06 03:30:00+00:00
1785987900000,0.13031,0.1316,0.12959,0.12977,1955256,2026-08-06 03:45:00+00:00
1785988800000,0.12979,0.12979,0.12663,0.12865,2614685,2026-08-06 04:00:00+00:00
1785989700000,0.12867,0.12984,0.12798,0.12902,1638494,2026-08-06 04:15:00+00:00
1785990600000,0.129,0.12921,0.12764,0.1286,1412944,2026-08-06 04:30:00+00:00
1785991500000,0.12866,0.1298,0.12726,0.12786,1675083,2026-08-06 04:45:00+00:00
1785992400000,0.12782,0.13085,0.12755,0.12981,2277507,2026-08-06 05:00:00+00:00
1785993300000,0.12983,0.13191,0.12938,0.13126,2192429,2026-08-06 05:15:00+00:00
1785994200000,0.13123,0.13193,0.12949,0.13182,2770907,2026-08-06 05:30:00+00:00
1785995100000,0.13183,0.13219,0.12965,0.13034,1926293,2026-08-06 05:45:00+00:00
1785996000000,0.13028,0.13218,0.13018,0.13118,2792636,2026-08-06 06:00:00+00:00
1785996900000,0.13118,0.13246,0.13084,0.13142,2091528,2026-08-06 06:15:00+00:00
1785997800000,0.13144,0.13177,0.128,0.12847,3772021,2026-08-06 06:30:00+00:00
1785998700000,0.12854,0.13018,0.1285,0.1289,1849277,2026-08-06 06:45:00+00:00
1785999600000,0.1289,0.13125,0.12869,0.13091,1504411,2026-08-06 07:00:00+00:00
