open_time,open,high,low,close,volume
2025-07-11 03:15:00+00:00,1.3184,1.3232,1.3128,1.3223,542556
2025-07-11 03:30:00+00:00,1.3223,1.3249,1.3121,1.3199,333562
2025-07-11 03:45:00+00:00,1.3201,1.3356,1.3199,1.328,696659
2025-07-11 04:00:00+00:00,1.3277,1.3331,1.3181,1.3203,339944
2025-07-11 04:15:00+00:00,1.3202,1.3312,1.3179,1.3289,388541
2025-07-11 04:30:00+00:00,1.3287,1.3447,1.3194,1.3414,1000527
2025-07-11 04:45:00+00:00,1.3413,1.3549,1.3372,1.3503,1591511
2025-07-11 05:00:00+00:00,1.3503,1.3805,1.3474,1.3736,1801832
2025-07-11 05:15:00+00:00,1.3736,1.3863,1.3646,1.3818,1599380
2025-07-11 05:30:00+00:00,1.3816,1.386,1.3712,1.379,1638466
2025-07-11 05:45:00+00:00,1.3789,1.3948,1.3597,1.3651,1547054
2025-07-11 06:00:00+00:00,1.3652,1.3861,1.3645,1.3783,1691234
2025-07-11 06:15:00+00:00,1.3784,1.3815,1.3687,1.374,1056834
2025-07-11 06:30:00+00:00,1.374,1.3771,1.3509,1.3582,1314093
2025-07-11 06:45:00+00:00,1.3583,1.3627,1.3446,1.3526,2076445
2025-07-11 07:00:00+00:00,1.3528,1.3533,1.3343,1.3358,1673160
2025-07-11 07:15:00+00:00,1.3356,1.353,1.335,1.3518,925471
2025-07-11 07:30:00+00:00,1.3516,1.3689,1.348,1.3621,1147427
2025-07-11 07:45:00+00:00,1.362,1.3646,1.3499,1.3554,878099
2025-07-11 08:00:00+00:00,1.3556,1.3597,1.3454,1.3511,1040097
2025-07-11 08:15:00+00:00,1.351,1.3626,1.3505,1.3625,331408
2025-07-11 08:30:00+00:00,1.3625,1.3625,1.3483,1.3562,443488
2025-07-11 08:45:00+00:00,1.3561,1.3561,1.3458,1.3516,538780
2025-07-11 09:00:00+00:00,1.3517,1.3531,1.3441,1.347,261608
2025-07-11 09:15:00+00:00,1.347,1.3616,1.3469,1.3563,693393
2025-07-11 09:30:00+00:00,1.3565,1.3649,1.352,1.361,955116
2025-07-11 09:45:00+00:00,1.3612,1.3649,1.3509,1.3579,260765
2025-07-11 10:00:00+00:00,1.3581,1.3601,1.3421,1.3466,550440
2025-07-11 10:15:00+00:00,1.3469,1.3529,1.3343,1.3451,832803
2025-07-11 10:30:00+00:00,1.3449,1.3476,1.3351,1.3421,404719
2025-07-11 10:45:00+00:00,1.342,1.3433,1.3358,1.3385,306230
2025-07-11 11:00:00+00:00,1.3384,1.3454,1.3244,1.3255,1179355
2025-07-11 11:15:00+00:00,1.3255,1.3311,1.3223,1.3281,747403
2025-07-11 11:30:00+00:00,1.3281,1.3385,1.3281,1.333,628067
2025-07-11 11:45:00+00:00,1.3329,1.3329,1.3214,1.3226,517143
2025-07-11 12:00:00+00:00,1.3227,1.3328,1.322,1.3279,719702
2025-07-11 12:15:00+00:00,1.3278,1.3278,1.3092,1.3125,1243810
2025-07-11 12:30:00+00:00,1.3126,1.3208,1.3107,1.316,523699
2025-07-11 12:45:00+00:00,1.3161,1.3337,1.3147,1.3337,614647
2025-07-11 13:00:00+00:00,1.3337,1.3453,1.328,1.3359,1207231
2025-07-11 13:15:00+00:00,1.3359,1.3398,1.3231,1.3308,914197
2025-07-11 13:30:00+00:00,1.3308,1.3312,1.3158,1.3201,930598
2025-07-11 13:45:00+00:00,1.3201,1.345,1.3176,1.3384,1337546
2025-07-11 14:00:00+00:00,1.3394,1.3424,1.3266,1.3366,983524
2025-07-11 14:15:00+00:00,1.3366,1.3558,1.3343,1.3533,1757042
2025-07-11 14:30:00+00:00,1.3533,1.3571,1.3412,1.3426,946737
2025-07-11 14:45:00+00:00,1.3424,1.3451,1.3189,1.3271,1865948
2025-07-11 15:00:00+00:00,1.3271,1.3271,1.3032,1.312,2118049
2025-07-11 15:15:00+00:00,1.3119,1.317,1.3066,1.3127,986499
2025-07-11 15:30:00+00:00,1.3124,1.3125,1.2946,1.3059,1929682
2025-07-11 15:45:00+00:00,1.3059,1.3077,1.2784,1.2862,3037224
2025-07-11 16:00:00+00:00,1.2865,1.3021,1.2826,1.2934,2315256
2025-07-11 16:15:00+00:00,1.2934,1.3074,1.2903,1.3055,1585295
2025-07-11 16:30:00+00:00,1.3054,1.3093,1.3003,1.3056,656258
2025-07-11 16:45:00+00:00,1.3057,1.3148,1.2982,1.3105,1345986
2025-07-11 17:00:00+00:00,1.3109,1.318,1.3032,1.3088,977712
2025-07-11 17:15:00+00:00,1.3086,1.3208,1.3051,1.3185,1025207
2025-07-11 17:30:00+00:00,1.3184,1.3184,1.3082,1.3154,439819
2025-07-11 17:45:00+00:00,1.3155,1.3191,1.3114,1.3151,418239
2025-07-11 18:00:00+00:00,1.3151,1.317,1.3066,1.3161,360326
2025-07-11 18:15:00+00:00,1.3163,1.3245,1.3112,1.3129,564432
2025-07-11 18:30:00+00:00,1.3129,1.3209,1.3112,1.3175,702252
2025-07-11 18:45:00+00:00,1.3175,1.3205,1.3117,1.32,348981
2025-07-11 19:00:00+00:00,1.3201,1.3201,1.3067,1.3134,397691
2025-07-11 19:15:00+00:00,1.3133,1.3251,1.3105,1.3184,896046
2025-07-11 19:30:00+00:00,1.318,1.3248,1.3122,1.3173,528217
2025-07-11 19:45:00+00:00,1.3174,1.3211,1.3114,1.3173,388688
2025-07-11 20:00:00+00:00,1.3173,1.3195,1.3122,1.3162,217143
2025-07-11 20:15:00+00:00,1.3161,1.32,1.3098,1.3108,284009
2025-07-11 20:30:00+00:00,1.3109,1.3121,1.2966,1.2969,1110366
2025-07-11 20:45:00+00:00,1.2972,1.2986,1.281,1.2826,1443118
2025-07-11 21:00:00+00:00,1.2826,1.2842,1.2678,1.2741,1741564
2025-07-11 21:15:00+00:00,1.2742,1.285,1.2713,1.2841,366898
2025-07-11 21:30:00+00:00,1.2841,1.2845,1.2594,1.26,960803
2025-07-11 21:45:00+00:00,1.2599,1.2719,1.2564,1.2663,563805
2025-07-11 22:00:00+00:00,1.2663,1.2722,1.2541,1.2565,666017
2025-07-11 22:15:00+00:00,1.2568,1.2608,1.2414,1.2501,1844393
2025-07-11 22:30:00+00:00,1.2497,1.2674,1.2453,1.2644,2137732
2025-07-11 22:45:00+00:00,1.2642,1.2811,1.2583,1.2732,1284352
2025-07-11 23:00:00+00:00,1.2733,1.2854,1.2711,1.2842,887562
2025-07-11 23:15:00+00:00,1.284,1.289,1.2799,1.2872,660534
2025-07-11 23:30:00+00:00,1.2872,1.2881,1.2794,1.2818,273948
2025-07-11 23:45:00+00:00,1.2818,1.2882,1.2786,1.2876,552323
2025-07-12 00:00:00+00:00,1.2874,1.2935,1.283,1.2874,470562
2025-07-12 00:15:00+00:00,1.2873,1.2895,1.2785,1.2853,366620
2025-07-12 00:30:00+00:00,1.2854,1.2859,1.2694,1.2753,1491654
2025-07-12 00:45:00+00:00,1.2759,1.2875,1.2734,1.2856,438156
2025-07-12 01:00:00+00:00,1.2857,1.2965,1.2854,1.2893,586077
2025-07-12 01:15:00+00:00,1.2894,1.2927,1.2804,1.2811,388434
2025-07-12 01:30:00+00:00,1.2812,1.2865,1.2806,1.2835,267595
2025-07-12 01:45:00+00:00,1.2836,1.2917,1.2829,1.2841,306650
2025-07-12 02:00:00+00:00,1.284,1.2885,1.2771,1.2842,862056
