open_time,open,high,low,close,volume
2025-07-11 03:15:00+00:00,0.6708,0.6795,0.6699,0.6783,1714814
2025-07-11 03:30:00+00:00,0.6783,0.6788,0.6727,0.6758,1282955
2025-07-11 03:45:00+00:00,0.6759,0.679,0.6744,0.6753,809728
2025-07-11 04:00:00+00:00,0.6753,0.6764,0.6708,0.6713,853178
2025-07-11 04:15:00+00:00,0.6714,0.6826,0.6711,0.6785,1592005
2025-07-11 04:30:00+00:00,0.6784,0.6825,0.6745,0.6796,2192085
2025-07-11 04:45:00+00:00,0.6797,0.6855,0.6781,0.6839,1837879
2025-07-11 05:00:00+00:00,0.6839,0.6917,0.6836,0.6906,3027957
2025-07-11 05:15:00+00:00,0.6906,0.6918,0.6873,0.6885,1452841
2025-07-11 05:30:00+00:00,0.6884,0.6959,0.6859,0.6913,3127397
2025-07-11 05:45:00+00:00,0.6912,0.6974,0.6897,0.6901,2748953
2025-07-11 06:00:00+00:00,0.6901,0.7012,0.69,0.6942,2456036
2025-07-11 06:15:00+00:00,0.6942,0.6957,0.6886,0.6898,1901410
2025-07-11 06:30:00+00:00,0.6898,0.6919,0.682,0.6833,2283798
2025-07-11 06:45:00+00:00,0.6835,0.6843,0.6723,0.6736,3198551
2025-07-11 07:00:00+00:00,0.6739,0.6746,0.6672,0.6679,2201381
2025-07-11 07:15:00+00:00,0.6679,0.6774,0.6677,0.6764,1526560
2025-07-11 07:30:00+00:00,0.6764,0.6774,0.6733,0.6764,889039
2025-07-11 07:45:00+00:00,0.6762,0.677,0.6678,0.6688,1349641
2025-07-11 08:00:00+00:00,0.6689,0.6745,0.6689,0.6733,1166568
2025-07-11 08:15:00+00:00,0.6734,0.6795,0.6729,0.6795,793871
2025-07-11 08:30:00+00:00,0.6795,0.6832,0.6764,0.6831,1136231
2025-07-11 08:45:00+00:00,0.6829,0.6836,0.68,0.6835,1010201
2025-07-11 09:00:00+00:00,0.6835,0.6841,0.68,0.6825,793076
2025-07-11 09:15:00+00:00,0.6823,0.6901,0.6822,0.6894,1375296
2025-07-11 09:30:00+00:00,0.6893,0.6927,0.6879,0.6908,1632372
2025-07-11 09:45:00+00:00,0.6909,0.6931,0.6843,0.6855,1340576
2025-07-11 10:00:00+00:00,0.6855,0.6859,0.6808,0.6816,1062251
2025-07-11 10:15:00+00:00,0.6818,0.6872,0.6817,0.6869,615391
2025-07-11 10:30:00+00:00,0.6868,0.6868,0.6831,0.6846,475613
2025-07-11 10:45:00+00:00,0.6846,0.6873,0.6841,0.686,623768
2025-07-11 11:00:00+00:00,0.686,0.6869,0.6783,0.6792,657304
2025-07-11 11:15:00+00:00,0.6794,0.6843,0.6787,0.6834,1062274
2025-07-11 11:30:00+00:00,0.6835,0.6861,0.6829,0.6848,487794
2025-07-11 11:45:00+00:00,0.6847,0.6847,0.681,0.6832,892840
2025-07-11 12:00:00+00:00,0.6833,0.6897,0.6833,0.6883,686863
2025-07-11 12:15:00+00:00,0.6883,0.6883,0.6813,0.6818,741584
2025-07-11 12:30:00+00:00,0.6819,0.6859,0.6813,0.6843,396121
2025-07-11 12:45:00+00:00,0.6842,0.6915,0.6838,0.6915,738013
2025-07-11 13:00:00+00:00,0.6915,0.6949,0.6902,0.6916,1472775
2025-07-11 13:15:00+00:00,0.6916,0.6917,0.6858,0.6879,836112
2025-07-11 13:30:00+00:00,0.6876,0.6894,0.6823,0.6862,1276778
2025-07-11 13:45:00+00:00,0.6861,0.6942,0.6845,0.6924,1049337
2025-07-11 14:00:00+00:00,0.6925,0.6937,0.687,0.6907,1000477
2025-07-11 14:15:00+00:00,0.6908,0.6985,0.6903,0.6973,1433108
2025-07-11 14:30:00+00:00,0.6973,0.7009,0.6958,0.6972,2238021
2025-07-11 14:45:00+00:00,0.6969,0.6987,0.6879,0.6927,1855950
2025-07-11 15:00:00+00:00,0.6925,0.6929,0.6854,0.6899,1724372
2025-07-11 15:15:00+00:00,0.6898,0.6935,0.6877,0.6925,983012
2025-07-11 15:30:00+00:00,0.6925,0.6964,0.6879,0.6942,1941924
2025-07-11 15:45:00+00:00,0.6941,0.6941,0.6725,0.6759,5794374
2025-07-11 16:00:00+00:00,0.676,0.6852,0.6739,0.6843,4077454
2025-07-11 16:15:00+00:00,0.6844,0.6867,0.6766,0.6861,2027166
2025-07-11 16:30:00+00:00,0.6861,0.687,0.6805,0.6823,957503
2025-07-11 16:45:00+00:00,0.6824,0.6872,0.678,0.6845,905815
2025-07-11 17:00:00+00:00,0.6843,0.689,0.683,0.6841,1272303
2025-07-11 17:15:00+00:00,0.6842,0.6914,0.6842,0.6912,1750805
2025-07-11 17:30:00+00:00,0.6912,0.6928,0.6851,0.6906,841819
2025-07-11 17:45:00+00:00,0.6906,0.6942,0.6889,0.6935,513302
2025-07-11 18:00:00+00:00,0.6935,0.6941,0.6894,0.6922,1193984
2025-07-11 18:15:00+00:00,0.6922,0.6946,0.6881,0.6884,1217854
2025-07-11 18:30:00+00:00,0.6884,0.6918,0.6883,0.6903,478528
2025-07-11 18:45:00+00:00,0.6903,0.6932,0.688,0.6927,442610
2025-07-11 19:00:00+00:00,0.6926,0.6926,0.6881,0.6923,418207
2025-07-11 19:15:00+00:00,0.6922,0.6957,0.6917,0.6917,599195
2025-07-11 19:30:00+00:00,0.6916,0.6943,0.6904,0.6927,379761
2025-07-11 19:45:00+00:00,0.6927,0.6944,0.6916,0.6943,532739
2025-07-11 20:00:00+00:00,0.6942,0.6945,0.6919,0.6928,429207
2025-07-11 20:15:00+00:00,0.6927,0.6949,0.6899,0.6909,263899
2025-07-11 20:30:00+00:00,0.691,0.6911,0.6864,0.6868,777865
2025-07-11 20:45:00+00:00,0.6868,0.688,0.6819,0.6823,533968
2025-07-11 21:00:00+00:00,0.6824,0.6839,0.6747,0.6782,1330471
2025-07-11 21:15:00+00:00,0.6782,0.6831,0.6766,0.6829,675801
2025-07-11 21:30:00+00:00,0.6829,0.6829,0.6638,0.6649,2110191
2025-07-11 21:45:00+00:00,0.6652,0.6719,0.6623,0.6689,1964273
2025-07-11 22:00:00+00:00,0.669,0.6712,0.6633,0.6638,810150
2025-07-11 22:15:00+00:00,0.664,0.665,0.6459,0.6495,3558031
2025-07-11 22:30:00+00:00,0.6496,0.6592,0.647,0.6523,2704354
2025-07-11 22:45:00+00:00,0.6523,0.6562,0.6506,0.6551,649622
2025-07-11 23:00:00+00:00,0.6553,0.6633,0.6544,0.6626,766517
2025-07-11 23:15:00+00:00,0.6625,0.6641,0.6592,0.6627,675978
2025-07-11 23:30:00+00:00,0.6626,0.6627,0.6581,0.6591,619702
2025-07-11 23:45:00+00:00,0.6592,0.6598,0.6554,0.6586,681820
2025-07-12 00:00:00+00:00,0.6585,0.6628,0.6557,0.6563,924699
2025-07-12 00:15:00+00:00,0.6563,0.6566,0.6486,0.6527,845942
2025-07-12 00:30:00+00:00,0.6528,0.6528,0.6425,0.6444,2270814
2025-07-12 00:45:00+00:00,0.6443,0.6488,0.6436,0.6488,1302222
2025-07-12 01:00:00+00:00,0.6488,0.6605,0.6487,0.6597,2793804
2025-07-12 01:15:00+00:00,0.6599,0.6609,0.6561,0.66,1519945
2025-07-12 01:30:00+00:00,0.66,0.6616,0.6576,0.6596,425097
2025-07-12 01:45:00+00:00,0.6593,0.6612,0.6583,0.6589,348801
2025-07-12 02:00:00+00:00,0.6589,0.6618,0.6574,0.661,1178366
2025-07-12 02:15:00+00:00,0.6609,0.6668,0.6605,0.6666,1025807
2025-07-12 02:30:00+00:00,0.6667,0.6677,0.6636,0.6644,471757
2025-07-12 02:45:00+00:00,0.6643,0.6643,0.6582,0.6595,541382
2025-07-12 03:00:00+00:00,0.6594,0.6625,0.6589,0.6621,363891
2025-07-12 03:15:00+00:00,0.6621,0.6651,0.6615,0.6651,478912
2025-07-12 03:30:00+00:00,0.665,0.6652,0.6625,0.6625,332675
2025-07-12 03:45:00+00:00,0.6624,0.6658,0.6609,0.6643,850447
2025-07-12 04:00:00+00:00,0.6642,0.6654,0.6587,0.66,305335
2025-07-12 04:15:00+00:00,0.6601,0.6603,0.6538,0.6571,959789
2025-07-12 04:30:00+00:00,0.6571,0.6571,0.6498,0.6505,858812
2025-07-12 04:45:00+00:00,0.6507,0.6519,0.6469,0.6481,1530985
2025-07-12 05:00:00+00:00,0.6482,0.6495,0.6421,0.6438,934286
2025-07-12 05:15:00+00:00,0.6438,0.6506,0.6431,0.6493,618260
2025-07-12 05:30:00+00:00,0.6492,0.6512,0.6483,0.6507,369518
2025-07-12 05:45:00+00:00,0.6507,0.6536,0.6496,0.6498,582570
2025-07-12 06:00:00+00:00,0.6498,0.6506,0.6453,0.6471,581878
2025-07-12 06:15:00+00:00,0.6473,0.6521,0.6463,0.6514,512785
2025-07-12 06:30:00+00:00,0.6515,0.6563,0.6493,0.6546,758854
2025-07-12 06:45:00+00:00,0.6547,0.6562,0.6526,0.6543,315716
2025-07-12 07:00:00+00:00,0.6542,0.6578,0.6534,0.6566,783382
2025-07-12 07:15:00+00:00,0.6567,0.6578,0.6518,0.6554,601996
2025-07-12 07:30:00+00:00,0.6555,0.6557,0.6515,0.6536,521191
2025-07-12 07:45:00+00:00,0.6537,0.6559,0.6531,0.6552,214989
2025-07-12 08:00:00+00:00,0.6553,0.6584,0.6547,0.6577,346146
2025-07-12 08:15:00+00:00,0.6575,0.6585,0.6548,0.6557,244694
2025-07-12 08:30:00+00:00,0.6556,0.6562,0.6536,0.6548,252012
2025-07-12 08:45:00+00:00,0.6548,0.6552,0.6495,0.6518,734749
2025-07-12 09:00:00+00:00,0.6518,0.6531,0.6492,0.6524,596964
2025-07-12 09:15:00+00:00,0.6523,0.6546,0.6522,0.6535,353051
2025-07-12 09:30:00+00:00,0.6535,0.6577,0.6531,0.6574,441591
2025-07-12 09:45:00+00:00,0.6575,0.6583,0.656,0.6579,387661
2025-07-12 10:00:00+00:00,0.6578,0.6578,0.6531,0.654,391935
2025-07-12 10:15:00+00:00,0.6541,0.6565,0.6534,0.6545,310084
2025-07-12 10:30:00+00:00,0.6546,0.659,0.6539,0.6583,490121
2025-07-12 10:45:00+00:00,0.6584,0.6591,0.6558,0.6565,332526
2025-07-12 11:00:00+00:00,0.6566,0.6586,0.6547,0.6559,669979
2025-07-12 11:15:00+00:00,0.6559,0.6581,0.6539,0.6578,349079
2025-07-12 11:30:00+00:00,0.6577,0.6602,0.6548,0.6556,807310
2025-07-12 11:45:00+00:00,0.6558,0.6592,0.6553,0.6566,481717
2025-07-12 12:00:00+00:00,0.6565,0.66,0.6554,0.6559,427871
2025-07-12 12:15:00+00:00,0.6558,0.6558,0.6486,0.6514,1022668
2025-07-12 12:30:00+00:00,0.6514,0.6527,0.6436,0.6447,1176577
2025-07-12 12:45:00+00:00,0.6446,0.6449,0.6354,0.6441,4417574
2025-07-12 13:00:00+00:00,0.6441,0.6441,0.6397,0.6411,1098024
2025-07-12 13:15:00+00:00,0.6409,0.641,0.6346,0.6356,1067466
2025-07-12 13:30:00+00:00,0.6357,0.6394,0.632,0.6355,1238086
2025-07-12 13:45:00+00:00,0.6355,0.6435,0.6344,0.6434,831669
2025-07-12 14:00:00+00:00,0.6434,0.6482,0.6404,0.6479,1233619
2025-07-12 14:15:00+00:00,0.6479,0.6481,0.6456,0.6478,533547
2025-07-12 14:30:00+00:00,0.6479,0.6479,0.6407,0.6431,724896
2025-07-12 14:45:00+00:00,0.6433,0.6434,0.6376,0.6385,522748
2025-07-12 15:00:00+00:00,0.6384,0.6389,0.6327,0.6341,1024349
2025-07-12 15:15:00+00:00,0.6343,0.637,0.6286,0.6308,1248642
2025-07-12 15:30:00+00:00,0.6309,0.6328,0.6235,0.6248,2590503
2025-07-12 15:45:00+00:00,0.6247,0.6297,0.6242,0.629,1241624
2025-07-12 16:00:00+00:00,0.629,0.6358,0.6259,0.6351,923479
2025-07-12 16:15:00+00:00,0.6351,0.6394,0.6346,0.6359,766403
2025-07-12 16:30:00+00:00,0.6359,0.6383,0.6356,0.6372,364032
2025-07-12 16:45:00+00:00,0.6373,0.6387,0.6323,0.633,376041
2025-07-12 17:00:00+00:00,0.6329,0.6395,0.6314,0.6389,571058
2025-07-12 17:15:00+00:00,0.6389,0.6433,0.6389,0.6429,470895
2025-07-12 17:30:00+00:00,0.6429,0.6463,0.641,0.6444,352350
2025-07-12 17:45:00+00:00,0.6443,0.6451,0.6429,0.6443,213984
2025-07-12 18:00:00+00:00,0.6442,0.6454,0.6427,0.6444,396454
2025-07-12 18:15:00+00:00,0.6442,0.6442,0.6411,0.6431,178978
2025-07-12 18:30:00+00:00,0.6431,0.6456,0.6425,0.6441,217469
2025-07-12 18:45:00+00:00,0.6439,0.6468,0.643,0.6443,203327
2025-07-12 19:00:00+00:00,0.6443,0.6458,0.6436,0.6439,208590
2025-07-12 19:15:00+00:00,0.6438,0.6446,0.6417,0.6422,161446
2025-07-12 19:30:00+00:00,0.6423,0.6467,0.6419,0.6453,247388
2025-07-12 19:45:00+00:00,0.6454,0.6459,0.6441,0.6456,135612
2025-07-12 20:00:00+00:00,0.6456,0.6458,0.6421,0.6424,231519
2025-07-12 20:15:00+00:00,0.6425,0.6432,0.6393,0.6411,393743
2025-07-12 20:30:00+00:00,0.6411,0.6414,0.6368,0.6386,440064
2025-07-12 20:45:00+00:00,0.6385,0.6385,0.6344,0.6347,366696
2025-07-12 21:00:00+00:00,0.6346,0.6396,0.6344,0.638,1218750
2025-07-12 21:15:00+00:00,0.6381,0.6435,0.638,0.643,257030
2025-07-12 21:30:00+00:00,0.6431,0.6455,0.6415,0.6455,178729
2025-07-12 21:45:00+00:00,0.6455,0.6461,0.6439,0.6453,320754
2025-07-12 22:00:00+00:00,0.6454,0.6463,0.6427,0.6434,371666
2025-07-12 22:15:00+00:00,0.6435,0.6449,0.639,0.6446,301193
