open_time,open,high,low,close,volume
2025-07-11 03:15:00+00:00,11.8,11.9,11.78,11.88,25944
2025-07-11 03:30:00+00:00,11.89,11.91,11.8,11.86,44463
2025-07-11 03:45:00+00:00,11.86,11.94,11.82,11.93,53543
2025-07-11 04:00:00+00:00,11.93,12.02,11.87,11.88,99867
2025-07-11 04:15:00+00:00,11.88,11.94,11.88,11.91,43498
2025-07-11 04:30:00+00:00,11.91,11.94,11.84,11.9,36216
2025-07-11 04:45:00+00:00,11.9,11.92,11.84,11.89,44275
2025-07-11 05:00:00+00:00,11.88,12.01,11.88,11.91,55064
2025-07-11 05:15:00+00:00,11.9,11.99,11.9,11.96,46332
2025-07-11 05:30:00+00:00,11.95,11.99,11.89,11.91,51371
2025-07-11 05:45:00+00:00,11.92,11.97,11.83,11.84,66612
2025-07-11 06:00:00+00:00,11.85,12.01,11.84,11.92,124406
2025-07-11 06:15:00+00:00,11.93,12.11,11.93,12.11,89408
2025-07-11 06:30:00+00:00,12.1,13.47,12.07,13.07,2756500
2025-07-11 06:45:00+00:00,13.06,13.13,12.47,12.98,2796212
2025-07-11 07:00:00+00:00,12.98,13.34,12.64,13.14,1321623
2025-07-11 07:15:00+00:00,13.14,13.62,12.99,13.48,966337
2025-07-11 07:30:00+00:00,13.49,13.68,13.16,13.26,536953
2025-07-11 07:45:00+00:00,13.27,13.3,13.02,13.07,312688
2025-07-11 08:00:00+00:00,13.07,13.85,12.92,13.52,1715755
2025-07-11 08:15:00+00:00,13.52,13.66,13.21,13.28,645125
2025-07-11 08:30:00+00:00,13.28,13.33,13.22,13.28,138888
2025-07-11 08:45:00+00:00,13.27,13.3,13.1,13.3,194240
2025-07-11 09:00:00+00:00,13.3,13.32,13.18,13.26,146749
2025-07-11 09:15:00+00:00,13.27,13.36,13.23,13.36,251920
2025-07-11 09:30:00+00:00,13.37,13.63,13.32,13.53,376510
2025-07-11 09:45:00+00:00,13.53,13.61,13.45,13.54,250204
2025-07-11 10:00:00+00:00,13.53,13.61,13.47,13.51,227140
2025-07-11 10:15:00+00:00,13.51,13.52,12.88,13.13,485702
2025-07-11 10:30:00+00:00,13.14,13.19,13.09,13.14,128840
2025-07-11 10:45:00+00:00,13.15,13.31,13.13,13.13,205935
2025-07-11 11:00:00+00:00,13.13,13.26,13.11,13.22,100618
2025-07-11 11:15:00+00:00,13.21,13.25,13.17,13.22,55346
2025-07-11 11:30:00+00:00,13.21,13.29,13.19,13.28,33245
2025-07-11 11:45:00+00:00,13.27,13.32,13.17,13.29,68701
2025-07-11 12:00:00+00:00,13.29,13.49,13.28,13.47,166384
2025-07-11 12:15:00+00:00,13.48,13.48,13.23,13.27,166555
