open_time,open,high,low,close,volume
2025-09-11 03:15:00+00:00,4.902,4.931,4.901,4.928,2005226
2025-09-11 03:30:00+00:00,4.928,4.93,4.917,4.92,953162
2025-09-11 03:45:00+00:00,4.921,4.93,4.921,4.926,550591
2025-09-11 04:00:00+00:00,4.926,4.93,4.912,4.916,5572407
2025-09-11 04:15:00+00:00,4.915,4.922,4.908,4.919,2048714
2025-09-11 04:30:00+00:00,4.92,4.93,4.914,4.925,848792
2025-09-11 04:45:00+00:00,4.924,4.933,4.917,4.922,3872400
2025-09-11 05:00:00+00:00,4.923,4.924,4.895,4.899,1814432
2025-09-11 05:15:00+00:00,4.899,4.904,4.89,4.896,2166458
2025-09-11 05:30:00+00:00,4.898,4.911,4.891,4.91,941458
2025-09-11 05:45:00+00:00,4.911,4.915,4.904,4.913,1086770
2025-09-11 06:00:00+00:00,4.913,4.913,4.902,4.906,791180
2025-09-11 06:15:00+00:00,4.907,4.927,4.903,4.922,1920478
2025-09-11 06:30:00+00:00,4.923,4.929,4.919,4.927,1270976
2025-09-11 06:45:00+00:00,4.928,4.934,4.925,4.93,535968
2025-09-11 07:00:00+00:00,4.931,4.932,4.92,4.92,1253074
2025-09-11 07:15:00+00:00,4.921,4.939,4.917,4.938,1972489
2025-09-11 07:30:00+00:00,4.937,4.939,4.928,4.93,673413
2025-09-11 07:45:00+00:00,4.93,4.932,4.92,4.929,1784722
2025-09-11 08:00:00+00:00,4.929,4.929,4.913,4.926,1705474
2025-09-11 08:15:00+00:00,4.926,4.93,4.92,4.92,539327
2025-09-11 08:30:00+00:00,4.919,4.93,4.915,4.93,472175
2025-09-11 08:45:00+00:00,4.929,4.929,4.915,4.92,853688
2025-09-11 09:00:00+00:00,4.921,4.921,4.909,4.909,529651
2025-09-11 09:15:00+00:00,4.908,4.915,4.904,4.908,621521
2025-09-11 09:30:00+00:00,4.908,4.912,4.902,4.912,199999
2025-09-11 09:45:00+00:00,4.911,4.912,4.9,4.909,1005006
2025-09-11 10:00:00+00:00,4.908,4.911,4.9,4.904,586286
2025-09-11 10:15:00+00:00,4.905,4.905,4.885,4.892,1600995
2025-09-11 10:30:00+00:00,4.892,4.909,4.888,4.905,2043151
2025-09-11 10:45:00+00:00,4.904,4.912,4.899,4.906,1424635
2025-09-11 11:00:00+00:00,4.905,4.916,4.903,4.913,1464722
2025-09-11 11:15:00+00:00,4.913,4.916,4.903,4.903,706744
