open_time,open,high,low,close,volume
2025-11-11 03:15:00+00:00,1.146,1.149,1.141,1.146,22772
2025-11-11 03:30:00+00:00,1.146,1.153,1.137,1.14,29143
2025-11-11 03:45:00+00:00,1.14,1.141,1.132,1.133,29848
2025-11-11 04:00:00+00:00,1.133,1.134,1.119,1.121,70001
2025-11-11 04:15:00+00:00,1.121,1.126,1.115,1.116,46755
2025-11-11 04:30:00+00:00,1.116,1.12,1.109,1.113,43010
2025-11-11 04:45:00+00:00,1.113,1.116,1.107,1.113,52446
2025-11-11 05:00:00+00:00,1.112,1.114,1.1,1.108,50036
2025-11-11 05:15:00+00:00,1.107,1.117,1.098,1.103,56480
2025-11-11 05:30:00+00:00,1.104,1.104,1.087,1.094,77243
2025-11-11 05:45:00+00:00,1.093,1.097,1.08,1.082,72074
2025-11-11 06:00:00+00:00,1.082,1.085,1.072,1.083,106205
2025-11-11 06:15:00+00:00,1.083,1.091,1.083,1.088,66262
2025-11-11 06:30:00+00:00,1.089,1.095,1.087,1.088,23527
2025-11-11 06:45:00+00:00,1.088,1.088,1.074,1.084,55191
2025-11-11 07:00:00+00:00,1.083,1.084,1.071,1.079,78747
2025-11-11 07:15:00+00:00,1.079,1.079,1.063,1.069,172346
2025-11-11 07:30:00+00:00,1.069,1.072,1.058,1.064,74242
2025-11-11 07:45:00+00:00,1.064,1.065,1.047,1.052,132429
2025-11-11 08:00:00+00:00,1.052,1.063,1.05,1.056,74181
2025-11-11 08:15:00+00:00,1.057,1.061,1.054,1.055,34404
2025-11-11 08:30:00+00:00,1.055,1.057,1.041,1.049,100438
2025-11-11 08:45:00+00:00,1.049,1.052,1.042,1.047,40611
2025-11-11 09:00:00+00:00,1.047,1.054,1.044,1.045,38096
2025-11-11 09:15:00+00:00,1.045,1.055,1.039,1.054,57669
2025-11-11 09:30:00+00:00,1.053,1.064,1.051,1.057,54564
2025-11-11 09:45:00+00:00,1.056,1.062,1.051,1.051,55813
2025-11-11 10:00:00+00:00,1.051,1.065,1.05,1.061,51804
2025-11-11 10:15:00+00:00,1.061,1.073,1.061,1.071,54922
2025-11-11 10:30:00+00:00,1.071,1.072,1.058,1.063,26817
2025-11-11 10:45:00+00:00,1.063,1.067,1.06,1.067,15405
2025-11-11 11:00:00+00:00,1.067,1.071,1.063,1.066,64481
2025-11-11 11:15:00+00:00,1.066,1.066,1.05,1.05,35307
2025-11-11 11:30:00+00:00,1.05,1.06,1.048,1.059,36711
2025-11-11 11:45:00+00:00,1.059,1.06,1.045,1.053,34477
2025-11-11 12:00:00+00:00,1.052,1.057,1.047,1.047,41586
2025-11-11 12:15:00+00:00,1.047,1.051,1.033,1.039,66438
2025-11-11 12:30:00+00:00,1.039,1.045,1.038,1.042,23366
2025-11-11 12:45:00+00:00,1.042,1.051,1.042,1.046,23911
2025-11-11 13:00:00+00:00,1.047,1.053,1.043,1.047,32259
2025-11-11 13:15:00+00:00,1.048,1.049,1.037,1.04,40425
2025-11-11 13:30:00+00:00,1.039,1.042,1.038,1.04,24030
2025-11-11 13:45:00+00:00,1.041,1.045,1.031,1.038,39205
2025-11-11 14:00:00+00:00,1.039,1.039,1.018,1.028,131821
2025-11-11 14:15:00+00:00,1.028,1.038,1.028,1.036,41180
2025-11-11 14:30:00+00:00,1.035,1.036,1.031,1.032,36144
2025-11-11 14:45:00+00:00,1.033,1.044,1.027,1.041,77576
2025-11-11 15:00:00+00:00,1.04,1.041,1.03,1.034,49320
2025-11-11 15:15:00+00:00,1.033,1.042,1.032,1.033,22914
2025-11-11 15:30:00+00:00,1.032,1.039,1.024,1.034,24758
2025-11-11 15:45:00+00:00,1.034,1.037,1.03,1.036,22887
2025-11-11 16:00:00+00:00,1.034,1.043,1.032,1.032,78428
2025-11-11 16:15:00+00:00,1.032,1.035,1.026,1.028,48804
2025-11-11 16:30:00+00:00,1.029,1.038,1.024,1.035,40002
2025-11-11 16:45:00+00:00,1.036,1.043,1.034,1.037,26398
2025-11-11 17:00:00+00:00,1.038,1.042,1.034,1.038,24783
2025-11-11 17:15:00+00:00,1.038,1.042,1.036,1.038,20846
2025-11-11 17:30:00+00:00,1.039,1.04,1.026,1.032,39677
2025-11-11 17:45:00+00:00,1.033,1.041,1.028,1.038,29321
2025-11-11 18:00:00+00:00,1.038,1.039,1.029,1.035,38720
2025-11-11 18:15:00+00:00,1.036,1.039,1.026,1.032,22711
2025-11-11 18:30:00+00:00,1.032,1.035,1.021,1.023,31677
2025-11-11 18:45:00+00:00,1.024,1.034,1.024,1.025,19790
2025-11-11 19:00:00+00:00,1.025,1.025,1.015,1.024,34600
2025-11-11 19:15:00+00:00,1.025,1.032,1.025,1.027,19015
2025-11-11 19:30:00+00:00,1.027,1.027,1.022,1.024,7118
2025-11-11 19:45:00+00:00,1.023,1.024,1.016,1.017,21560
2025-11-11 20:00:00+00:00,1.018,1.02,1.01,1.017,86966
2025-11-11 20:15:00+00:00,1.018,1.024,1.017,1.017,26952
2025-11-11 20:30:00+00:00,1.016,1.016,1.0,1.006,124317
2025-11-11 20:45:00+00:00,1.006,1.008,1.004,1.007,48889
2025-11-11 21:00:00+00:00,1.008,1.011,1.003,1.008,75186
2025-11-11 21:15:00+00:00,1.007,1.013,1.007,1.01,19496
2025-11-11 21:30:00+00:00,1.009,1.01,1.001,1.004,41278
2025-11-11 21:45:00+00:00,1.004,1.008,1.003,1.005,36346
2025-11-11 22:00:00+00:00,1.004,1.005,0.993,1.005,66061
2025-11-11 22:15:00+00:00,1.005,1.008,1.0,1.008,44446
2025-11-11 22:30:00+00:00,1.007,1.017,1.007,1.017,53681
2025-11-11 22:45:00+00:00,1.017,1.021,1.015,1.019,14133
2025-11-11 23:00:00+00:00,1.018,1.021,1.013,1.015,59703
2025-11-11 23:15:00+00:00,1.016,1.019,1.013,1.019,36580
2025-11-11 23:30:00+00:00,1.018,1.019,1.012,1.012,29748
2025-11-11 23:45:00+00:00,1.011,1.014,1.003,1.008,86720
2025-11-12 00:00:00+00:00,1.008,1.018,0.999,1.003,78220
2025-11-12 00:15:00+00:00,1.003,1.014,1.001,1.011,50737
2025-11-12 00:30:00+00:00,1.011,1.017,1.007,1.012,29065
2025-11-12 00:45:00+00:00,1.013,1.019,1.007,1.009,61120
2025-11-12 01:00:00+00:00,1.008,1.028,1.008,1.026,62372
2025-11-12 01:15:00+00:00,1.025,1.029,1.015,1.017,100509
2025-11-12 01:30:00+00:00,1.018,1.022,1.016,1.016,37568
2025-11-12 01:45:00+00:00,1.016,1.022,1.009,1.017,186724
2025-11-12 02:00:00+00:00,1.018,1.026,1.017,1.025,43958
2025-11-12 02:15:00+00:00,1.024,1.026,1.018,1.022,32240
2025-11-12 02:30:00+00:00,1.022,1.022,1.013,1.02,33425
2025-11-12 02:45:00+00:00,1.02,1.022,1.016,1.021,28967
2025-11-12 03:00:00+00:00,1.022,1.028,1.02,1.027,80217
2025-11-12 03:15:00+00:00,1.028,1.03,1.024,1.025,27309
2025-11-12 03:30:00+00:00,1.026,1.029,1.023,1.028,15971
2025-11-12 03:45:00+00:00,1.028,1.03,1.025,1.026,16137
2025-11-12 04:00:00+00:00,1.027,1.033,1.022,1.032,61610
2025-11-12 04:15:00+00:00,1.032,1.034,1.029,1.029,57154
2025-11-12 04:30:00+00:00,1.029,1.032,1.026,1.027,16194
2025-11-12 04:45:00+00:00,1.026,1.028,1.023,1.025,32228
2025-11-12 05:00:00+00:00,1.026,1.029,1.025,1.027,23500
2025-11-12 05:15:00+00:00,1.026,1.032,1.026,1.029,11596
2025-11-12 05:30:00+00:00,1.029,1.038,1.021,1.032,83586
2025-11-12 05:45:00+00:00,1.033,1.037,1.022,1.024,69895
2025-11-12 06:00:00+00:00,1.023,1.03,1.023,1.029,22733
2025-11-12 06:15:00+00:00,1.028,1.039,1.028,1.032,27806
2025-11-12 06:30:00+00:00,1.031,1.038,1.028,1.03,222335
2025-11-12 06:45:00+00:00,1.03,1.031,1.024,1.026,113852
2025-11-12 07:00:00+00:00,1.026,1.026,1.021,1.026,31790
2025-11-12 07:15:00+00:00,1.025,1.026,1.02,1.024,48312
2025-11-12 07:30:00+00:00,1.024,1.026,1.02,1.023,28063
2025-11-12 07:45:00+00:00,1.023,1.023,1.015,1.019,62577
2025-11-12 08:00:00+00:00,1.02,1.027,1.019,1.024,49986
2025-11-12 08:15:00+00:00,1.025,1.032,1.025,1.03,23109
2025-11-12 08:30:00+00:00,1.032,1.042,1.031,1.036,71258
2025-11-12 08:45:00+00:00,1.036,1.038,1.032,1.033,27887
2025-11-12 09:00:00+00:00,1.033,1.038,1.031,1.037,46542
2025-11-12 09:15:00+00:00,1.038,1.038,1.034,1.035,11294
2025-11-12 09:30:00+00:00,1.036,1.038,1.033,1.037,20524
2025-11-12 09:45:00+00:00,1.037,1.037,1.035,1.037,6374
2025-11-12 10:00:00+00:00,1.038,1.044,1.036,1.042,62461
2025-11-12 10:15:00+00:00,1.042,1.044,1.04,1.042,20459
2025-11-12 10:30:00+00:00,1.043,1.049,1.042,1.044,33910
2025-11-12 10:45:00+00:00,1.044,1.046,1.043,1.046,19139
2025-11-12 11:00:00+00:00,1.045,1.047,1.043,1.043,23455
2025-11-12 11:15:00+00:00,1.042,1.043,1.036,1.036,39617
2025-11-12 11:30:00+00:00,1.036,1.037,1.032,1.033,19431
2025-11-12 11:45:00+00:00,1.033,1.035,1.032,1.033,13770
2025-11-12 12:00:00+00:00,1.032,1.035,1.03,1.035,18829
2025-11-12 12:15:00+00:00,1.035,1.038,1.034,1.035,12093
2025-11-12 12:30:00+00:00,1.034,1.035,1.029,1.03,7423
2025-11-12 12:45:00+00:00,1.03,1.037,1.029,1.033,14098
2025-11-12 13:00:00+00:00,1.033,1.034,1.031,1.032,10813
2025-11-12 13:15:00+00:00,1.032,1.04,1.029,1.038,14528
2025-11-12 13:30:00+00:00,1.038,1.043,1.034,1.043,18051
2025-11-12 13:45:00+00:00,1.042,1.047,1.042,1.044,7562
2025-11-12 14:00:00+00:00,1.045,1.045,1.038,1.04,15455
2025-11-12 14:15:00+00:00,1.04,1.042,1.037,1.038,15759
2025-11-12 14:30:00+00:00,1.038,1.039,1.034,1.039,28413
2025-11-12 14:45:00+00:00,1.038,1.041,1.018,1.026,67345
2025-11-12 15:00:00+00:00,1.025,1.032,1.02,1.021,26370
2025-11-12 15:15:00+00:00,1.022,1.027,1.018,1.021,34686
2025-11-12 15:30:00+00:00,1.021,1.026,1.009,1.01,41579
2025-11-12 15:45:00+00:00,1.011,1.014,0.997,1.003,67397
2025-11-12 16:00:00+00:00,1.002,1.005,0.976,0.986,129035
2025-11-12 16:15:00+00:00,0.987,0.996,0.984,0.993,60777
2025-11-12 16:30:00+00:00,0.992,1.018,0.989,1.016,51233
2025-11-12 16:45:00+00:00,1.016,1.023,1.005,1.008,53758
2025-11-12 17:00:00+00:00,1.008,1.026,1.006,1.017,66597
2025-11-12 17:15:00+00:00,1.016,1.019,1.002,1.003,66182
2025-11-12 17:30:00+00:00,1.002,1.023,0.997,1.015,47873
2025-11-12 17:45:00+00:00,1.015,1.017,1.009,1.011,23077
2025-11-12 18:00:00+00:00,1.011,1.014,1.007,1.01,28823
2025-11-12 18:15:00+00:00,1.011,1.02,1.01,1.016,17473
2025-11-12 18:30:00+00:00,1.016,1.028,1.014,1.026,23399
2025-11-12 18:45:00+00:00,1.026,1.062,1.025,1.044,204667
2025-11-12 19:00:00+00:00,1.043,1.059,1.036,1.038,114732
2025-11-12 19:15:00+00:00,1.038,1.04,1.029,1.034,51082
