open_time,open,high,low,close,volume
2026-02-25 03:15:00+00:00,8.448,8.448,8.395,8.406,2219.58
2026-02-25 03:30:00+00:00,8.405,8.414,8.387,8.397,1594.16
2026-02-25 03:45:00+00:00,8.396,8.414,8.364,8.38,2101.4
2026-02-25 04:00:00+00:00,8.38,8.384,8.336,8.354,3551.99
2026-02-25 04:15:00+00:00,8.353,8.403,8.337,8.403,4186.35
2026-02-25 04:30:00+00:00,8.404,8.45,8.4,8.45,1668.01
2026-02-25 04:45:00+00:00,8.45,8.451,8.38,8.384,3500.04
2026-02-25 05:00:00+00:00,8.383,8.385,8.352,8.354,1278.24
2026-02-25 05:15:00+00:00,8.353,8.353,8.286,8.306,5096.84
2026-02-25 05:30:00+00:00,8.306,8.325,8.265,8.307,2409.3
2026-02-25 05:45:00+00:00,8.308,8.354,8.3,8.337,3029.51
2026-02-25 06:00:00+00:00,8.338,8.367,8.338,8.36,2230.07
2026-02-25 06:15:00+00:00,8.36,8.389,8.342,8.373,838.46
2026-02-25 06:30:00+00:00,8.373,8.396,8.365,8.381,777.39
2026-02-25 06:45:00+00:00,8.381,8.383,8.316,8.326,2055.33
2026-02-25 07:00:00+00:00,8.325,8.341,8.316,8.334,603.39
2026-02-25 07:15:00+00:00,8.333,8.352,8.327,8.344,1253.35
2026-02-25 07:30:00+00:00,8.344,8.357,8.328,8.33,1028.55
2026-02-25 07:45:00+00:00,8.331,8.356,8.329,8.355,936.0
2026-02-25 08:00:00+00:00,8.356,8.361,8.344,8.348,607.71
2026-02-25 08:15:00+00:00,8.349,8.383,8.332,8.38,1335.37
2026-02-25 08:30:00+00:00,8.381,8.394,8.372,8.386,1073.1
2026-02-25 08:45:00+00:00,8.386,8.415,8.382,8.413,1100.22
2026-02-25 09:00:00+00:00,8.413,8.466,8.411,8.455,2936.3
2026-02-25 09:15:00+00:00,8.455,8.476,8.445,8.462,1312.11
2026-02-25 09:30:00+00:00,8.462,8.466,8.443,8.45,1442.75
2026-02-25 09:45:00+00:00,8.45,8.476,8.44,8.476,1263.5
2026-02-25 10:00:00+00:00,8.476,8.507,8.475,8.507,976.59
2026-02-25 10:15:00+00:00,8.508,8.527,8.497,8.517,969.87
2026-02-25 10:30:00+00:00,8.517,8.525,8.497,8.501,1189.42
2026-02-25 10:45:00+00:00,8.501,8.53,8.501,8.509,930.3
2026-02-25 11:00:00+00:00,8.508,8.509,8.472,8.491,1945.94
2026-02-25 11:15:00+00:00,8.491,8.558,8.486,8.541,1467.35
2026-02-25 11:30:00+00:00,8.54,8.551,8.526,8.545,1310.83
2026-02-25 11:45:00+00:00,8.545,8.569,8.538,8.56,837.9
2026-02-25 12:00:00+00:00,8.559,8.588,8.547,8.574,1921.82
2026-02-25 12:15:00+00:00,8.574,8.66,8.56,8.641,3832.05
2026-02-25 12:30:00+00:00,8.641,8.684,8.627,8.635,3628.6
2026-02-25 12:45:00+00:00,8.635,8.706,8.633,8.684,6184.4
2026-02-25 13:00:00+00:00,8.684,8.721,8.681,8.707,4209.15
2026-02-25 13:15:00+00:00,8.707,8.742,8.678,8.738,2627.89
2026-02-25 13:30:00+00:00,8.739,8.823,8.736,8.782,8216.92
2026-02-25 13:45:00+00:00,8.782,8.804,8.752,8.755,5292.2
2026-02-25 14:00:00+00:00,8.756,8.838,8.755,8.829,3081.13
2026-02-25 14:15:00+00:00,8.829,8.879,8.828,8.869,2732.4
2026-02-25 14:30:00+00:00,8.868,8.91,8.838,8.887,7521.25
2026-02-25 14:45:00+00:00,8.888,9.015,8.887,9.001,9844.84
2026-02-25 15:00:00+00:00,9.002,9.072,8.995,9.059,7897.3
2026-02-25 15:15:00+00:00,9.059,9.186,9.059,9.185,7206.54
2026-02-25 15:30:00+00:00,9.185,9.346,9.181,9.336,12249.22
2026-02-25 15:45:00+00:00,9.336,9.349,9.208,9.214,10712.62
2026-02-25 16:00:00+00:00,9.214,9.322,9.213,9.279,7947.03
2026-02-25 16:15:00+00:00,9.278,9.401,9.255,9.383,7712.87
2026-02-25 16:30:00+00:00,9.384,9.403,9.294,9.336,6925.7
2026-02-25 16:45:00+00:00,9.336,9.35,9.287,9.322,3100.14
2026-02-25 17:00:00+00:00,9.322,9.326,9.257,9.311,5469.27
2026-02-25 17:15:00+00:00,9.31,9.373,9.302,9.331,3491.13
2026-02-25 17:30:00+00:00,9.33,9.375,9.325,9.357,3089.34
2026-02-25 17:45:00+00:00,9.358,9.373,9.286,9.299,3631.79
2026-02-25 18:00:00+00:00,9.298,9.358,9.278,9.35,2922.66
2026-02-25 18:15:00+00:00,9.35,9.386,9.322,9.362,3027.42
2026-02-25 18:30:00+00:00,9.362,9.389,9.339,9.349,1336.27
2026-02-25 18:45:00+00:00,9.349,9.374,9.341,9.358,2223.11
2026-02-25 19:00:00+00:00,9.357,9.358,9.293,9.331,3479.64
2026-02-25 19:15:00+00:00,9.331,9.409,9.315,9.401,3795.39
2026-02-25 19:30:00+00:00,9.401,9.419,9.374,9.416,749.99
2026-02-25 19:45:00+00:00,9.416,9.467,9.406,9.457,2362.82
