open_time,open,high,low,close,volume
2026-02-25 03:15:00+00:00,1.7866,1.7891,1.7621,1.7634,53076
2026-02-25 03:30:00+00:00,1.7633,1.7682,1.7494,1.7522,57438
2026-02-25 03:45:00+00:00,1.7512,1.7547,1.7396,1.7455,108365
2026-02-25 04:00:00+00:00,1.7461,1.7488,1.7337,1.7394,45415
2026-02-25 04:15:00+00:00,1.7395,1.7511,1.734,1.7498,62564
2026-02-25 04:30:00+00:00,1.7499,1.7545,1.742,1.745,46414
2026-02-25 04:45:00+00:00,1.7445,1.7624,1.7409,1.7591,69881
2026-02-25 05:00:00+00:00,1.7591,1.766,1.7475,1.7635,43969
2026-02-25 05:15:00+00:00,1.7635,1.7702,1.7542,1.7585,43150
2026-02-25 05:30:00+00:00,1.7587,1.7651,1.7396,1.748,35123
2026-02-25 05:45:00+00:00,1.7483,1.7484,1.7372,1.7382,27809
2026-02-25 06:00:00+00:00,1.7381,1.7519,1.7347,1.7514,53285
2026-02-25 06:15:00+00:00,1.7512,1.7619,1.7461,1.7528,38879
2026-02-25 06:30:00+00:00,1.7527,1.7611,1.7508,1.7549,24670
2026-02-25 06:45:00+00:00,1.7549,1.7574,1.7489,1.7549,15057
2026-02-25 07:00:00+00:00,1.7547,1.756,1.7476,1.749,18535
2026-02-25 07:15:00+00:00,1.7492,1.7516,1.7248,1.7311,99003
2026-02-25 07:30:00+00:00,1.7308,1.745,1.7302,1.7418,32740
2026-02-25 07:45:00+00:00,1.7424,1.7684,1.7414,1.7557,57251
2026-02-25 08:00:00+00:00,1.7557,1.7641,1.7461,1.7519,55375
2026-02-25 08:15:00+00:00,1.7522,1.7703,1.7503,1.7554,28113
2026-02-25 08:30:00+00:00,1.755,1.7716,1.7514,1.7637,42402
2026-02-25 08:45:00+00:00,1.7637,1.7718,1.7584,1.7652,23244
2026-02-25 09:00:00+00:00,1.7653,1.7915,1.7632,1.7857,101383
2026-02-25 09:15:00+00:00,1.7859,1.7991,1.781,1.7911,66724
2026-02-25 09:30:00+00:00,1.7909,1.8048,1.7862,1.7994,67855
2026-02-25 09:45:00+00:00,1.7992,1.8099,1.7979,1.8061,56178
2026-02-25 10:00:00+00:00,1.8063,1.8165,1.7895,1.7997,165684
2026-02-25 10:15:00+00:00,1.7995,1.8083,1.782,1.7854,69488
2026-02-25 10:30:00+00:00,1.7853,1.7929,1.7785,1.7904,37922
2026-02-25 10:45:00+00:00,1.7908,1.7985,1.7849,1.7927,41659
2026-02-25 11:00:00+00:00,1.7927,1.7946,1.7815,1.7857,47250
2026-02-25 11:15:00+00:00,1.7855,1.7894,1.7691,1.7779,41382
2026-02-25 11:30:00+00:00,1.7778,1.7918,1.777,1.7907,37014
2026-02-25 11:45:00+00:00,1.7915,1.7977,1.7863,1.7905,32953
2026-02-25 12:00:00+00:00,1.7905,1.8005,1.781,1.8003,21721
2026-02-25 12:15:00+00:00,1.8003,1.8118,1.7911,1.8112,112098
2026-02-25 12:30:00+00:00,1.811,1.8216,1.8086,1.8127,105067
2026-02-25 12:45:00+00:00,1.8123,1.8916,1.8103,1.8703,617203
2026-02-25 13:00:00+00:00,1.8701,1.9105,1.8619,1.9063,528140
2026-02-25 13:15:00+00:00,1.9061,1.9088,1.8824,1.8965,397626
2026-02-25 13:30:00+00:00,1.8961,1.9288,1.8842,1.9178,428062
2026-02-25 13:45:00+00:00,1.9176,1.9334,1.9073,1.9272,324515
2026-02-25 14:00:00+00:00,1.9271,1.948,1.9245,1.9477,510781
2026-02-25 14:15:00+00:00,1.9477,1.9621,1.929,1.931,595543
2026-02-25 14:30:00+00:00,1.9308,1.9579,1.9204,1.9384,471428
2026-02-25 14:45:00+00:00,1.9384,1.958,1.9251,1.9333,273541
2026-02-25 15:00:00+00:00,1.9335,1.9368,1.9118,1.9208,278928
2026-02-25 15:15:00+00:00,1.9202,1.9453,1.9152,1.9396,178188
2026-02-25 15:30:00+00:00,1.9396,1.9403,1.8947,1.9092,281274
2026-02-25 15:45:00+00:00,1.9086,1.9089,1.8791,1.8876,269826
2026-02-25 16:00:00+00:00,1.8878,1.9033,1.8863,1.8908,135137
2026-02-25 16:15:00+00:00,1.8907,1.9095,1.8846,1.8949,123901
2026-02-25 16:30:00+00:00,1.8953,1.899,1.8839,1.8873,106739
2026-02-25 16:45:00+00:00,1.8872,1.8891,1.8628,1.8711,128411
2026-02-25 17:00:00+00:00,1.8711,1.8905,1.8597,1.882,149028
2026-02-25 17:15:00+00:00,1.8814,1.8814,1.8654,1.8673,52289
2026-02-25 17:30:00+00:00,1.8675,1.8849,1.8626,1.8845,74349
2026-02-25 17:45:00+00:00,1.8843,1.8887,1.8687,1.8711,73575
2026-02-25 18:00:00+00:00,1.8708,1.8711,1.8453,1.8489,145843
2026-02-25 18:15:00+00:00,1.8489,1.8498,1.8333,1.84,72408
2026-02-25 18:30:00+00:00,1.8399,1.8484,1.8291,1.8312,61134
2026-02-25 18:45:00+00:00,1.831,1.8424,1.829,1.8384,33511
2026-02-25 19:00:00+00:00,1.8383,1.8451,1.8316,1.8337,37310
2026-02-25 19:15:00+00:00,1.8338,1.8543,1.8235,1.8425,89477
2026-02-25 19:30:00+00:00,1.8424,1.8459,1.8108,1.8343,269945
2026-02-25 19:45:00+00:00,1.8345,1.8389,1.8279,1.8292,47037
2026-02-25 20:00:00+00:00,1.829,1.8407,1.8282,1.8283,54131
2026-02-25 20:15:00+00:00,1.8286,1.8364,1.8277,1.8283,32493
2026-02-25 20:30:00+00:00,1.8284,1.8395,1.8251,1.8378,31745
2026-02-25 20:45:00+00:00,1.8377,1.8453,1.8358,1.8419,47921
2026-02-25 21:00:00+00:00,1.8429,1.847,1.8395,1.8405,29075
2026-02-25 21:15:00+00:00,1.8402,1.8493,1.8402,1.8411,28663
2026-02-25 21:30:00+00:00,1.8409,1.876,1.8356,1.8584,153666
2026-02-25 21:45:00+00:00,1.8581,1.8592,1.8263,1.8375,137147
2026-02-25 22:00:00+00:00,1.8371,1.8454,1.8318,1.8404,121011
2026-02-25 22:15:00+00:00,1.8401,1.8427,1.8311,1.8332,14791
2026-02-25 22:30:00+00:00,1.8335,1.8397,1.8204,1.8233,21425
2026-02-25 22:45:00+00:00,1.8217,1.8259,1.8013,1.8208,71317
2026-02-25 23:00:00+00:00,1.8201,1.8274,1.8145,1.8201,34984
