open_time,open,high,low,close,volume
2026-02-25 03:15:00+00:00,8.566,8.569,8.509,8.531,81983.2
2026-02-25 03:30:00+00:00,8.53,8.541,8.498,8.515,67071.5
2026-02-25 03:45:00+00:00,8.515,8.537,8.497,8.502,31635.3
2026-02-25 04:00:00+00:00,8.501,8.513,8.453,8.503,63895.6
2026-02-25 04:15:00+00:00,8.503,8.525,8.475,8.524,112828.9
2026-02-25 04:30:00+00:00,8.525,8.551,8.52,8.546,33404.2
2026-02-25 04:45:00+00:00,8.545,8.548,8.481,8.483,57006.4
2026-02-25 05:00:00+00:00,8.483,8.503,8.478,8.486,65266.2
2026-02-25 05:15:00+00:00,8.486,8.486,8.412,8.423,67876.5
2026-02-25 05:30:00+00:00,8.423,8.431,8.352,8.389,85537.4
2026-02-25 05:45:00+00:00,8.389,8.414,8.381,8.407,78793.2
2026-02-25 06:00:00+00:00,8.407,8.428,8.406,8.416,41475.9
2026-02-25 06:15:00+00:00,8.416,8.445,8.397,8.429,19670.8
2026-02-25 06:30:00+00:00,8.428,8.443,8.419,8.434,11932.3
2026-02-25 06:45:00+00:00,8.434,8.434,8.392,8.405,24157.4
2026-02-25 07:00:00+00:00,8.405,8.442,8.398,8.432,19358.6
2026-02-25 07:15:00+00:00,8.431,8.467,8.427,8.46,49896.3
2026-02-25 07:30:00+00:00,8.459,8.484,8.435,8.441,23626.3
2026-02-25 07:45:00+00:00,8.442,8.48,8.436,8.476,12876.1
2026-02-25 08:00:00+00:00,8.476,8.479,8.437,8.451,23623.2
2026-02-25 08:15:00+00:00,8.451,8.487,8.436,8.481,41057.0
2026-02-25 08:30:00+00:00,8.481,8.518,8.48,8.514,24082.2
2026-02-25 08:45:00+00:00,8.514,8.534,8.503,8.524,42346.4
2026-02-25 09:00:00+00:00,8.523,8.577,8.514,8.564,51582.2
2026-02-25 09:15:00+00:00,8.564,8.58,8.551,8.568,19234.4
2026-02-25 09:30:00+00:00,8.568,8.571,8.551,8.565,35065.0
2026-02-25 09:45:00+00:00,8.565,8.58,8.554,8.576,40606.7
2026-02-25 10:00:00+00:00,8.576,8.606,8.568,8.606,51330.2
2026-02-25 10:15:00+00:00,8.606,8.621,8.585,8.591,57163.8
2026-02-25 10:30:00+00:00,8.591,8.598,8.577,8.584,22932.1
2026-02-25 10:45:00+00:00,8.584,8.602,8.575,8.588,22366.6
2026-02-25 11:00:00+00:00,8.587,8.593,8.559,8.568,48310.3
2026-02-25 11:15:00+00:00,8.569,8.635,8.566,8.625,58331.1
2026-02-25 11:30:00+00:00,8.625,8.65,8.618,8.643,45652.7
2026-02-25 11:45:00+00:00,8.644,8.665,8.631,8.657,32539.1
2026-02-25 12:00:00+00:00,8.656,8.687,8.638,8.68,112198.5
2026-02-25 12:15:00+00:00,8.68,8.763,8.667,8.733,148825.8
2026-02-25 12:30:00+00:00,8.734,8.772,8.728,8.746,68611.8
2026-02-25 12:45:00+00:00,8.746,8.827,8.746,8.811,167331.7
2026-02-25 13:00:00+00:00,8.812,8.874,8.812,8.867,186815.2
2026-02-25 13:15:00+00:00,8.867,8.936,8.851,8.916,185648.2
2026-02-25 13:30:00+00:00,8.915,8.978,8.897,8.935,175414.3
2026-02-25 13:45:00+00:00,8.936,8.977,8.862,8.885,239206.9
2026-02-25 14:00:00+00:00,8.886,8.96,8.886,8.948,84875.9
2026-02-25 14:15:00+00:00,8.948,8.985,8.94,8.975,65442.9
2026-02-25 14:30:00+00:00,8.974,9.031,8.951,8.956,303922.8
2026-02-25 14:45:00+00:00,8.955,9.128,8.955,9.122,264524.6
2026-02-25 15:00:00+00:00,9.121,9.181,9.101,9.172,285623.5
2026-02-25 15:15:00+00:00,9.172,9.314,9.172,9.265,444070.0
2026-02-25 15:30:00+00:00,9.266,9.325,9.243,9.309,243432.8
2026-02-25 15:45:00+00:00,9.309,9.333,9.249,9.279,161032.9
2026-02-25 16:00:00+00:00,9.28,9.416,9.279,9.387,352031.9
2026-02-25 16:15:00+00:00,9.387,9.461,9.381,9.409,346555.0
2026-02-25 16:30:00+00:00,9.41,9.432,9.361,9.384,166302.6
2026-02-25 16:45:00+00:00,9.384,9.462,9.384,9.448,132838.1
2026-02-25 17:00:00+00:00,9.448,9.504,9.43,9.47,162771.3
2026-02-25 17:15:00+00:00,9.47,9.507,9.458,9.475,68676.8
2026-02-25 17:30:00+00:00,9.475,9.496,9.433,9.489,91810.5
2026-02-25 17:45:00+00:00,9.49,9.511,9.46,9.476,71645.8
2026-02-25 18:00:00+00:00,9.475,9.476,9.385,9.455,97898.1
2026-02-25 18:15:00+00:00,9.454,9.505,9.441,9.489,63154.4
2026-02-25 18:30:00+00:00,9.49,9.502,9.443,9.473,45256.0
2026-02-25 18:45:00+00:00,9.472,9.473,9.43,9.433,42176.5
2026-02-25 19:00:00+00:00,9.433,9.434,9.348,9.371,95769.9
2026-02-25 19:15:00+00:00,9.37,9.429,9.37,9.415,61328.2
2026-02-25 19:30:00+00:00,9.414,9.424,9.388,9.41,23353.3
2026-02-25 19:45:00+00:00,9.41,9.49,9.402,9.475,52566.6
2026-02-25 20:00:00+00:00,9.474,9.493,9.394,9.395,92183.4
2026-02-25 20:15:00+00:00,9.395,9.418,9.387,9.394,72310.4
2026-02-25 20:30:00+00:00,9.394,9.434,9.387,9.422,45515.6
2026-02-25 20:45:00+00:00,9.422,9.465,9.418,9.425,50348.4
2026-02-25 21:00:00+00:00,9.425,9.452,9.419,9.432,44166.6
2026-02-25 21:15:00+00:00,9.432,9.459,9.387,9.387,53031.9
2026-02-25 21:30:00+00:00,9.387,9.59,9.37,9.513,413700.0
2026-02-25 21:45:00+00:00,9.513,9.53,9.454,9.483,89772.5
2026-02-25 22:00:00+00:00,9.482,9.546,9.482,9.535,43937.3
2026-02-25 22:15:00+00:00,9.534,9.539,9.456,9.466,28498.1
2026-02-25 22:30:00+00:00,9.466,9.49,9.421,9.43,55689.0
2026-02-25 22:45:00+00:00,9.43,9.462,9.381,9.42,66201.5
2026-02-25 23:00:00+00:00,9.42,9.439,9.368,9.413,55662.9
2026-02-25 23:15:00+00:00,9.413,9.413,9.312,9.317,80026.5
2026-02-25 23:30:00+00:00,9.317,9.341,9.193,9.206,177783.4
2026-02-25 23:45:00+00:00,9.206,9.267,9.181,9.267,53054.6
2026-02-26 00:00:00+00:00,9.266,9.308,9.213,9.284,85940.0
2026-02-26 00:15:00+00:00,9.284,9.334,9.281,9.283,57658.1
2026-02-26 00:30:00+00:00,9.282,9.307,9.195,9.241,100052.3
2026-02-26 00:45:00+00:00,9.242,9.256,9.218,9.242,66847.9
2026-02-26 01:00:00+00:00,9.242,9.276,9.201,9.236,70631.9
2026-02-26 01:15:00+00:00,9.236,9.239,9.202,9.208,44730.7
