open_time,open,high,low,close,volume
2025-06-11 03:15:00+00:00,2.714,2.717,2.7,2.712,198353
2025-06-11 03:30:00+00:00,2.712,2.72,2.704,2.718,131241
2025-06-11 03:45:00+00:00,2.718,2.719,2.702,2.717,251456
2025-06-11 04:00:00+00:00,2.718,2.735,2.699,2.699,368813
2025-06-11 04:15:00+00:00,2.699,2.702,2.694,2.698,163238
2025-06-11 04:30:00+00:00,2.698,2.715,2.696,2.704,178418
2025-06-11 04:45:00+00:00,2.705,2.718,2.696,2.716,139116
2025-06-11 05:00:00+00:00,2.715,2.716,2.696,2.708,214675
2025-06-11 05:15:00+00:00,2.71,2.742,2.705,2.74,362674
2025-06-11 05:30:00+00:00,2.74,2.766,2.734,2.759,1342055
2025-06-11 05:45:00+00:00,2.759,2.797,2.753,2.792,1078737
2025-06-11 06:00:00+00:00,2.792,2.832,2.788,2.826,1971570
2025-06-11 06:15:00+00:00,2.826,2.847,2.818,2.833,2249903
2025-06-11 06:30:00+00:00,2.833,2.854,2.779,2.807,2618254
2025-06-11 06:45:00+00:00,2.808,2.816,2.768,2.785,1030705
2025-06-11 07:00:00+00:00,2.786,2.797,2.763,2.792,747768
2025-06-11 07:15:00+00:00,2.792,2.797,2.771,2.783,455665
2025-06-11 07:30:00+00:00,2.784,2.795,2.775,2.791,366953
2025-06-11 07:45:00+00:00,2.79,2.798,2.778,2.783,327204
2025-06-11 08:00:00+00:00,2.783,2.801,2.778,2.79,456226
2025-06-11 08:15:00+00:00,2.791,2.796,2.774,2.781,368389
2025-06-11 08:30:00+00:00,2.782,2.793,2.772,2.772,245897
2025-06-11 08:45:00+00:00,2.772,2.772,2.737,2.745,1079286
2025-06-11 09:00:00+00:00,2.746,2.749,2.726,2.74,460683
2025-06-11 09:15:00+00:00,2.741,2.763,2.741,2.76,558762
2025-06-11 09:30:00+00:00,2.761,2.763,2.744,2.753,350942
2025-06-11 09:45:00+00:00,2.753,2.756,2.714,2.725,696657
2025-06-11 10:00:00+00:00,2.726,2.733,2.711,2.724,688655
2025-06-11 10:15:00+00:00,2.723,2.737,2.721,2.727,402529
2025-06-11 10:30:00+00:00,2.728,2.729,2.705,2.713,575517
2025-06-11 10:45:00+00:00,2.714,2.724,2.71,2.712,138872
2025-06-11 11:00:00+00:00,2.713,2.715,2.703,2.706,106295
2025-06-11 11:15:00+00:00,2.706,2.707,2.68,2.693,614156
2025-06-11 11:30:00+00:00,2.693,2.705,2.676,2.686,560654
2025-06-11 11:45:00+00:00,2.686,2.697,2.682,2.689,157740
2025-06-11 12:00:00+00:00,2.69,2.703,2.685,2.696,755813
2025-06-11 12:15:00+00:00,2.695,2.698,2.676,2.689,197248
2025-06-11 12:30:00+00:00,2.69,2.735,2.69,2.728,1145230
2025-06-11 12:45:00+00:00,2.728,2.728,2.704,2.712,195579
2025-06-11 13:00:00+00:00,2.713,2.728,2.708,2.717,142825
2025-06-11 13:15:00+00:00,2.717,2.732,2.717,2.732,108138
2025-06-11 13:30:00+00:00,2.731,2.731,2.706,2.716,154229
2025-06-11 13:45:00+00:00,2.715,2.715,2.702,2.711,61390
2025-06-11 14:00:00+00:00,2.712,2.724,2.709,2.724,32592
2025-06-11 14:15:00+00:00,2.725,2.749,2.724,2.747,571055
2025-06-11 14:30:00+00:00,2.747,2.759,2.731,2.734,496074
2025-06-11 14:45:00+00:00,2.734,2.744,2.729,2.741,152473
