open_time,open,high,low,close,volume
2025-08-11 03:15:00+00:00,4.137,4.14,4.125,4.126,69740
2025-08-11 03:30:00+00:00,4.126,4.133,4.111,4.112,81889
2025-08-11 03:45:00+00:00,4.111,4.133,4.111,4.128,45567
2025-08-11 04:00:00+00:00,4.129,4.157,4.129,4.152,76296
2025-08-11 04:15:00+00:00,4.152,4.158,4.143,4.143,57586
2025-08-11 04:30:00+00:00,4.144,4.147,4.136,4.139,36562
2025-08-11 04:45:00+00:00,4.138,4.149,4.125,4.125,110347
2025-08-11 05:00:00+00:00,4.125,4.136,4.123,4.131,45858
2025-08-11 05:15:00+00:00,4.13,4.135,4.123,4.124,22325
2025-08-11 05:30:00+00:00,4.123,4.134,4.121,4.127,238509
2025-08-11 05:45:00+00:00,4.128,4.131,4.119,4.128,55594
2025-08-11 06:00:00+00:00,4.128,4.136,4.121,4.121,37959
2025-08-11 06:15:00+00:00,4.122,4.125,4.106,4.116,63659
2025-08-11 06:30:00+00:00,4.116,4.12,4.108,4.114,25750
2025-08-11 06:45:00+00:00,4.114,4.122,4.107,4.115,79782
2025-08-11 07:00:00+00:00,4.115,4.117,4.103,4.11,97579
2025-08-11 07:15:00+00:00,4.11,4.11,4.069,4.08,214641
2025-08-11 07:30:00+00:00,4.08,4.08,4.052,4.064,144959
2025-08-11 07:45:00+00:00,4.063,4.063,4.038,4.045,140983
2025-08-11 08:00:00+00:00,4.045,4.048,4.023,4.044,215043
2025-08-11 08:15:00+00:00,4.045,4.058,4.042,4.057,145912
2025-08-11 08:30:00+00:00,4.057,4.072,4.051,4.07,62005
2025-08-11 08:45:00+00:00,4.069,4.069,4.05,4.056,63665
2025-08-11 09:00:00+00:00,4.056,4.066,4.054,4.066,44861
2025-08-11 09:15:00+00:00,4.066,4.067,4.049,4.062,39358
2025-08-11 09:30:00+00:00,4.062,4.071,4.049,4.054,67467
2025-08-11 09:45:00+00:00,4.055,4.057,4.034,4.046,51850
2025-08-11 10:00:00+00:00,4.046,4.046,4.024,4.03,74288
2025-08-11 10:15:00+00:00,4.029,4.045,4.007,4.039,161297
2025-08-11 10:30:00+00:00,4.038,4.041,4.018,4.022,76362
2025-08-11 10:45:00+00:00,4.022,4.028,4.01,4.015,67680
2025-08-11 11:00:00+00:00,4.014,4.016,3.986,3.992,185291
2025-08-11 11:15:00+00:00,3.991,3.992,3.941,3.941,361842
2025-08-11 11:30:00+00:00,3.943,3.963,3.935,3.957,257145
2025-08-11 11:45:00+00:00,3.957,3.957,3.909,3.93,351614
2025-08-11 12:00:00+00:00,3.93,3.942,3.917,3.923,197089
2025-08-11 12:15:00+00:00,3.922,3.934,3.915,3.928,110791
2025-08-11 12:30:00+00:00,3.929,3.938,3.899,3.908,299335
2025-08-11 12:45:00+00:00,3.909,3.921,3.9,3.917,135586
2025-08-11 13:00:00+00:00,3.918,3.919,3.885,3.895,215811
2025-08-11 13:15:00+00:00,3.895,3.907,3.881,3.888,161347
2025-08-11 13:30:00+00:00,3.888,3.947,3.884,3.941,360401
2025-08-11 13:45:00+00:00,3.94,3.957,3.93,3.941,243591
2025-08-11 14:00:00+00:00,3.942,3.971,3.94,3.947,433584
2025-08-11 14:15:00+00:00,3.948,3.964,3.94,3.952,106266
2025-08-11 14:30:00+00:00,3.953,3.985,3.948,3.948,202254
2025-08-11 14:45:00+00:00,3.947,3.951,3.927,3.938,68429
2025-08-11 15:00:00+00:00,3.937,3.939,3.917,3.928,136441
2025-08-11 15:15:00+00:00,3.927,3.952,3.924,3.929,127012
2025-08-11 15:30:00+00:00,3.929,3.961,3.926,3.959,176450
2025-08-11 15:45:00+00:00,3.958,3.964,3.948,3.962,70983
2025-08-11 16:00:00+00:00,3.962,4.019,3.96,3.99,358539
2025-08-11 16:15:00+00:00,3.991,4.0,3.967,3.98,113966
2025-08-11 16:30:00+00:00,3.98,3.989,3.944,3.946,134975
2025-08-11 16:45:00+00:00,3.946,3.969,3.944,3.958,146577
2025-08-11 17:00:00+00:00,3.957,3.972,3.951,3.952,44839
2025-08-11 17:15:00+00:00,3.951,3.963,3.928,3.957,113554
2025-08-11 17:30:00+00:00,3.956,3.957,3.934,3.941,65725
2025-08-11 17:45:00+00:00,3.942,3.944,3.925,3.939,73501
2025-08-11 18:00:00+00:00,3.939,3.94,3.905,3.925,351821
2025-08-11 18:15:00+00:00,3.925,3.931,3.911,3.928,70440
2025-08-11 18:30:00+00:00,3.929,3.947,3.925,3.925,49816
2025-08-11 18:45:00+00:00,3.924,3.943,3.917,3.938,54477
2025-08-11 19:00:00+00:00,3.937,3.939,3.927,3.931,46017
2025-08-11 19:15:00+00:00,3.931,3.938,3.923,3.934,26515
2025-08-11 19:30:00+00:00,3.935,3.935,3.912,3.916,63606
2025-08-11 19:45:00+00:00,3.916,3.921,3.875,3.908,299453
