open_time,open,high,low,close,volume
2025-08-11 03:15:00+00:00,23.57,23.59,23.49,23.52,2006.08
2025-08-11 03:30:00+00:00,23.51,23.56,23.45,23.46,1753.14
2025-08-11 03:45:00+00:00,23.46,23.53,23.46,23.53,2393.2
2025-08-11 04:00:00+00:00,23.52,23.66,23.49,23.63,2910.26
2025-08-11 04:15:00+00:00,23.63,23.7,23.55,23.55,2024.1
2025-08-11 04:30:00+00:00,23.55,23.58,23.52,23.54,2719.86
2025-08-11 04:45:00+00:00,23.53,23.57,23.44,23.44,3782.9
2025-08-11 05:00:00+00:00,23.45,23.54,23.43,23.53,1564.74
2025-08-11 05:15:00+00:00,23.53,23.53,23.47,23.47,898.53
2025-08-11 05:30:00+00:00,23.48,23.51,23.43,23.45,1005.86
2025-08-11 05:45:00+00:00,23.45,23.45,23.37,23.44,3324.56
2025-08-11 06:00:00+00:00,23.45,23.49,23.36,23.38,1558.81
2025-08-11 06:15:00+00:00,23.38,23.44,23.33,23.34,1920.29
2025-08-11 06:30:00+00:00,23.35,23.38,23.32,23.35,1057.04
2025-08-11 06:45:00+00:00,23.35,23.38,23.31,23.32,1457.22
2025-08-11 07:00:00+00:00,23.33,23.38,23.3,23.34,933.46
2025-08-11 07:15:00+00:00,23.34,23.35,23.12,23.15,8555.64
2025-08-11 07:30:00+00:00,23.15,23.16,23.01,23.08,4869.75
2025-08-11 07:45:00+00:00,23.07,23.07,22.91,22.96,4033.36
2025-08-11 08:00:00+00:00,22.95,22.96,22.84,22.96,4176.79
2025-08-11 08:15:00+00:00,22.97,23.05,22.95,23.04,2106.05
2025-08-11 08:30:00+00:00,23.03,23.14,22.99,23.11,1834.43
2025-08-11 08:45:00+00:00,23.1,23.16,23.05,23.13,1254.33
2025-08-11 09:00:00+00:00,23.12,23.17,23.11,23.17,936.97
2025-08-11 09:15:00+00:00,23.17,23.17,23.09,23.15,1022.51
2025-08-11 09:30:00+00:00,23.15,23.2,23.03,23.09,1740.63
2025-08-11 09:45:00+00:00,23.1,23.12,22.98,23.07,3180.53
2025-08-11 10:00:00+00:00,23.06,23.08,22.97,22.98,2091.82
2025-08-11 10:15:00+00:00,22.99,23.07,22.85,23.05,5074.78
2025-08-11 10:30:00+00:00,23.05,23.06,22.94,22.98,2739.0
2025-08-11 10:45:00+00:00,22.98,23.02,22.87,22.89,2520.26
2025-08-11 11:00:00+00:00,22.88,22.9,22.75,22.79,3516.2
2025-08-11 11:15:00+00:00,22.79,22.8,22.54,22.54,6752.01
2025-08-11 11:30:00+00:00,22.54,22.66,22.5,22.61,6650.49
2025-08-11 11:45:00+00:00,22.62,22.62,22.32,22.42,13023.97
2025-08-11 12:00:00+00:00,22.41,22.52,22.34,22.49,4306.01
