open_time,open,high,low,close,volume
2025-08-11 03:15:00+00:00,0.8021,0.8074,0.8009,0.8049,942690
2025-08-11 03:30:00+00:00,0.8048,0.8051,0.7979,0.798,757624
2025-08-11 03:45:00+00:00,0.798,0.8017,0.7974,0.8014,762658
2025-08-11 04:00:00+00:00,0.8015,0.8118,0.8003,0.809,885324
2025-08-11 04:15:00+00:00,0.8089,0.8107,0.802,0.8023,619700
2025-08-11 04:30:00+00:00,0.8022,0.8054,0.8004,0.802,413137
2025-08-11 04:45:00+00:00,0.8018,0.8035,0.7981,0.7982,996449
2025-08-11 05:00:00+00:00,0.7982,0.8011,0.7961,0.7971,647473
2025-08-11 05:15:00+00:00,0.797,0.7972,0.7946,0.796,467776
2025-08-11 05:30:00+00:00,0.7959,0.8009,0.7954,0.7958,570679
2025-08-11 05:45:00+00:00,0.7957,0.7957,0.7912,0.7947,818308
2025-08-11 06:00:00+00:00,0.7947,0.7961,0.7924,0.7934,450735
2025-08-11 06:15:00+00:00,0.7934,0.7997,0.7902,0.7984,941852
2025-08-11 06:30:00+00:00,0.7982,0.7989,0.7925,0.7942,602328
2025-08-11 06:45:00+00:00,0.7942,0.7953,0.7912,0.7915,570848
2025-08-11 07:00:00+00:00,0.7915,0.7931,0.7898,0.7929,767622
2025-08-11 07:15:00+00:00,0.793,0.793,0.7876,0.7883,698138
2025-08-11 07:30:00+00:00,0.7883,0.7884,0.7821,0.7838,1839973
2025-08-11 07:45:00+00:00,0.7837,0.7844,0.7814,0.7836,1010115
2025-08-11 08:00:00+00:00,0.7836,0.7848,0.7812,0.7848,961875
2025-08-11 08:15:00+00:00,0.7849,0.787,0.7842,0.787,588692
2025-08-11 08:30:00+00:00,0.787,0.7922,0.7862,0.7911,857135
2025-08-11 08:45:00+00:00,0.7912,0.7921,0.7888,0.7907,407230
2025-08-11 09:00:00+00:00,0.7906,0.7913,0.789,0.7905,329697
2025-08-11 09:15:00+00:00,0.7906,0.7934,0.7892,0.7931,515647
2025-08-11 09:30:00+00:00,0.7931,0.7946,0.7906,0.7932,520643
2025-08-11 09:45:00+00:00,0.7933,0.7936,0.7856,0.7884,809049
2025-08-11 10:00:00+00:00,0.7885,0.7885,0.7839,0.785,623445
2025-08-11 10:15:00+00:00,0.785,0.7888,0.7795,0.7874,1445472
2025-08-11 10:30:00+00:00,0.7875,0.7892,0.7865,0.7873,430618
2025-08-11 10:45:00+00:00,0.7873,0.7908,0.7817,0.7821,1097909
2025-08-11 11:00:00+00:00,0.7822,0.7828,0.7768,0.7787,1174728
2025-08-11 11:15:00+00:00,0.7787,0.7791,0.7704,0.7707,1724892
2025-08-11 11:30:00+00:00,0.7708,0.7743,0.7683,0.7689,2399669
2025-08-11 11:45:00+00:00,0.7689,0.7692,0.7571,0.7598,5181088
2025-08-11 12:00:00+00:00,0.7599,0.762,0.7567,0.7592,3201139
2025-08-11 12:15:00+00:00,0.7591,0.7625,0.7582,0.761,1237977
2025-08-11 12:30:00+00:00,0.761,0.7634,0.7546,0.7588,1751428
2025-08-11 12:45:00+00:00,0.7588,0.7624,0.7569,0.7624,1011309
2025-08-11 13:00:00+00:00,0.7624,0.7626,0.7552,0.7578,1185199
2025-08-11 13:15:00+00:00,0.7578,0.7597,0.7508,0.7543,2728237
2025-08-11 13:30:00+00:00,0.7544,0.7692,0.7543,0.7682,2410017
2025-08-11 13:45:00+00:00,0.7682,0.7737,0.7659,0.7696,2404925
2025-08-11 14:00:00+00:00,0.7697,0.7741,0.7666,0.7688,1502543
2025-08-11 14:15:00+00:00,0.7688,0.7735,0.7673,0.7704,819390
2025-08-11 14:30:00+00:00,0.7703,0.7779,0.7691,0.7691,1827698
2025-08-11 14:45:00+00:00,0.7691,0.771,0.7644,0.7651,968671
2025-08-11 15:00:00+00:00,0.7651,0.7665,0.7601,0.7636,914663
2025-08-11 15:15:00+00:00,0.7637,0.7676,0.7621,0.7634,614032
2025-08-11 15:30:00+00:00,0.7634,0.7692,0.7625,0.7679,757879
2025-08-11 15:45:00+00:00,0.7679,0.7707,0.7668,0.7701,882739
2025-08-11 16:00:00+00:00,0.7703,0.7865,0.77,0.7789,3808064
2025-08-11 16:15:00+00:00,0.779,0.7827,0.7729,0.7784,1376161
2025-08-11 16:30:00+00:00,0.7786,0.7818,0.7706,0.7707,1532874
2025-08-11 16:45:00+00:00,0.7708,0.7777,0.7702,0.774,1090888
2025-08-11 17:00:00+00:00,0.7739,0.7749,0.7698,0.7709,1432617
2025-08-11 17:15:00+00:00,0.7706,0.7732,0.7661,0.7719,1113931
2025-08-11 17:30:00+00:00,0.7718,0.772,0.7667,0.7701,498366
2025-08-11 17:45:00+00:00,0.7701,0.7701,0.7653,0.7682,456021
2025-08-11 18:00:00+00:00,0.7682,0.7694,0.7614,0.7682,1010971
2025-08-11 18:15:00+00:00,0.7684,0.7704,0.7654,0.7697,486955
2025-08-11 18:30:00+00:00,0.7698,0.7733,0.7659,0.7659,459348
2025-08-11 18:45:00+00:00,0.7658,0.7715,0.7641,0.7698,459757
2025-08-11 19:00:00+00:00,0.7696,0.771,0.7674,0.7686,335974
2025-08-11 19:15:00+00:00,0.7686,0.771,0.766,0.7704,311212
2025-08-11 19:30:00+00:00,0.7704,0.7709,0.7672,0.7683,371951
2025-08-11 19:45:00+00:00,0.7682,0.7706,0.7607,0.7668,1364909
2025-08-11 20:00:00+00:00,0.7668,0.7673,0.7628,0.7644,583466
2025-08-11 20:15:00+00:00,0.7644,0.7661,0.7614,0.7657,492440
2025-08-11 20:30:00+00:00,0.7656,0.7675,0.7632,0.767,390638
2025-08-11 20:45:00+00:00,0.7671,0.7691,0.7651,0.7666,433375
2025-08-11 21:00:00+00:00,0.7666,0.7701,0.7654,0.769,551752
2025-08-11 21:15:00+00:00,0.7689,0.7689,0.7625,0.7627,403170
2025-08-11 21:30:00+00:00,0.7627,0.7631,0.7521,0.7576,1541833
2025-08-11 21:45:00+00:00,0.7577,0.7582,0.7413,0.7539,5196176
2025-08-11 22:00:00+00:00,0.754,0.7543,0.7457,0.7465,840489
2025-08-11 22:15:00+00:00,0.7465,0.7485,0.7413,0.7458,1150117
2025-08-11 22:30:00+00:00,0.7457,0.7499,0.743,0.7496,576688
