open_time,open,high,low,close,volume
2025-10-11 03:15:00+00:00,0.5866,0.5971,0.5832,0.5864,1061476
2025-10-11 03:30:00+00:00,0.5863,0.5868,0.5737,0.5755,843501
2025-10-11 03:45:00+00:00,0.5754,0.5938,0.5747,0.5908,846513
2025-10-11 04:00:00+00:00,0.5908,0.6002,0.5844,0.5943,875396
2025-10-11 04:15:00+00:00,0.5947,0.6046,0.5891,0.6037,637582
2025-10-11 04:30:00+00:00,0.6036,0.6134,0.5939,0.6128,854230
2025-10-11 04:45:00+00:00,0.6127,0.6327,0.6095,0.6288,1679197
2025-10-11 05:00:00+00:00,0.6289,0.644,0.625,0.6385,1698014
2025-10-11 05:15:00+00:00,0.6384,0.6439,0.6279,0.6334,1344561
2025-10-11 05:30:00+00:00,0.6336,0.6418,0.6128,0.6188,1439051
2025-10-11 05:45:00+00:00,0.6189,0.6327,0.616,0.6244,1086562
2025-10-11 06:00:00+00:00,0.6245,0.6585,0.6211,0.6582,1703353
2025-10-11 06:15:00+00:00,0.658,0.6656,0.6456,0.6643,1996046
2025-10-11 06:30:00+00:00,0.6645,0.6918,0.6615,0.6886,2561358
2025-10-11 06:45:00+00:00,0.6883,0.6964,0.663,0.6766,3982410
2025-10-11 07:00:00+00:00,0.6767,0.6818,0.6582,0.6715,3722912
2025-10-11 07:15:00+00:00,0.6713,0.6836,0.6626,0.6627,2636870
2025-10-11 07:30:00+00:00,0.6628,0.6689,0.6502,0.6547,2904680
2025-10-11 07:45:00+00:00,0.6548,0.6604,0.6439,0.6599,3085949
2025-10-11 08:00:00+00:00,0.6599,0.66,0.6461,0.6532,2489794
2025-10-11 08:15:00+00:00,0.6533,0.6711,0.6529,0.6566,2169080
2025-10-11 08:30:00+00:00,0.6566,0.6694,0.6526,0.664,1315543
2025-10-11 08:45:00+00:00,0.6642,0.6718,0.6597,0.6619,1314113
2025-10-11 09:00:00+00:00,0.6617,0.6711,0.6568,0.6596,1496657
2025-10-11 09:15:00+00:00,0.6591,0.6654,0.6544,0.6565,1178792
2025-10-11 09:30:00+00:00,0.6564,0.6649,0.6518,0.6536,1169919
2025-10-11 09:45:00+00:00,0.6537,0.6578,0.6486,0.6514,731102
2025-10-11 10:00:00+00:00,0.6514,0.6569,0.6465,0.6519,1001181
2025-10-11 10:15:00+00:00,0.6519,0.6594,0.6408,0.6537,1150872
2025-10-11 10:30:00+00:00,0.6539,0.6574,0.6431,0.6445,1116156
2025-10-11 10:45:00+00:00,0.6445,0.6629,0.6416,0.6603,1015882
2025-10-11 11:00:00+00:00,0.6603,0.6607,0.65,0.6505,826768
2025-10-11 11:15:00+00:00,0.6505,0.6543,0.6429,0.6523,1074140
2025-10-11 11:30:00+00:00,0.6525,0.6546,0.6368,0.6446,1525666
2025-10-11 11:45:00+00:00,0.6447,0.6459,0.6383,0.6414,1035690
2025-10-11 12:00:00+00:00,0.6413,0.6588,0.639,0.6538,1873632
2025-10-11 12:15:00+00:00,0.654,0.6577,0.6445,0.65,1000029
2025-10-11 12:30:00+00:00,0.65,0.6558,0.6458,0.6533,1065559
2025-10-11 12:45:00+00:00,0.6532,0.6652,0.6469,0.6595,1452912
2025-10-11 13:00:00+00:00,0.6595,0.6664,0.651,0.6608,1633984
2025-10-11 13:15:00+00:00,0.6608,0.6681,0.6554,0.6598,1385492
2025-10-11 13:30:00+00:00,0.6599,0.664,0.6486,0.6589,1487815
2025-10-11 13:45:00+00:00,0.6591,0.6686,0.6565,0.658,1218867
2025-10-11 14:00:00+00:00,0.658,0.6582,0.647,0.6544,1371012
2025-10-11 14:15:00+00:00,0.6544,0.6593,0.6471,0.6495,1028361
2025-10-11 14:30:00+00:00,0.6495,0.6555,0.6465,0.65,960527
2025-10-11 14:45:00+00:00,0.6501,0.6588,0.6471,0.6526,875205
2025-10-11 15:00:00+00:00,0.6524,0.6661,0.6511,0.6593,1376793
2025-10-11 15:15:00+00:00,0.6592,0.6672,0.6563,0.6598,1153034
2025-10-11 15:30:00+00:00,0.6595,0.6599,0.6444,0.6505,1202582
2025-10-11 15:45:00+00:00,0.6506,0.6537,0.6435,0.6451,1117493
2025-10-11 16:00:00+00:00,0.645,0.6519,0.6408,0.6517,1093251
2025-10-11 16:15:00+00:00,0.6516,0.6558,0.6467,0.6488,988487
2025-10-11 16:30:00+00:00,0.6489,0.6503,0.6195,0.6205,3165377
2025-10-11 16:45:00+00:00,0.6202,0.6323,0.6199,0.6257,1331246
2025-10-11 17:00:00+00:00,0.6257,0.6353,0.6256,0.6342,1294508
2025-10-11 17:15:00+00:00,0.6344,0.636,0.6289,0.6299,1200313
2025-10-11 17:30:00+00:00,0.6298,0.6298,0.6226,0.6261,840878
2025-10-11 17:45:00+00:00,0.6262,0.6319,0.6236,0.6291,693814
2025-10-11 18:00:00+00:00,0.6292,0.6294,0.6154,0.6159,879793
2025-10-11 18:15:00+00:00,0.6158,0.6204,0.6074,0.6078,875617
2025-10-11 18:30:00+00:00,0.6079,0.6109,0.6013,0.6108,1395509
2025-10-11 18:45:00+00:00,0.6106,0.6125,0.6032,0.6042,623882
2025-10-11 19:00:00+00:00,0.6043,0.6051,0.5942,0.5971,1466599
2025-10-11 19:15:00+00:00,0.5972,0.5989,0.5915,0.5949,1080219
2025-10-11 19:30:00+00:00,0.5946,0.596,0.5879,0.5924,714081
2025-10-11 19:45:00+00:00,0.5924,0.5954,0.5836,0.5888,1045089
2025-10-11 20:00:00+00:00,0.5887,0.5942,0.5871,0.5909,746114
2025-10-11 20:15:00+00:00,0.591,0.5988,0.5876,0.5966,851062
2025-10-11 20:30:00+00:00,0.5965,0.6015,0.5866,0.5912,1222760
2025-10-11 20:45:00+00:00,0.5911,0.6023,0.5886,0.5919,1044167
2025-10-11 21:00:00+00:00,0.5917,0.5929,0.5787,0.5835,1136611
2025-10-11 21:15:00+00:00,0.5836,0.6031,0.5806,0.5929,643181
2025-10-11 21:30:00+00:00,0.5929,0.5994,0.589,0.5959,474213
