open_time,open,high,low,close,volume
2025-12-11 03:15:00+00:00,5.267,5.287,5.251,5.259,34550
2025-12-11 03:30:00+00:00,5.26,5.274,5.245,5.267,23990
2025-12-11 03:45:00+00:00,5.265,5.278,5.258,5.266,15325
2025-12-11 04:00:00+00:00,5.263,5.294,5.244,5.292,49550
2025-12-11 04:15:00+00:00,5.294,5.315,5.286,5.311,35187
2025-12-11 04:30:00+00:00,5.31,5.334,5.31,5.326,17594
2025-12-11 04:45:00+00:00,5.327,5.353,5.317,5.329,26329
2025-12-11 05:00:00+00:00,5.328,5.331,5.31,5.316,17803
2025-12-11 05:15:00+00:00,5.318,5.328,5.314,5.326,11125
2025-12-11 05:30:00+00:00,5.326,5.335,5.322,5.326,9660
2025-12-11 05:45:00+00:00,5.326,5.333,5.322,5.324,13215
2025-12-11 06:00:00+00:00,5.325,5.325,5.317,5.323,13960
2025-12-11 06:15:00+00:00,5.326,5.333,5.31,5.313,21797
2025-12-11 06:30:00+00:00,5.311,5.337,5.311,5.324,26691
2025-12-11 06:45:00+00:00,5.324,5.328,5.317,5.323,4289
2025-12-11 07:00:00+00:00,5.323,5.324,5.314,5.319,6657
2025-12-11 07:15:00+00:00,5.318,5.325,5.315,5.318,6027
2025-12-11 07:30:00+00:00,5.318,5.338,5.318,5.325,16811
2025-12-11 07:45:00+00:00,5.326,5.337,5.321,5.326,11123
2025-12-11 08:00:00+00:00,5.328,5.328,5.303,5.314,26720
2025-12-11 08:15:00+00:00,5.314,5.327,5.311,5.32,10239
2025-12-11 08:30:00+00:00,5.319,5.322,5.308,5.316,16143
2025-12-11 08:45:00+00:00,5.316,5.34,5.315,5.334,18850
2025-12-11 09:00:00+00:00,5.336,5.336,5.321,5.324,15543
2025-12-11 09:15:00+00:00,5.324,5.34,5.324,5.332,9249
2025-12-11 09:30:00+00:00,5.332,5.339,5.315,5.315,14243
2025-12-11 09:45:00+00:00,5.314,5.327,5.295,5.298,41192
2025-12-11 10:00:00+00:00,5.297,5.299,5.29,5.295,10774
2025-12-11 10:15:00+00:00,5.294,5.294,5.255,5.263,59871
2025-12-11 10:30:00+00:00,5.264,5.276,5.262,5.273,10430
2025-12-11 10:45:00+00:00,5.274,5.305,5.274,5.301,11396
2025-12-11 11:00:00+00:00,5.302,5.312,5.297,5.308,12585
2025-12-11 11:15:00+00:00,5.306,5.344,5.306,5.344,53881
2025-12-11 11:30:00+00:00,5.345,5.355,5.339,5.342,38642
2025-12-11 11:45:00+00:00,5.338,5.342,5.318,5.33,17995
2025-12-11 12:00:00+00:00,5.328,5.328,5.308,5.315,57954
2025-12-11 12:15:00+00:00,5.315,5.326,5.309,5.32,17147
2025-12-11 12:30:00+00:00,5.321,5.326,5.311,5.318,21802
2025-12-11 12:45:00+00:00,5.32,5.331,5.319,5.324,5737
2025-12-11 13:00:00+00:00,5.325,5.327,5.316,5.321,12138
2025-12-11 13:15:00+00:00,5.32,5.321,5.302,5.312,7448
2025-12-11 13:30:00+00:00,5.312,5.32,5.303,5.315,17736
2025-12-11 13:45:00+00:00,5.314,5.353,5.307,5.345,48678
2025-12-11 14:00:00+00:00,5.343,5.343,5.331,5.335,6251
2025-12-11 14:15:00+00:00,5.335,5.345,5.334,5.34,5322
2025-12-11 14:30:00+00:00,5.341,5.374,5.274,5.349,147590
2025-12-11 14:45:00+00:00,5.349,5.35,5.296,5.316,87065
2025-12-11 15:00:00+00:00,5.313,5.345,5.291,5.334,28890
