open_time,open,high,low,close,volume
2025-12-11 03:15:00+00:00,0.2435,0.2442,0.2418,0.2424,78628
2025-12-11 03:30:00+00:00,0.2424,0.2428,0.2416,0.2416,38315
2025-12-11 03:45:00+00:00,0.2416,0.2432,0.2408,0.2425,58438
2025-12-11 04:00:00+00:00,0.2424,0.2432,0.2406,0.2428,34923
2025-12-11 04:15:00+00:00,0.2429,0.2442,0.2423,0.2432,35002
2025-12-11 04:30:00+00:00,0.2432,0.2444,0.243,0.2438,47682
2025-12-11 04:45:00+00:00,0.2439,0.2461,0.2433,0.2454,60050
2025-12-11 05:00:00+00:00,0.2454,0.2458,0.245,0.245,18108
2025-12-11 05:15:00+00:00,0.245,0.2459,0.2447,0.2456,14483
2025-12-11 05:30:00+00:00,0.2455,0.2468,0.2454,0.2458,16112
2025-12-11 05:45:00+00:00,0.2459,0.2469,0.2459,0.2462,16319
2025-12-11 06:00:00+00:00,0.2462,0.2479,0.2458,0.2475,28285
2025-12-11 06:15:00+00:00,0.2475,0.2492,0.2469,0.2487,63904
2025-12-11 06:30:00+00:00,0.2488,0.2514,0.2482,0.2503,71406
2025-12-11 06:45:00+00:00,0.2503,0.2524,0.2503,0.2515,46849
2025-12-11 07:00:00+00:00,0.2515,0.254,0.251,0.254,40367
2025-12-11 07:15:00+00:00,0.2539,0.2558,0.2524,0.2551,96923
2025-12-11 07:30:00+00:00,0.2552,0.2615,0.2551,0.2578,173298
2025-12-11 07:45:00+00:00,0.2578,0.2587,0.255,0.2555,72817
2025-12-11 08:00:00+00:00,0.2556,0.2557,0.252,0.2537,66722
2025-12-11 08:15:00+00:00,0.2536,0.2548,0.2533,0.2539,38978
2025-12-11 08:30:00+00:00,0.2538,0.2538,0.2489,0.2505,106014
2025-12-11 08:45:00+00:00,0.2505,0.2506,0.2501,0.2506,17742
2025-12-11 09:00:00+00:00,0.2506,0.2539,0.2503,0.2522,48098
2025-12-11 09:15:00+00:00,0.2521,0.2524,0.2513,0.2521,23335
2025-12-11 09:30:00+00:00,0.2521,0.2535,0.2521,0.253,18133
2025-12-11 09:45:00+00:00,0.2529,0.2568,0.2529,0.2567,40256
2025-12-11 10:00:00+00:00,0.2568,0.2624,0.2568,0.2601,182618
2025-12-11 10:15:00+00:00,0.26,0.26,0.2564,0.2579,51982
2025-12-11 10:30:00+00:00,0.2579,0.2579,0.2551,0.2565,23879
2025-12-11 10:45:00+00:00,0.2565,0.2594,0.256,0.2592,39126
2025-12-11 11:00:00+00:00,0.2592,0.2608,0.2588,0.2603,37305
2025-12-11 11:15:00+00:00,0.2603,0.2622,0.2602,0.2615,26636
2025-12-11 11:30:00+00:00,0.2615,0.2615,0.2594,0.2594,41628
2025-12-11 11:45:00+00:00,0.2594,0.261,0.2585,0.2606,32235
2025-12-11 12:00:00+00:00,0.2605,0.2635,0.2602,0.2604,57261
2025-12-11 12:15:00+00:00,0.2604,0.2617,0.2596,0.2597,32395
2025-12-11 12:30:00+00:00,0.2597,0.2602,0.2583,0.2595,23347
2025-12-11 12:45:00+00:00,0.2594,0.2628,0.2594,0.2623,21783
2025-12-11 13:00:00+00:00,0.2624,0.2656,0.2624,0.2643,112050
2025-12-11 13:15:00+00:00,0.2643,0.2652,0.2608,0.261,49368
2025-12-11 13:30:00+00:00,0.261,0.2634,0.2601,0.2628,63022
2025-12-11 13:45:00+00:00,0.2628,0.2648,0.2616,0.2637,34782
2025-12-11 14:00:00+00:00,0.2638,0.2653,0.2632,0.2636,27492
2025-12-11 14:15:00+00:00,0.2637,0.2647,0.2631,0.2637,17659
2025-12-11 14:30:00+00:00,0.2637,0.2688,0.2615,0.2649,92448
2025-12-11 14:45:00+00:00,0.2649,0.2656,0.2626,0.2644,62076
2025-12-11 15:00:00+00:00,0.2643,0.2671,0.2634,0.2645,52004
2025-12-11 15:15:00+00:00,0.2645,0.267,0.2639,0.265,32227
2025-12-11 15:30:00+00:00,0.2649,0.2653,0.263,0.2645,12935
2025-12-11 15:45:00+00:00,0.2646,0.2671,0.2635,0.2665,37663
2025-12-11 16:00:00+00:00,0.2665,0.2693,0.2653,0.2653,104509
2025-12-11 16:15:00+00:00,0.2654,0.268,0.2651,0.2668,46233
