open_time,open,high,low,close,volume
2025-12-11 03:15:00+00:00,45.79,46.15,45.66,45.92,281764
2025-12-11 03:30:00+00:00,45.91,45.94,45.63,45.69,152400
2025-12-11 03:45:00+00:00,45.68,45.68,45.45,45.48,305464
2025-12-11 04:00:00+00:00,45.49,45.8,45.46,45.77,156270
2025-12-11 04:15:00+00:00,45.77,45.98,45.67,45.97,154518
2025-12-11 04:30:00+00:00,45.96,46.13,45.9,45.98,119566
2025-12-11 04:45:00+00:00,45.96,46.05,45.77,45.85,202824
2025-12-11 05:00:00+00:00,45.86,46.11,45.83,45.93,124982
2025-12-11 05:15:00+00:00,45.92,46.08,45.91,45.99,83916
2025-12-11 05:30:00+00:00,45.99,46.15,45.96,46.1,64995
2025-12-11 05:45:00+00:00,46.09,46.28,46.06,46.16,122042
2025-12-11 06:00:00+00:00,46.15,46.62,46.14,46.54,277991
2025-12-11 06:15:00+00:00,46.53,47.26,46.47,47.12,712095
2025-12-11 06:30:00+00:00,47.12,47.5,46.92,47.42,610329
2025-12-11 06:45:00+00:00,47.42,47.54,47.11,47.31,357314
2025-12-11 07:00:00+00:00,47.31,47.42,46.92,46.98,372376
2025-12-11 07:15:00+00:00,46.97,47.1,46.76,47.09,167409
2025-12-11 07:30:00+00:00,47.09,47.47,46.88,46.92,360551
2025-12-11 07:45:00+00:00,46.91,47.12,46.84,47.07,97035
2025-12-11 08:00:00+00:00,47.07,47.18,46.6,46.63,274120
2025-12-11 08:15:00+00:00,46.63,46.71,46.46,46.46,164479
2025-12-11 08:30:00+00:00,46.47,46.6,46.33,46.48,150886
2025-12-11 08:45:00+00:00,46.47,46.52,46.2,46.23,257437
2025-12-11 09:00:00+00:00,46.23,46.77,46.17,46.64,307626
2025-12-11 09:15:00+00:00,46.62,46.7,46.29,46.49,165679
2025-12-11 09:30:00+00:00,46.47,46.8,46.45,46.72,142029
2025-12-11 09:45:00+00:00,46.72,46.74,46.48,46.51,89588
2025-12-11 10:00:00+00:00,46.52,46.86,46.52,46.61,130530
2025-12-11 10:15:00+00:00,46.62,46.64,46.21,46.29,134963
2025-12-11 10:30:00+00:00,46.29,46.3,46.02,46.1,210532
2025-12-11 10:45:00+00:00,46.1,46.42,46.02,46.22,115831
2025-12-11 11:00:00+00:00,46.23,47.3,46.2,47.03,492069
2025-12-11 11:15:00+00:00,47.02,47.23,46.78,46.91,317703
2025-12-11 11:30:00+00:00,46.91,47.45,46.89,47.24,538523
2025-12-11 11:45:00+00:00,47.25,47.39,47.07,47.21,293390
2025-12-11 12:00:00+00:00,47.2,47.51,47.19,47.25,215946
2025-12-11 12:15:00+00:00,47.25,47.4,47.12,47.13,195589
2025-12-11 12:30:00+00:00,47.14,47.5,46.96,47.44,166448
2025-12-11 12:45:00+00:00,47.45,49.1,47.37,48.91,2038028
2025-12-11 13:00:00+00:00,48.91,49.36,48.57,48.6,861165
2025-12-11 13:15:00+00:00,48.6,48.64,48.0,48.43,504672
2025-12-11 13:30:00+00:00,48.44,48.52,47.86,47.93,383722
2025-12-11 13:45:00+00:00,47.94,48.52,47.86,48.38,138189
2025-12-11 14:00:00+00:00,48.37,48.9,48.29,48.69,299770
2025-12-11 14:15:00+00:00,48.71,48.71,48.09,48.2,247547
2025-12-11 14:30:00+00:00,48.18,48.91,47.91,48.77,410812
2025-12-11 14:45:00+00:00,48.78,48.82,48.18,48.64,347447
2025-12-11 15:00:00+00:00,48.63,48.82,48.3,48.47,256681
2025-12-11 15:15:00+00:00,48.47,48.99,48.22,48.58,239705
2025-12-11 15:30:00+00:00,48.56,48.65,48.36,48.5,275085
2025-12-11 15:45:00+00:00,48.49,48.75,48.47,48.72,184911
2025-12-11 16:00:00+00:00,48.72,49.0,48.27,48.39,456832
2025-12-11 16:15:00+00:00,48.38,48.43,48.0,48.38,240064
2025-12-11 16:30:00+00:00,48.39,48.43,47.85,48.05,313863
2025-12-11 16:45:00+00:00,48.05,48.31,47.29,47.58,536998
2025-12-11 17:00:00+00:00,47.58,47.67,47.31,47.65,188877
2025-12-11 17:15:00+00:00,47.66,48.16,47.61,47.89,198185
2025-12-11 17:30:00+00:00,47.88,47.91,47.58,47.68,101964
2025-12-11 17:45:00+00:00,47.68,47.87,47.59,47.64,66982
2025-12-11 18:00:00+00:00,47.64,47.69,47.39,47.45,94685
2025-12-11 18:15:00+00:00,47.46,47.69,47.45,47.66,70093
2025-12-11 18:30:00+00:00,47.67,48.36,47.67,48.35,237291
2025-12-11 18:45:00+00:00,48.34,48.99,48.19,48.9,594742
2025-12-11 19:00:00+00:00,48.9,49.11,48.44,48.64,236858
2025-12-11 19:15:00+00:00,48.65,49.06,48.53,48.64,252820
2025-12-11 19:30:00+00:00,48.63,48.86,48.58,48.68,86564
2025-12-11 19:45:00+00:00,48.67,48.67,48.17,48.31,124345
2025-12-11 20:00:00+00:00,48.32,48.69,48.23,48.48,91864
2025-12-11 20:15:00+00:00,48.48,48.55,48.32,48.46,88658
2025-12-11 20:30:00+00:00,48.45,48.97,48.43,48.91,174628
2025-12-11 20:45:00+00:00,48.91,48.94,48.74,48.79,61660
2025-12-11 21:00:00+00:00,48.79,49.17,48.71,49.17,177797
2025-12-11 21:15:00+00:00,49.17,49.55,49.08,49.35,316684
2025-12-11 21:30:00+00:00,49.35,49.43,48.78,49.02,249668
2025-12-11 21:45:00+00:00,49.03,49.11,48.7,48.74,125158
2025-12-11 22:00:00+00:00,48.74,48.84,48.42,48.57,155776
2025-12-11 22:15:00+00:00,48.56,48.59,48.14,48.24,139651
2025-12-11 22:30:00+00:00,48.24,48.28,47.89,47.89,128762
2025-12-11 22:45:00+00:00,47.9,48.04,47.81,47.97,54481
2025-12-11 23:00:00+00:00,47.96,47.98,47.75,47.76,52133
2025-12-11 23:15:00+00:00,47.77,48.16,47.69,48.13,68847
2025-12-11 23:30:00+00:00,48.14,48.31,48.07,48.13,119634
2025-12-11 23:45:00+00:00,48.14,48.24,47.86,48.06,102905
2025-12-12 00:00:00+00:00,48.05,48.1,47.71,47.71,146809
2025-12-12 00:15:00+00:00,47.72,47.98,47.61,47.85,297507
2025-12-12 00:30:00+00:00,47.85,47.91,47.79,47.81,101164
2025-12-12 00:45:00+00:00,47.8,47.92,47.49,47.53,189664
2025-12-12 01:00:00+00:00,47.54,47.77,47.5,47.72,152817
2025-12-12 01:15:00+00:00,47.71,47.97,47.7,47.88,154646
2025-12-12 01:30:00+00:00,47.87,48.41,47.8,48.23,334310
2025-12-12 01:45:00+00:00,48.24,48.52,47.83,47.94,306177
2025-12-12 02:00:00+00:00,47.94,47.95,47.69,47.91,118944
2025-12-12 02:15:00+00:00,47.9,47.9,47.69,47.71,47671
2025-12-12 02:30:00+00:00,47.72,47.76,47.56,47.66,88426
2025-12-12 02:45:00+00:00,47.66,47.69,47.51,47.67,126458
2025-12-12 03:00:00+00:00,47.67,47.67,47.37,47.41,146549
2025-12-12 03:15:00+00:00,47.42,47.42,47.13,47.27,255399
2025-12-12 03:30:00+00:00,47.26,47.41,47.21,47.36,99078
2025-12-12 03:45:00+00:00,47.36,47.51,47.28,47.43,93811
2025-12-12 04:00:00+00:00,47.43,47.71,47.43,47.55,129924
2025-12-12 04:15:00+00:00,47.56,47.65,47.52,47.59,68570
2025-12-12 04:30:00+00:00,47.58,47.63,47.42,47.48,75070
2025-12-12 04:45:00+00:00,47.48,47.72,47.47,47.57,101287
2025-12-12 05:00:00+00:00,47.58,47.72,47.45,47.57,71444
2025-12-12 05:15:00+00:00,47.57,47.64,47.28,47.36,163664
2025-12-12 05:30:00+00:00,47.35,47.65,47.31,47.62,107870
2025-12-12 05:45:00+00:00,47.62,47.72,47.5,47.55,144621
2025-12-12 06:00:00+00:00,47.54,47.99,47.48,47.95,207793
2025-12-12 06:15:00+00:00,47.94,47.99,47.69,47.69,186737
2025-12-12 06:30:00+00:00,47.69,47.69,47.43,47.62,89003
2025-12-12 06:45:00+00:00,47.62,47.62,47.44,47.46,73232
2025-12-12 07:00:00+00:00,47.45,47.46,47.31,47.37,104519
2025-12-12 07:15:00+00:00,47.36,47.77,47.35,47.62,106786
2025-12-12 07:30:00+00:00,47.63,47.67,47.42,47.51,54409
2025-12-12 07:45:00+00:00,47.51,47.59,47.42,47.51,65745
2025-12-12 08:00:00+00:00,47.51,47.59,47.44,47.59,61263
2025-12-12 08:15:00+00:00,47.59,47.63,47.34,47.36,74545
2025-12-12 08:30:00+00:00,47.36,47.49,47.22,47.47,177962
2025-12-12 08:45:00+00:00,47.47,47.57,47.32,47.42,117993
2025-12-12 09:00:00+00:00,47.42,47.49,47.37,47.49,48539
2025-12-12 09:15:00+00:00,47.5,47.51,47.23,47.23,50565
2025-12-12 09:30:00+00:00,47.25,47.42,47.18,47.37,156562
2025-12-12 09:45:00+00:00,47.38,47.65,47.34,47.59,168799
2025-12-12 10:00:00+00:00,47.59,47.87,47.58,47.81,143933
2025-12-12 10:15:00+00:00,47.8,48.29,47.76,48.09,278817
2025-12-12 10:30:00+00:00,48.09,48.51,48.05,48.07,181558
2025-12-12 10:45:00+00:00,48.07,48.63,48.0,48.58,142152
2025-12-12 11:00:00+00:00,48.57,48.59,48.09,48.13,144807
2025-12-12 11:15:00+00:00,48.13,48.17,47.69,47.88,191239
2025-12-12 11:30:00+00:00,47.89,47.99,47.71,47.9,229149
2025-12-12 11:45:00+00:00,47.9,48.04,47.83,47.93,229994
2025-12-12 12:00:00+00:00,47.93,48.18,47.82,48.16,116422
2025-12-12 12:15:00+00:00,48.16,48.31,47.98,48.04,86819
2025-12-12 12:30:00+00:00,48.04,48.23,47.81,47.91,157194
