epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.623,1.3616,7.26479,1.44303,0.20603,0.13687,0.08024,0.03322,1.89235,7.59769,2.08995,0.000665354,0.000665354,0.000665354
2,187.471,1.1983,1.76786,1.34043,0.25592,0.82961,0.3344,0.16208,1.547,1.85828,1.45614,0.00131004,0.00131004,0.00131004
3,268.272,1.02548,1.64691,1.25483,0.30335,0.97765,0.44374,0.29245,0.84074,1.63029,1.12038,0.00193273,0.00193273,0.00193273
4,348.78,0.91972,1.53777,1.20887,0.29261,0.98045,0.51214,0.33543,0.71014,1.57371,1.0154,0.001901,0.001901,0.001901
5,429.096,0.82593,1.58813,1.14188,0.31549,0.94693,0.48971,0.30958,0.78582,1.5545,1.01443,0.001868,0.001868,0.001868
6,508.423,0.74762,1.55417,1.10473,0.32042,0.98603,0.47913,0.33309,0.59289,1.48592,0.94154,0.001835,0.001835,0.001835
7,587.719,0.71984,1.60656,1.08789,0.29878,0.99441,0.52934,0.36017,0.58411,1.46822,0.95783,0.001802,0.001802,0.001802
8,668.077,0.65175,1.5077,1.06307,0.33572,0.98324,0.45501,0.30962,0.62233,1.45417,0.97474,0.001769,0.001769,0.001769
9,747.348,0.63693,1.47138,1.05146,0.34707,0.99162,0.51569,0.37156,0.5187,1.40701,0.91586,0.001736,0.001736,0.001736
10,827.719,0.63446,1.48131,1.04889,0.3512,1,0.50712,0.36883,0.52011,1.4495,0.94569,0.001703,0.001703,0.001703
11,906.996,0.60834,1.49689,1.03118,0.33996,0.98603,0.46359,0.31832,0.50639,1.48926,0.92491,0.00167,0.00167,0.00167
12,986.286,0.586,1.48612,1.02924,0.34217,0.98324,0.50423,0.35638,0.52443,1.40968,0.94461,0.001637,0.001637,0.001637
13,1065.63,0.55134,1.43697,1.0188,0.37265,0.97207,0.51157,0.36191,0.42018,1.44974,0.8984,0.001604,0.001604,0.001604
14,1144.9,0.53418,1.43124,0.99748,0.33698,0.99441,0.46022,0.33909,0.43345,1.40964,0.89443,0.001571,0.001571,0.001571
15,1224.19,0.53591,1.49532,0.99732,0.29911,0.86662,0.36677,0.21541,1.01667,1.6375,1.18634,0.001538,0.001538,0.001538
16,1303.45,0.51966,1.432,0.99338,0.33746,0.99734,0.44175,0.33108,0.49736,1.45996,0.9549,0.001505,0.001505,0.001505
17,1382.75,0.52816,1.40351,1.00596,0.39584,0.91341,0.46939,0.32958,0.58063,1.5472,1.03412,0.001472,0.001472,0.001472
18,1462.06,0.50381,1.36014,0.99717,0.18077,0.27095,0.16228,0.06072,1.88992,2.94769,1.71142,0.001439,0.001439,0.001439
19,1541.28,0.49665,1.38859,0.9747,0.40265,0.81564,0.51511,0.36258,0.50007,1.42651,0.8924,0.001406,0.001406,0.001406
20,1620.52,0.48961,1.34899,0.97159,0.38793,0.82961,0.47316,0.33277,0.43931,1.48576,0.87329,0.001373,0.001373,0.001373
21,1699.85,0.49177,1.30835,0.98166,0.34763,0.7486,0.37944,0.2341,0.83295,2.14967,1.05788,0.00134,0.00134,0.00134
22,1779.11,0.47455,1.27472,0.96708,0.37386,0.85475,0.4691,0.32174,0.55646,1.76331,0.97275,0.001307,0.001307,0.001307
23,1858.38,0.48093,1.24995,0.97739,0.2818,0.94693,0.3321,0.22557,0.62019,2.68212,1.12576,0.001274,0.001274,0.001274
24,1937.53,0.46036,1.28229,0.95839,0.42438,0.56425,0.45463,0.32301,0.43384,2.33614,0.8935,0.001241,0.001241,0.001241
