feature,gain,split
close_vs_ema200,244.30562114715576,19
spread_chg24,224.94828987121582,23
drawdown24,203.8527693748474,20
atr_pct_ratio96,185.36971998214722,22
slow_slope_12,176.51742029190063,16
full_spread,172.29931020736694,16
spread_mean24,125.70889043807983,14
ret_48,123.20011138916016,15
dense_frac48,114.60651159286499,12
volume_ratio,111.35677862167358,14
fast_slow_gap,102.71847009658813,13
ret_4,92.95830059051514,11
ext_up,90.1117091178894,10
pre_range168,86.1447696685791,12
volume_z,80.12415027618408,10
spread_chg8,79.4690294265747,10
ret_24,74.96241044998169,9
ma_spread_pct,71.10604047775269,8
spread_mean8,67.47905969619751,6
vol_ratio_mean8,65.78828954696655,9
spread_pos96,65.16777086257935,7
close_vs_ema55,64.93314170837402,7
atr_pct,53.16166973114014,7
ret_12,53.140390396118164,7
pre_range48,32.40189027786255,4
dense_run_len,30.777090549468994,4
full_ratio_min48,20.226119995117188,3
order_score,0.0,0
