i,symbol,max_conf,ret12,pos24,bear_stack,bull_stack,filter_reason,image
55,GMT_USDT_SWAP,0.8922,-0.01364,0.2821,1,0,pass,images/train/GMT_USDT_SWAP_023599.png
316,BONK_USDT_SWAP,0.8884,-0.01024,0.0696,1,0,pass,images/train/BONK_USDT_SWAP_021919.png
88,AUCTION_USDT_SWAP,0.8871,-0.010217,0.3534,1,0,pass,images/train/AUCTION_USDT_SWAP_025819.png
361,WET_USDT_SWAP,0.8774,-0.014981,0.0803,1,0,pass,images/train/WET_USDT_SWAP_013239.png
391,F_USDT_SWAP,0.8736,-0.01634,0.0833,1,0,pass,images/train/F_USDT_SWAP_003359.png
314,HMSTR_USDT_SWAP,0.8714,-0.016428,0.1228,1,0,pass,images/train/HMSTR_USDT_SWAP_023499.png
402,ETHFI_USDT_SWAP,0.8672,-0.010836,0.1809,1,0,pass,images/train/ETHFI_USDT_SWAP_008559.png
412,GIGGLE_USDT_SWAP,0.8612,-0.013886,0.1829,1,0,pass,images/train/GIGGLE_USDT_SWAP_008839.png
272,METIS_USDT_SWAP,0.8596,-0.01955,0.1615,1,0,pass,images/train/METIS_USDT_SWAP_022659.png
346,OL_USDT_SWAP,0.8408,-0.013043,0.3175,1,0,pass,images/train/OL_USDT_SWAP_003939.png
70,ZIL_USDT_SWAP,0.8393,-0.025782,0.0945,1,0,pass,images/train/ZIL_USDT_SWAP_014119.png
362,BICO_USDT_SWAP,0.8366,-0.018675,0.1515,1,0,pass,images/train/BICO_USDT_SWAP_018059.png
403,CRO_USDT_SWAP,0.8331,-0.052401,0.0189,1,0,pass,images/train/CRO_USDT_SWAP_015659.png
339,LRC_USDT_SWAP,0.8317,-0.030145,0.1234,1,0,pass,images/train/LRC_USDT_SWAP_015939.png
423,KSM_USDT_SWAP,0.831,-0.026104,0.2716,1,0,pass,images/train/KSM_USDT_SWAP_022279.png
355,THETA_USDT_SWAP,0.8303,-0.014469,0.0984,1,0,pass,images/train/THETA_USDT_SWAP_022439.png
418,LAYER_USDT_SWAP,0.8252,-0.020965,0.0588,1,0,pass,images/train/LAYER_USDT_SWAP_002939.png
78,TRB_USDT_SWAP,0.824,-0.01244,0.2222,1,0,pass,images/train/TRB_USDT_SWAP_018579.png
215,MANA_USDT_SWAP,0.8227,-0.012089,0.2083,1,0,pass,images/train/MANA_USDT_SWAP_027219.png
147,ONT_USDT_SWAP,0.8202,-0.020587,0.1646,1,0,pass,images/train/ONT_USDT_SWAP_024139.png
304,DASH_USDT_SWAP,0.4531,-0.006783,0.3026,1,0,pass,images/train/DASH_USDT_SWAP_015479.png
7,BARD_USDT_SWAP,0.4595,-0.001535,0.4512,1,0,pass,images/train/BARD_USDT_SWAP_003499.png
311,DASH_USDT_SWAP,0.46,-0.001062,0.4227,1,0,pass,images/train/DASH_USDT_SWAP_002979.png
140,MUBARAK_USDT_SWAP,0.4606,-0.011463,0.3488,0,0,pass,images/train/MUBARAK_USDT_SWAP_026899.png
289,YFI_USDT_SWAP,0.4615,-0.00205,0.2899,1,0,pass,images/train/YFI_USDT_SWAP_016199.png
103,MMT_USDT_SWAP,0.4631,-0.00429,0.4833,1,0,pass,images/train/MMT_USDT_SWAP_008199.png
158,ONE_USDT_SWAP,0.4632,-0.016097,0.0833,0,0,pass,images/train/ONE_USDT_SWAP_024239.png
236,COMP_USDT_SWAP,0.4671,-0.00946,0.14,1,0,pass,images/train/COMP_USDT_SWAP_025119.png
211,OPN_USDT_SWAP,0.4679,-0.001067,0.5714,0,0,pass,images/train/OPN_USDT_SWAP_004099.png
125,ORDI_USDT_SWAP,0.4691,-0.001774,0.1381,1,0,pass,images/train/ORDI_USDT_SWAP_010959.png
45,TRB_USDT_SWAP,0.4696,-0.028782,0.1078,0,0,pass,images/train/TRB_USDT_SWAP_015459.png
32,APT_USDT_SWAP,0.4712,-0.010066,0.1719,1,0,pass,images/train/APT_USDT_SWAP_013319.png
68,S_USDT_SWAP,0.9438,-0.011395,0.1471,0,0,pass,images/train/S_USDT_SWAP_030899.png
366,ACH_USDT_SWAP,0.9006,-0.017167,0.0098,0,0,pass,images/train/ACH_USDT_SWAP_025739.png
415,MEW_USDT_SWAP,0.8856,-0.014698,0.2344,0,0,pass,images/train/MEW_USDT_SWAP_014039.png
256,AXS_USDT_SWAP,0.8708,-0.007456,0.1395,0,0,pass,images/train/AXS_USDT_SWAP_011159.png
139,ADA_USDT_SWAP,0.8636,-0.018616,0.267,0,0,pass,images/train/ADA_USDT_SWAP_014139.png
405,OP_USDT_SWAP,0.8631,-0.001481,0.2105,0,0,pass,images/train/OP_USDT_SWAP_003359.png
329,OP_USDT_SWAP,0.8494,0.0,0.6493,0,0,pass,images/train/OP_USDT_SWAP_008639.png
333,ETH_USDT_SWAP,0.8436,-0.014195,0.1124,0,0,pass,images/train/ETH_USDT_SWAP_021919.png
218,PNUT_USDT_SWAP,0.5898,-0.001787,0.746,1,0,pass,images/train/PNUT_USDT_SWAP_022499.png
332,IWM_USDT_SWAP,0.6075,-0.000506,0.7318,1,0,pass,images/train/IWM_USDT_SWAP_000259.png
360,MEW_USDT_SWAP,0.64,-0.003118,0.6931,1,0,pass,images/train/MEW_USDT_SWAP_024919.png
131,ZORA_USDT_SWAP,0.677,-0.001128,0.6842,1,0,pass,images/train/ZORA_USDT_SWAP_014439.png
250,AERO_USDT_SWAP,0.3293,-0.001519,0.6429,0,0,pass,images/train/AERO_USDT_SWAP_028759.png
95,NEO_USDT_SWAP,0.7397,-0.003313,0.6228,1,0,pass,images/train/NEO_USDT_SWAP_015879.png
233,IOTA_USDT_SWAP,0.7214,0.0,0.5862,0,0,pass,images/train/IOTA_USDT_SWAP_016799.png
