stage,factor,value,params_key,ma_profile,neutral_recency_bars,transition_min_votes,k1_k2_gap_max,trail_reference,runner_buffer_atr,bank_total_fraction,events,symbols,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,mean_net_r,median_hold_bars,p95_net_bp,max_net_bp,positive_symbol_share,runner_armed_share,banked_any_share,top_score_decile_events,top_score_decile_mean_net_bp,week_clusters,week_cluster_signflip_p,positive_folds,total_folds,minimum_fold_events,robust_score_bp,eligible,portfolio_candidate_events,portfolio_accepted_events,portfolio_capacity_rejections,portfolio_total_return,portfolio_closed_equity_max_drawdown,portfolio_maximum_concurrent_positions,portfolio_maximum_open_initial_risk_fraction,stage_selected
1,ma_profile,ema8_sma21,9d941c5ff32b,ema8_sma21,10,2,5,slow,1.25,0.2,61,28,2017.2071717296649,1997.2071717296649,-413.1752620809803,0.16393442622950818,5.592768512398028,0.7608106246946733,4.0,2162.5461797500407,121269.39921563862,0.25,0.32786885245901637,0.3770491803278688,7,1077.663708564826,37,0.2902770972290277,1,4,2,-1912.1328650542898,False,61,59,2,0.2082902641254447,-0.12149046389320972,6,0.030026094417984255,False
1,ma_profile,ema13_sma34,8a68239d1cc1,ema13_sma34,10,2,5,slow,1.25,0.2,22,16,540.6480639203462,520.6480639203462,-343.35897274966817,0.3181818181818182,2.6160534315204655,0.3277341991849998,7.5,4272.09899823889,5871.671662305345,0.375,0.3181818181818182,0.45454545454545453,3,3181.3409415675505,16,0.1086104032836413,0,4,0,,False,22,22,0,0.03503637394096093,-0.029692550459837985,3,0.015000000000000001,True
1,ma_profile,ema20_sma50,877d0bc28539,ema20_sma50,10,2,5,slow,1.25,0.2,7,7,214.64980217345231,194.6498021734523,-450.87391371168684,0.2857142857142857,1.4626904888494359,-0.5468411501628119,5.0,2958.607852225356,4165.979537188036,0.2857142857142857,0.2857142857142857,0.2857142857142857,1,-598.3057831816662,5,0.5454545454545454,0,4,0,,False,7,7,0,-0.019002601827299737,-0.01974941870110336,2,0.010025772171695297,False
2,neutral_recency_bars,5,5aeac79bad99,ema13_sma34,5,2,5,slow,1.25,0.2,11,10,888.7747695924912,868.7747695924912,-326.6679343452349,0.36363636363636365,3.973689555219488,0.5644980127138044,7.0,5082.237147500747,5871.671662305345,0.4,0.36363636363636365,0.45454545454545453,2,5082.237147500747,7,0.08527131782945736,0,4,0,,False,11,11,0,0.030372060191633965,-0.025287039448274595,3,0.015000000000000001,False
2,neutral_recency_bars,10,8a68239d1cc1,ema13_sma34,10,2,5,slow,1.25,0.2,22,16,540.6480639203462,520.6480639203462,-343.35897274966817,0.3181818181818182,2.6160534315204655,0.3277341991849998,7.5,4272.09899823889,5871.671662305345,0.375,0.3181818181818182,0.45454545454545453,3,3181.3409415675505,16,0.1086104032836413,0,4,0,,False,22,22,0,0.03503637394096093,-0.029692550459837985,3,0.015000000000000001,True
2,neutral_recency_bars,20,33192b4dd7d1,ema13_sma34,20,2,5,slow,1.25,0.2,35,21,196.16936887006034,176.1693688700603,-389.01514294545024,0.2571428571428571,1.4420017268975605,0.01502949547842402,8.0,4002.9517502945437,5871.671662305345,0.3333333333333333,0.3142857142857143,0.45714285714285713,4,2292.7199541044392,25,0.2608273917260827,2,4,1,-427.8394312048194,False,35,35,0,0.0007846008393863624,-0.05387838423628544,5,0.02508064392009487,False
3,transition_min_votes,1,d7001cd40b82,ema13_sma34,10,1,5,slow,1.25,0.2,24,17,566.3227809525023,546.3227809525023,-274.82671808537134,0.375,2.849904587046279,0.4903980076215048,8.0,4230.691729324374,5871.671662305345,0.4117647058823529,0.375,0.5,3,3181.3409415675505,18,0.07074929250707493,0,4,0,,False,24,24,0,0.058607129378950296,-0.024641108206782447,4,0.02,False
3,transition_min_votes,2,8a68239d1cc1,ema13_sma34,10,2,5,slow,1.25,0.2,22,16,540.6480639203462,520.6480639203462,-343.35897274966817,0.3181818181818182,2.6160534315204655,0.3277341991849998,7.5,4272.09899823889,5871.671662305345,0.375,0.3181818181818182,0.45454545454545453,3,3181.3409415675505,16,0.1086104032836413,0,4,0,,False,22,22,0,0.03503637394096093,-0.029692550459837985,3,0.015000000000000001,True
3,transition_min_votes,3,c3e7d3628be7,ema13_sma34,10,3,5,slow,1.25,0.2,10,9,964.3253679477301,944.3253679477301,-259.20266882770494,0.4,4.754734118722142,0.6286627518247776,5.0,5161.180598981206,5871.671662305345,0.4444444444444444,0.4,0.4,1,5871.671662305345,8,0.1245136186770428,0,4,0,,False,10,10,0,0.030757700596057758,-0.026342967691887376,3,0.015000000000000003,False
4,k1_k2_gap_max,3,fb60c3b4b86c,ema13_sma34,10,2,3,slow,1.25,0.2,17,13,464.88817063566785,444.88817063566785,-222.9855018255078,0.35294117647058826,2.480845843976897,0.48578448736984847,8.0,3961.54448138003,4292.802632696148,0.46153846153846156,0.35294117647058826,0.5294117647058824,2,1836.1755811986525,13,0.1659953618943,0,4,0,,False,17,17,0,0.04074408944452812,-0.024648881015264745,3,0.015,False
