symbol,path,source_rows_read,source_prefix_sha256,source_days_seen,complete_days,discarded_days,discarded_wrong_count,discarded_duplicate,discarded_off_grid,first_daily_bar,last_daily_bar,daily_prefix_sha256,eligible_minimum_history,phase_source_status,holdout_rows_read
AAVE,data/kline_deep/okx_AAVE_USDT_SWAP_15m_158499.csv,69831,66d259d60d21aea8c9c9f5ddbcd31f68ae99f6663cbcf9e17f1d1f5da797df39,728,727,1,1,0,0,2022-01-04 00:00:00+00:00,2023-12-31 00:00:00+00:00,a88a3da89cc8f3c4e3d721876eb23b5f6ecee9508805ce0535712bb2ee338a76,True,eligible,0
ADA,data/kline_deep/okx_ADA_USDT_SWAP_15m_158499.csv,69831,0d0f78c8651cb4aac9cb125d7704e6acdec3a3bdc32ae481c321433852e0a311,728,727,1,1,0,0,2022-01-04 00:00:00+00:00,2023-12-31 00:00:00+00:00,61b9d7ff12516acfa1d410b0324728bc0b0bebefa1a2f903b75fca91f29f1b31,True,eligible,0
APE,data/kline_deep/okx_APE_USDT_SWAP_15m_151496.csv,62828,f9b478e59b109e9dcbddf2bec84be241a693bbeb83048c82920bea01a3405fe3,655,654,1,1,0,0,2022-03-18 00:00:00+00:00,2023-12-31 00:00:00+00:00,acc70a5a3da6ea14d0d54b2e6a1b8289f22ed8d5ee4a9fe9b93af58615209164,True,eligible,0
APT,data/kline_deep/okx_APT_USDT_SWAP_15m_130807.csv,42139,686491e5db198eda7eea065db1525d05c96b5af959425a151d201553a1c29b12,439,438,1,1,0,0,2022-10-20 00:00:00+00:00,2023-12-31 00:00:00+00:00,bccc2889625fcd765680f87449289c8cf7c00e2bd81465f8669f5a13ff2c11e2,True,eligible,0
ARB,data/kline_deep/okx_ARB_USDT_SWAP_15m_115876.csv,27208,837b927a5dd411ccbc93afe00b1632e01cbfeaf8440aa26cbadda6a22d27f5e8,284,283,1,1,0,0,2023-03-24 00:00:00+00:00,2023-12-31 00:00:00+00:00,82cb45e3feb7c0f2a1b62b3527d85819922b8d298295ced8e7f2ecca72cc22dd,True,eligible,0
ATOM,data/kline_deep/okx_ATOM_USDT_SWAP_15m_158499.csv,69831,f8139a0832c386ac118057c9eb180c111f5f34ff192d3b817b9b571b0f534b4c,728,727,1,1,0,0,2022-01-04 00:00:00+00:00,2023-12-31 00:00:00+00:00,a27dd303946cc1003e1fb8a15910de5740f79804a03d287c4c60d528e28a6c5c,True,eligible,0
AVAX,data/kline_deep/okx_AVAX_USDT_SWAP_15m_158499.csv,69831,60e1758310694b47436edf0886c01bfa335de3af595803a68bfff7832df0b18e,728,727,1,1,0,0,2022-01-04 00:00:00+00:00,2023-12-31 00:00:00+00:00,0c87ed0285d806a2176388248abb61729a05448cf15e5f717216acf9f07a53de,True,eligible,0
BCH,data/kline_deep/okx_BCH_USDT_SWAP_15m_158499.csv,69831,cdd5f3c8cb907695ab9a9124995c5d4b818294e1432f9f1e0e17cb2999c2065d,728,727,1,1,0,0,2022-01-04 00:00:00+00:00,2023-12-31 00:00:00+00:00,40a457b1718f42ee92846199a8e66782359e342b33e611ed043e55648159a12b,True,eligible,0
BNB,data/kline_deep/okx_BNB_USDT_SWAP_15m_124547.csv,35877,ad20c59c7d7a904570568412390b8007bb5f938dc6974274bfaaf0cd2f5e2076,374,373,1,1,0,0,2022-12-24 00:00:00+00:00,2023-12-31 00:00:00+00:00,6e756c01c14aef0bac4f37d8884f4d8b00448074c8909d39c85107c03fb10c24,True,eligible,0
CFX,data/kline_deep/okx_CFX_USDT_SWAP_15m_158499.csv,69828,c05eacf2f64deb024f9e23bdaf4b4f3173c8233d506fdec4b844a520fd71c910,728,727,1,1,0,0,2022-01-04 00:00:00+00:00,2023-12-31 00:00:00+00:00,e69e3c0b729ac4f91b3a5b1e7cc0eff183bee3b0b3a324da41c628c26bfa2fec,True,eligible,0
