symbol,cohort,paths,path_receipts,source_rows_read,source_days_seen,complete_days,discarded_days,discarded_wrong_count,discarded_duplicate,discarded_off_grid,first_daily_bar,last_daily_bar,daily_prefix_sha256,phase_source_status,holdout_rows_read
0G,current_only,"[""data/kline_fetched/okx_0G_USDT_SWAP_15m_31273.csv""]","[{""path"":""data/kline_fetched/okx_0G_USDT_SWAP_15m_31273.csv"",""prefix_sha256"":""7cf741a53e9792a4916b906bf71a8b2ba58758399db799b8d05b09fa50c00228"",""rows"":21174,""status"":""loaded_preholdout_prefix""}]",21174,221.0,220,1,1.0,0.0,0.0,2025-09-23 00:00:00+00:00,2026-04-30 00:00:00+00:00,5643d012424aeb54ff88766f7a8515864510f2c215293493db1733fbbb9a7a97,eligible,0
2Z,current_only,"[""data/kline_fetched/okx_2Z_USDT_SWAP_15m_30303.csv""]","[{""path"":""data/kline_fetched/okx_2Z_USDT_SWAP_15m_30303.csv"",""prefix_sha256"":""f70ffb093b2cd5ff73134bafb0dcedf4598d63e6b6be6dad5e51fe6e925c570e"",""rows"":20204,""status"":""loaded_preholdout_prefix""}]",20204,211.0,210,1,1.0,0.0,0.0,2025-10-03 00:00:00+00:00,2026-04-30 00:00:00+00:00,38e2b8329a3f264d8d1a7a4a99e2e471d6da083e14499bb1dbc66d4f9571cbbb,eligible,0
ACH,current_only,"[""data/kline_fetched/okx_ACH_USDT_SWAP_15m_41918.csv""]","[{""path"":""data/kline_fetched/okx_ACH_USDT_SWAP_15m_41918.csv"",""prefix_sha256"":""da49181550475222050cbf3322e697c27ca9ee880c10c2f0b7a3766f83cdcce3"",""rows"":31819,""status"":""loaded_preholdout_prefix""}]",31819,332.0,331,1,1.0,0.0,0.0,2025-06-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,819439506290f709b8260ede2b6b4380d8370ea7f2a31f01949edcc5de59498f,eligible,0
ACU,current_only,"[""data/kline_fetched/okx_ACU_USDT_SWAP_15m_19479.csv""]","[{""filename_rows"":19479,""path"":""data/kline_fetched/okx_ACU_USDT_SWAP_15m_19479.csv"",""prefix_sha256"":null,""rows"":0,""status"":""skipped_before_open_filename_history_below_30000""}]",0,,0,0,,,,,,,not_listed_yet,0
AEVO,current_only,"[""data/kline_fetched/okx_AEVO_USDT_SWAP_15m_41917.csv""]","[{""path"":""data/kline_fetched/okx_AEVO_USDT_SWAP_15m_41917.csv"",""prefix_sha256"":""83d316f4728384e468a0cf63e35070cb32e33f634451f75350d213e6293c2715"",""rows"":31818,""status"":""loaded_preholdout_prefix""}]",31818,332.0,331,1,1.0,0.0,0.0,2025-06-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,9e79c94bebb18d1e5587cb45bfa58889f8b6478e680c60968054fdec6a3627c5,eligible,0
AGLD,legacy_and_current,"[""data/kline_preholdout_archive15m_202109_202306/okx_AGLD_USDT_SWAP_15m_63470.csv"",""data/kline_fetched/okx_AGLD_USDT_SWAP_15m_41917.csv""]","[{""path"":""data/kline_preholdout_archive15m_202109_202306/okx_AGLD_USDT_SWAP_15m_63470.csv"",""prefix_sha256"":""a1845882903b1f4c8324ff01b1eb05a787a776fa515ba78b3bb4e848514ab955"",""rows"":63470,""status"":""loaded_preholdout_prefix""},{""path"":""data/kline_fetched/okx_AGLD_USDT_SWAP_15m_41917.csv"",""prefix_sha256"":""06a7128ad6ade5b44caf7131b1e92091ffa55e18d9d946ed0288c33ff56233b0"",""rows"":31818,""status"":""loaded_preholdout_prefix""}]",95288,994.0,988,6,6.0,0.0,0.0,2021-09-08 00:00:00+00:00,2026-04-30 00:00:00+00:00,d097ac3e431c4462b3875b158af146ad10ff446a200743f00d95590a93e018de,eligible,0
AI,current_only,"[""data/kline_fetched/okx_AI_USDT_SWAP_15m_10243.csv""]","[{""filename_rows"":10243,""path"":""data/kline_fetched/okx_AI_USDT_SWAP_15m_10243.csv"",""prefix_sha256"":null,""rows"":0,""status"":""skipped_before_open_filename_history_below_30000""}]",0,,0,0,,,,,,,not_listed_yet,0
ALGO,current_only,"[""data/kline_fetched/okx_ALGO_USDT_SWAP_15m_41917.csv""]","[{""path"":""data/kline_fetched/okx_ALGO_USDT_SWAP_15m_41917.csv"",""prefix_sha256"":""ed8aef373e1e485dc3417257cca3e00ad61ba52c20fd242c411ff7e72db7e040"",""rows"":31818,""status"":""loaded_preholdout_prefix""}]",31818,332.0,331,1,1.0,0.0,0.0,2025-06-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,ea443e05b21ae000b524b5d9fdfd2bb569615df188a8a05298a00803956a639b,eligible,0
APR,current_only,"[""data/kline_fetched/okx_APR_USDT_SWAP_15m_28219.csv""]","[{""filename_rows"":28219,""path"":""data/kline_fetched/okx_APR_USDT_SWAP_15m_28219.csv"",""prefix_sha256"":null,""rows"":0,""status"":""skipped_before_open_filename_history_below_30000""}]",0,,0,0,,,,,,,not_listed_yet,0
AR,current_only,"[""data/kline_fetched/okx_AR_USDT_SWAP_15m_41916.csv""]","[{""path"":""data/kline_fetched/okx_AR_USDT_SWAP_15m_41916.csv"",""prefix_sha256"":""1066e0be6960debde4d3089127376f776945174017ec051a97d01b7c89190344"",""rows"":31817,""status"":""loaded_preholdout_prefix""}]",31817,332.0,331,1,1.0,0.0,0.0,2025-06-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,e2230021b658caaf9e10d6753e19b9918e5b63b83da313a3e3254f5d5696749a,eligible,0
