period,value,entries,closed,open,closed_win_rate,marked_net_sum,marked_net_mean,random_mean,excess_mean,p_greater
year,2023,1,1,0,0.0,-0.12270842519771397,-0.12270842519771397,-0.14734901017035698,0.024640584972643015,0.5
year,2024,2,2,0,0.0,-0.16874890855311034,-0.08437445427655517,-0.22446690141485937,0.14009244713830418,0.25
year,2025,2,2,0,1.0,0.05073070156836329,0.025365350784181645,-0.046149070538548595,0.07151442132273024,0.25
year,2026,3,2,1,1.0,0.12742553878201704,0.04247517959400568,-0.016756969048621242,0.059232148642626915,0.125
month,2023-11,1,1,0,0.0,-0.12270842519771397,-0.12270842519771397,-0.14734901017035698,0.024640584972643015,0.5
month,2024-02,1,1,0,0.0,-0.05515724676805652,-0.05515724676805652,-0.26590248010974077,0.21074523334168424,0.5
month,2024-11,1,1,0,0.0,-0.11359166178505381,-0.11359166178505381,-0.18303132271997793,0.06943966093492412,0.5
month,2025-02,1,1,0,1.0,0.049884894176366365,0.049884894176366365,-0.04443683864334637,0.09432173281971273,0.5
month,2025-11,1,1,0,1.0,0.0008458073919969215,0.0008458073919969215,-0.04786130243375083,0.048707109825747746,0.5
month,2026-02,1,1,0,1.0,0.09101407709511913,0.09101407709511913,0.057433664137544714,0.03358041295757442,0.5
month,2026-04,1,1,0,1.0,0.05329849094386136,0.05329849094386136,0.006621165605436698,0.04667732533842466,0.5
month,2026-08,1,0,1,,-0.01688702925696345,-0.01688702925696345,-0.11432573688884513,0.09743870763188169,0.5
