signal_i,entry_i,exit_i,side,entry_price,initial_risk,initial_stop,exit_price,exit_reason,tp_i,tp_price,partial,gross_r,net_r,tail_price_r,gross_pnl,fees,net_pnl,censored,ambiguous_bar_count,entry_open_beyond_target,same_open_be_approximation,marketable_be_approximation,signal_time,entry_time,exit_time,signal_close,month,hold_hours
361,362,579,1,42506.0,1275.18,41230.82,42739.8,opposite_signal_close,576.0,42659.91,True,0.15202167537132263,0.08520298702928465,0.1833466647845817,193.8550000000032,85.205855,108.6491450000032,False,0,False,False,False,2023-12-31T22:01:00+00:00,2023-12-31T22:02:00+00:00,2024-01-01T01:39:00+00:00,2023-12-31T22:02:00+00:00,2023-12,3.6333333333333333
579,580,738,-1,42739.8,1282.194,44021.994000000006,42272.0,opposite_signal_close,702.0,42357.01,True,0.33169317591565856,0.26535820242490754,0.36484338563431346,425.2950000000019,85.054305,340.2406950000019,False,0,False,False,False,2024-01-01T01:39:00+00:00,2024-01-01T01:40:00+00:00,2024-01-01T04:18:00+00:00,2024-01-01T01:40:00+00:00,2024-01,2.65
738,739,1057,1,42272.0,1268.1599999999999,41003.84,42684.9,opposite_signal_close,893.0,42428.020000000004,True,0.22430923542770848,0.1574182595256141,0.3255898309361607,284.46000000000276,84.82846,199.63154000000276,False,0,False,False,False,2024-01-01T04:18:00+00:00,2024-01-01T04:19:00+00:00,2024-01-01T09:37:00+00:00,2024-01-01T04:19:00+00:00,2024-01,5.316666666666666
1057,1058,1263,-1,42684.9,1280.547,43965.447,42617.86,break_even_marketable,1263.0,42617.86,True,0.05235262743187159,-0.014261686607363207,0.05235262743187159,67.04000000000087,85.30276,-18.262759999999133,False,1,False,False,True,2024-01-01T09:37:00+00:00,2024-01-01T09:38:00+00:00,2024-01-01T13:03:00+00:00,2024-01-01T09:38:00+00:00,2024-01,3.433333333333333
1425,1426,1888,-1,42815.0,1284.45,44099.45,44099.45,initial_stop,,,False,-0.9999999999999977,-1.0676666666666643,-0.9999999999999977,-1284.449999999997,86.91444999999999,-1371.364449999997,False,0,False,False,False,2024-01-01T15:45:00+00:00,2024-01-01T15:46:00+00:00,2024-01-01T23:28:00+00:00,2024-01-01T15:46:00+00:00,2024-01,7.716666666666667
1888,1889,1979,-1,44033.6,1321.0079999999998,45354.608,45354.608,initial_stop,,,False,-1.0000000000000013,-1.067666666666668,-1.0000000000000013,-1321.0080000000016,89.38820799999999,-1410.3962080000017,False,0,False,False,False,2024-01-01T23:28:00+00:00,2024-01-01T23:29:00+00:00,2024-01-02T00:59:00+00:00,2024-01-01T23:29:00+00:00,2024-01,1.5166666666666666
2362,2363,2613,-1,45405.2,1362.156,46767.356,45519.72,break_even_marketable,2613.0,45519.72,True,-0.08407260255066533,-0.15082334181988266,-0.08407260255066533,-114.52000000000407,90.92492,-205.44492000000406,False,1,False,False,True,2024-01-02T07:22:00+00:00,2024-01-02T07:23:00+00:00,2024-01-02T11:33:00+00:00,2024-01-02T07:23:00+00:00,2024-01,4.183333333333334
2616,2617,2793,1,45476.0,1364.28,44111.72,45566.952,break_even,2741.0,45727.23,True,0.12540754097399387,0.058615466766353194,0.06666666666666483,171.09100000000035,91.12309100000002,79.96790900000033,False,0,False,False,False,2024-01-02T11:36:00+00:00,2024-01-02T11:37:00+00:00,2024-01-02T14:33:00+00:00,2024-01-02T11:37:00+00:00,2024-01,2.95
2836,2837,3252,1,45087.6,1352.628,43734.972,45177.7752,break_even,3249.0,45237.89,True,0.0888881495873214,0.02213259477106741,0.06666666666666508,120.23259999999937,90.2954326,29.937167399999367,False,0,False,False,False,2024-01-02T15:16:00+00:00,2024-01-02T15:17:00+00:00,2024-01-02T22:12:00+00:00,2024-01-02T15:17:00+00:00,2024-01,6.933333333333334
3473,3474,3673,-1,45328.1,1359.8429999999998,46687.943,45237.4438,break_even,3634.0,45156.51,True,0.09642517555335217,0.029854934062238853,0.06666666666666493,131.12309999999707,90.5250769,40.598023099997064,False,0,False,False,False,2024-01-03T01:53:00+00:00,2024-01-03T01:54:00+00:00,2024-01-03T05:13:00+00:00,2024-01-03T01:54:00+00:00,2024-01,3.3333333333333335
4032,4033,4076,1,44868.9,1346.067,43522.833,43522.833,initial_stop,,,False,-1.000000000000002,-1.0656666666666685,-1.000000000000002,-1346.0670000000027,88.391733,-1434.4587330000027,False,0,False,False,False,2024-01-03T11:12:00+00:00,2024-01-03T11:13:00+00:00,2024-01-03T11:56:00+00:00,2024-01-03T11:13:00+00:00,2024-01,0.7333333333333333
4322,4323,5262,-1,43457.1,1303.713,44760.813,42897.7,opposite_signal_close,4496.0,42356.0,True,0.6368349475689818,0.5708051158498841,0.4290821676243172,830.25,86.08394999999999,744.16605,False,0,False,False,False,2024-01-03T16:02:00+00:00,2024-01-03T16:03:00+00:00,2024-01-04T07:42:00+00:00,2024-01-03T16:03:00+00:00,2024-01,15.666666666666666
5262,5263,5476,1,42897.7,1286.9309999999998,41610.769,42983.4954,break_even,5441.0,43105.21,True,0.1139553713446971,0.04717474930668573,0.06666666666666878,146.65270000000237,85.9420527,60.710647300002364,False,0,False,False,False,2024-01-04T07:42:00+00:00,2024-01-04T07:43:00+00:00,2024-01-04T11:16:00+00:00,2024-01-04T07:43:00+00:00,2024-01,3.566666666666667
5494,5495,6038,-1,43218.0,1296.54,44514.54,44514.54,initial_stop,,,False,-1.0000000000000007,-1.0676666666666674,-1.0000000000000007,-1296.5400000000009,87.73254,-1384.2725400000008,False,0,False,False,False,2024-01-04T11:34:00+00:00,2024-01-04T11:35:00+00:00,2024-01-04T20:38:00+00:00,2024-01-04T11:35:00+00:00,2024-01,9.066666666666666
6135,6136,7139,-1,44625.4,1338.762,45964.162000000004,43487.0,opposite_signal_close,6232.0,44073.950000000004,True,0.6311241281123899,0.5650885855738356,0.8503378494459818,844.9249999999993,88.405875,756.5191249999992,False,0,False,False,False,2024-01-04T22:15:00+00:00,2024-01-04T22:16:00+00:00,2024-01-05T14:59:00+00:00,2024-01-04T22:16:00+00:00,2024-01,16.733333333333334
7139,7140,7427,1,43487.1,1304.6129999999998,42182.487,43753.8,opposite_signal_close,7426.0,43718.06,True,0.19073089107651217,0.12387349351876899,0.20442843969821273,248.83000000000175,87.22303000000001,161.60697000000175,False,0,False,False,False,2024-01-05T14:59:00+00:00,2024-01-05T15:00:00+00:00,2024-01-05T19:47:00+00:00,2024-01-05T15:00:00+00:00,2024-01,4.8
7427,7428,7811,-1,43750.3,1312.509,45062.809,43909.19,break_even_marketable,7811.0,43909.19,True,-0.1210582175055557,-0.18784594238972793,-0.1210582175055557,-158.88999999999942,87.65949,-246.54948999999942,False,1,False,False,True,2024-01-05T19:47:00+00:00,2024-01-05T19:48:00+00:00,2024-01-06T02:11:00+00:00,2024-01-05T19:48:00+00:00,2024-01,6.4
8027,8028,8229,1,43719.7,1311.591,42408.109,43737.5,break_even_marketable,8229.0,43737.5,True,0.01357130385920833,-0.05310893411131755,0.01357130385920833,17.80000000000291,87.4572,-69.65719999999709,False,1,False,False,True,2024-01-06T05:47:00+00:00,2024-01-06T05:48:00+00:00,2024-01-06T09:09:00+00:00,2024-01-06T05:48:00+00:00,2024-01,3.3666666666666667
8468,8469,8538,1,43554.1,1306.6229999999998,42247.477,43870.6,opposite_signal_close,8509.0,43739.66,True,0.19212121629575057,0.12526242841278815,0.2422274826020972,251.03000000000247,87.35923,163.67077000000248,False,0,False,False,False,2024-01-06T13:08:00+00:00,2024-01-06T13:09:00+00:00,2024-01-06T14:18:00+00:00,2024-01-06T13:09:00+00:00,2024-01,1.1666666666666667
8538,8539,8891,-1,43870.7,1316.1209999999999,45186.820999999996,43800.42,break_even_marketable,8891.0,43800.42,True,0.05339934550090671,-0.013213921820259055,0.05339934550090671,70.27999999999884,87.67112,-17.391120000001166,False,1,False,False,True,2024-01-06T14:18:00+00:00,2024-01-06T14:19:00+00:00,2024-01-06T20:11:00+00:00,2024-01-06T14:19:00+00:00,2024-01,5.883333333333334
9117,9118,9280,-1,43958.4,1318.752,45277.152,43870.4832,break_even,9279.0,43836.83,True,0.07942615442478904,0.01283891391254715,0.06666666666666596,104.74339999999938,87.8120566,16.931343399999378,False,1,False,False,False,2024-01-06T23:57:00+00:00,2024-01-06T23:58:00+00:00,2024-01-07T02:40:00+00:00,2024-01-06T23:58:00+00:00,2024-01,2.716666666666667
9478,9479,9604,1,43856.2,1315.686,42540.513999999996,44122.0,opposite_signal_close,9496.0,44049.47,True,0.17446031955953284,0.10761919257330663,0.20202388715848837,229.5350000000035,87.941935,141.5930650000035,False,0,False,False,False,2024-01-07T05:58:00+00:00,2024-01-07T05:59:00+00:00,2024-01-07T08:04:00+00:00,2024-01-07T05:59:00+00:00,2024-01,2.1
9604,9605,9800,-1,44122.0,1323.6599999999999,45445.66,44033.756,break_even,9692.0,43936.69,True,0.10333242675611429,0.03676909251620373,0.06666666666666575,136.77699999999822,88.107223,48.66977699999822,False,0,False,False,False,2024-01-07T08:04:00+00:00,2024-01-07T08:05:00+00:00,2024-01-07T11:20:00+00:00,2024-01-07T08:05:00+00:00,2024-01,3.2666666666666666
9912,9913,10096,-1,44216.0,1326.48,45542.48,44127.568,break_even,10065.0,44037.72,True,0.10053374344128804,0.03396761051806267,0.0666666666666672,133.35599999999977,88.298644,45.05735599999977,False,0,False,False,False,2024-01-07T13:12:00+00:00,2024-01-07T13:13:00+00:00,2024-01-07T16:16:00+00:00,2024-01-07T13:13:00+00:00,2024-01,3.066666666666667
