example_id,direction,arm,surface,trigger_reference,dedupe_policy,nearest_signal_time_utc,nearest_offset_bars,nearest_family,descriptive_match,holdout_use_for_configuration
img1,SHORT,baseline,raw,SMA60,global24,2026-08-14 03:45:00+00:00,-4.0,coil,True,1
img1,SHORT,baseline,accepted,SMA60,global24,,,,False,1
img1,SHORT,selected,raw,SMA60,global24,2026-08-14 03:45:00+00:00,-4.0,coil,True,1
img1,SHORT,selected,accepted,SMA60,global24,,,,False,1
img2,LONG,baseline,raw,SMA60,global24,,,,False,1
img2,LONG,baseline,accepted,SMA60,global24,,,,False,1
img2,LONG,selected,raw,SMA60,global24,,,,False,1
img2,LONG,selected,accepted,SMA60,global24,,,,False,1
img3,SHORT,baseline,raw,SMA60,global24,2026-08-03 00:15:00+00:00,-1.0,direct+rejection,True,1
img3,SHORT,baseline,accepted,SMA60,global24,2026-08-03 00:15:00+00:00,-1.0,direct+rejection,True,1
img3,SHORT,selected,raw,SMA60,global24,2026-08-03 00:15:00+00:00,-1.0,direct+rejection,True,1
img3,SHORT,selected,accepted,SMA60,global24,2026-08-03 00:15:00+00:00,-1.0,direct+rejection,True,1
img4,LONG,baseline,raw,SMA60,global24,2026-07-29 04:15:00+00:00,-4.0,direct+rejection,True,1
img4,LONG,baseline,accepted,SMA60,global24,,,,False,1
img4,LONG,selected,raw,SMA60,global24,2026-07-29 04:15:00+00:00,-4.0,direct+rejection,True,1
img4,LONG,selected,accepted,SMA60,global24,,,,False,1
img5,SHORT,baseline,raw,SMA60,global24,,,,False,1
img5,SHORT,baseline,accepted,SMA60,global24,,,,False,1
img5,SHORT,selected,raw,SMA60,global24,,,,False,1
img5,SHORT,selected,accepted,SMA60,global24,,,,False,1
