step,factor,value,grid_index,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,median_hold_bars,p90_net_bp,max_net_bp,mean_capture_of_horizon_mfe,minimum_fold_events,eligible,robust_score_bp,worst_fold_net_bp,2023H1_events,2023H2_events,2023H1_mean_net_bp,2023H2_mean_net_bp
1,trigger_reference,SMA60,0,706,6.867287934721228,-13.13271206527878,-48.97606408676867,0.31586402266288954,0.7119766850884822,-0.9617401603883514,-0.9617401603883514,16.0,121.71942227154733,421.39461268997036,0.5079211577176289,340,True,-14.144526744965084,-15.236791521507183,340,366,-10.867732415338791,-15.236791521507183
1,trigger_reference,EMA20,1,1117,2.667004676584861,-17.332995323415144,-52.8639884301829,0.3106535362578335,0.6497044000367749,-0.9934582762023256,-0.9935061776784007,16.0,125.01359590607451,418.5636204310028,0.5059357817885006,547,True,-17.353626430946257,-17.373441518746993,547,570,-17.373441518746993,-17.294181167544053
1,trigger_reference,EMA30,2,1018,-1.6313243526158874,-21.63132435261589,-54.75594993169962,0.27406679764243613,0.57576155190915,-0.9967900732458763,-0.9969642900224632,15.0,118.8608894756605,339.3683544047521,0.4857033327251358,497,True,-22.09575631282974,-22.53927576451613,497,521,-22.53927576451613,-20.765197957770564
1,trigger_reference,EMA40,3,944,0.436002960437644,-19.563997039562363,-54.24055108773416,0.2849576271186441,0.6030901874812784,-0.9937620413330429,-0.9939994941842387,17.0,119.33754184185278,365.97494459084777,0.50027793060832,461,True,-20.51877106884239,-21.52022293955388,461,483,-17.51441545670792,-21.52022293955388
1,trigger_reference,SMA40,4,823,0.6026573404455986,-19.397342659554408,-52.835313817900506,0.28554070473876064,0.5994281793480206,-0.9889105459236008,-0.9895644062431999,15.0,115.71800359305526,421.39461268997036,0.5020276633497726,402,True,-20.552055526867456,-21.762665322789292,402,421,-16.920226139101953,-21.762665322789292
2,dedupe_policy,global24,0,706,6.867287934721228,-13.13271206527878,-48.97606408676867,0.31586402266288954,0.7119766850884822,-0.9617401603883514,-0.9617401603883514,16.0,121.71942227154733,421.39461268997036,0.5079211577176289,340,True,-14.144526744965084,-15.236791521507183,340,366,-10.867732415338791,-15.236791521507183
2,dedupe_policy,direction8,1,1701,2.0811768935307695,-17.918823106469237,-49.35714425054581,0.29394473838918284,0.6119719658961292,-0.9999142450247954,-0.999916059455438,15.0,108.92826647503242,421.39461268997036,0.5079118163752685,807,True,-18.083860847565386,-18.267704460927895,807,894,-17.53233000747786,-18.267704460927895
2,dedupe_policy,state_reset3,2,1994,1.8415635698239725,-18.15843643017603,-49.02499125213842,0.29438314944834504,0.6049190324178713,-0.999985617888666,-0.9999859176585214,15.0,108.08208259221135,421.39461268997036,0.5084876268935378,947,True,-18.36448093218957,-18.551742890719648,947,1047,-18.551742890719648,-17.80269505659934
3,runner_policy,fixed_5atr,0,706,6.867287934721228,-13.13271206527878,-48.97606408676867,0.31586402266288954,0.7119766850884822,-0.9617401603883514,-0.9617401603883514,16.0,121.71942227154733,421.39461268997036,0.5079211577176289,340,True,-14.144526744965084,-15.236791521507183,340,366,-10.867732415338791,-15.236791521507183
3,runner_policy,ma_close2_after_1atr,1,706,11.94452276267705,-8.055477237322958,-38.67452335836406,0.2096317280453258,0.8055596832312025,-0.8880845892750711,-0.9385829518924556,20.0,83.06892102196264,1102.3831583885512,0.3137923535631722,340,True,-9.636632628027606,-11.343506795974823,340,366,-4.516010124185948,-11.343506795974823
3,runner_policy,ma_close2_after_2atr,2,706,11.812889149719362,-8.187110850280645,-46.58264173763636,0.21813031161473087,0.820575654898552,-0.8893286022956988,-0.9517101087505254,23.0,99.19783852922194,1176.0487835794554,0.3732110747954417,340,True,-10.418141168208951,-12.826562275941955,340,366,-3.1928778450099435,-12.826562275941955
3,runner_policy,ma_trail1_after_1atr,3,706,11.679064119397239,-8.320935880602768,-38.35893698757862,0.19688385269121814,0.7983746293012827,-0.9025866593320786,-0.9367579986479877,21.0,76.12996425850673,1102.3831583885512,0.35307313260788004,340,True,-11.053330177005904,-14.002979065783597,340,366,-2.2043835106728205,-14.002979065783597
3,runner_policy,ma_trail1_after_2atr,4,706,13.028461271356711,-6.971538728643297,-44.87030424466852,0.21388101983002833,0.8444177245487116,-0.8750164349073742,-0.9457822648644836,23.0,100.82025435764865,1176.0487835794554,0.39303432999460247,340,True,-10.050229670169603,-13.373709493896778,340,366,-0.07979019898807717,-13.373709493896778
3,runner_policy,half_fixed5_half_ma_close2_after_1atr,5,706,9.40590534869914,-10.594094651300866,-42.735141951169545,0.301699716713881,0.7441710798895659,-0.9310401018573125,-0.9362916927191505,25.0,103.92833274074144,646.5408426204866,0.3787889201255089,340,True,-11.890579686496345,-13.290149158741002,340,366,-7.69187126976237,-13.290149158741002
3,runner_policy,half_fixed5_half_ma_trail1_after_1atr,6,706,9.273176027059234,-10.726823972940771,-43.933445722590655,0.3130311614730878,0.741180757200607,-0.9359075545502284,-0.9359075545502284,25.0,102.18738820336777,674.8981630354845,0.38389249923159363,340,True,-12.598928460985492,-14.619885293645387,340,366,-6.536057963005807,-14.619885293645387
