arm,fold,month,n,known,mean_net_bp
baseline,2023H1,2023-01,11,11,11.18012792648743
baseline,2023H1,2023-02,12,12,-44.75109676032835
baseline,2023H1,2023-03,5,5,-50.37623492641785
baseline,2023H1,2023-04,12,12,-10.51468148890121
baseline,2023H1,2023-05,6,6,45.97245266200924
baseline,2023H1,2023-06,9,9,-23.113631709981014
baseline,2023H2,2023-07,14,14,-1.8476771237337135
baseline,2023H2,2023-08,10,10,-21.63633827871324
baseline,2023H2,2023-09,11,11,-33.579758539536066
baseline,2023H2,2023-10,9,9,-54.6673202243729
baseline,2023H2,2023-11,10,10,-11.516139545264853
baseline,2023H2,2023-12,12,12,1.7238371994552901
baseline,2024H1,2024-01,10,10,-6.733009295990282
baseline,2024H1,2024-02,9,9,-55.144400163877755
baseline,2024H1,2024-03,10,10,8.170417069938498
baseline,2024H1,2024-04,9,9,-67.45039029743907
baseline,2024H1,2024-05,11,11,-34.28238467296027
baseline,2024H1,2024-06,6,6,-49.00713529686664
baseline,2024H2,2024-07,10,10,-13.854753058753602
baseline,2024H2,2024-08,12,12,44.86836211528668
baseline,2024H2,2024-09,9,9,9.349215429707147
baseline,2024H2,2024-10,16,16,-40.991747335485854
baseline,2024H2,2024-11,16,16,-25.65317724018383
baseline,2024H2,2024-12,12,12,6.878760719760689
candidate,2023H1,2023-01,11,11,10.335933193340603
candidate,2023H1,2023-02,12,12,-42.5211151389819
candidate,2023H1,2023-03,5,5,-47.09044432421816
candidate,2023H1,2023-04,12,12,-18.038017644920547
candidate,2023H1,2023-05,6,6,35.891051264323565
candidate,2023H1,2023-06,9,9,-12.841008441722595
candidate,2023H2,2023-07,14,14,-5.615290697852961
candidate,2023H2,2023-08,10,10,-14.681156451313777
candidate,2023H2,2023-09,11,11,-29.071704247826162
candidate,2023H2,2023-10,9,9,-50.498476007075396
candidate,2023H2,2023-11,10,10,-1.6253582169529075
candidate,2023H2,2023-12,12,12,-1.9536754552596263
candidate,2024H1,2024-01,10,10,0.6495642175459344
candidate,2024H1,2024-02,9,9,-55.83613750018267
candidate,2024H1,2024-03,10,10,11.95872053839471
candidate,2024H1,2024-04,9,9,-68.6673520190366
candidate,2024H1,2024-05,11,11,-33.041713552533075
candidate,2024H1,2024-06,6,6,-41.99094358176169
candidate,2024H2,2024-07,10,10,-22.72162412703332
candidate,2024H2,2024-08,12,12,56.2510288453306
candidate,2024H2,2024-09,9,9,7.907831798077979
candidate,2024H2,2024-10,16,16,-43.039173020588976
candidate,2024H2,2024-11,16,16,-19.306680827652066
candidate,2024H2,2024-12,12,12,5.236289302350737
