event_id,signal_time,decision_time,direction,signal_open,signal_high,signal_low,signal_close,initial_stop,signal_atr,ma,ma_side,body_ratio,range_atr,close_location,volume_ratio,ma_slope_atr,cross_count24,efficiency24,is_engulf,breakout20,extension_atr,fold,mother_signal_time,mother_decision_time,mother_deadline,waiting_deadline,k2_time,k2_initial_stop,k2_atr,k2_ma,k2_open,k2_high,k2_low,k2_close,k2_wick_share,k2_body_share,k2_rejection_location,k2_touch_depth_atr,wait_hours,entry_time,entry_price,exit_time,exit_price,closed,outcome,gross_return,net_return,net_r,risk_pct,risk_atr,hold_minutes,partial_fraction,exit_remaining_fraction,partial_exit_time,partial_exit_price,realised_partial_gross_return,marked_gross_return,marked_net_return,max_favourable_r,max_adverse_r,bars_to_first_positive,funding_modelled,diagnostic_eligible,net_loser,hard_stop,colour_exit,fees_flip,never_positive,giveback,early_30min,fee_to_risk,observed_cost_fraction,primary_loss_reason,entry_day,entry_month,diagnostic_explanation
2023-03-11T01:00:00+00:00_L,2023-03-11 02:00:00+00:00,2023-03-11 03:00:00+00:00,1,20219.2,20686.5,20219.2,20580.0,20369.6,250.17760269848264,20411.49375,1,0.7720950139096936,1.8678730428286796,0.7720950139096936,2.11585104647545,-0.1388397001117438,0.0,0.1573386827148106,False,True,0.6735465052924202,2023H1,2023-03-11 01:00:00+00:00,2023-03-11 02:00:00+00:00,2023-03-14 02:00:00+00:00,2023-03-11 10:00:00+00:00,2023-03-11 02:00:00+00:00,20369.6,251.32920250573412,20383.847499999996,20580.0,20635.9,20369.6,20490.9,0.45550131430717833,0.3345850544498595,0.45550131430717833,0.05668859749663437,1.0,2023-03-11 03:00:00+00:00,20490.8,2023-03-11 03:10:00+00:00,20369.6,True,hard_stop,-0.005914849591036053,-0.007914849591036053,-1.338132013201325,0.0059148495910360125,0.4844558373439711,10.0,0.0,1.0,,,0.0,-0.005914849591036053,-0.007914849591036053,0.07590759075908146,-1.0,0.0,False,True,True,True,False,False,False,False,True,0.33813201320131814,0.002,hard_stop,2023-03-11,2023-03,"hard_stop; outcome=hard_stop; gross=-59.15bp; net=-79.15bp; held=10min; recorded MFE=0.076R; flags=hard_stop, early_30min. Descriptive, not a proven causal mechanism."
2023-03-11T07:00:00+00:00_S,2023-03-11 08:00:00+00:00,2023-03-11 09:00:00+00:00,-1,20288.8,20322.9,19822.0,19855.4,20219.4,248.63173377529,20211.56875,-1,0.8652425633858984,2.0146261798291127,0.9333200239568749,1.8823906319736048,0.14591694625000365,1.0,0.0283264431174399,False,False,1.4325152489259378,2023H1,2023-03-11 07:00:00+00:00,2023-03-11 08:00:00+00:00,2023-03-14 08:00:00+00:00,2023-03-11 16:00:00+00:00,2023-03-11 08:00:00+00:00,20219.4,263.229467077055,20172.938749999998,19855.4,20219.4,19766.4,20070.4,0.32891832229580575,0.4746136865342163,0.32891832229580575,0.17650474514087497,1.0,2023-03-11 09:00:00+00:00,20070.3,2023-03-11 09:55:00+00:00,20122.6,True,colour_exit,-0.002605840470745191,-0.004605840470745191,-0.6199906103286107,0.007428887460576184,0.5996820990467643,55.0,0.0,1.0,,,0.0,-0.002605840470745191,-0.004605840470745191,0.7712944332662529,-0.5593561368209271,0.0,False,True,True,False,True,False,False,False,False,0.2692193158953683,0.002,other_loss,2023-03-11,2023-03,"other_loss; outcome=colour_exit; gross=-26.06bp; net=-46.06bp; held=55min; recorded MFE=0.771R; flags=colour_exit. Descriptive, not a proven causal mechanism."
2023-05-22T13:00:00+00:00_L,2023-05-22 14:00:00+00:00,2023-05-22 15:00:00+00:00,1,26733.9,27121.0,26692.8,27003.0,26757.7,126.97557692840368,26906.120000000003,1,0.6284446520317564,3.372302062793108,0.7244278374591318,5.873183897990513,-0.036932955508263705,0.0,0.10140571125453143,True,True,0.7629813728243506,2023H1,2023-05-22 13:00:00+00:00,2023-05-22 14:00:00+00:00,2023-05-25 14:00:00+00:00,2023-05-22 22:00:00+00:00,2023-05-22 14:00:00+00:00,26757.7,138.40589286208913,26902.565000000002,27003.0,27044.7,26757.7,26956.9,0.6940766550522673,0.16062717770034335,0.6940766550522673,1.0466678622155812,1.0,2023-05-22 15:00:00+00:00,26956.9,2023-05-22 15:15:00+00:00,26846.5,True,colour_exit,-0.004095426402887625,-0.006095426402887625,-0.8248684738955865,0.007389573726949342,1.568805630332528,15.0,0.0,1.0,,,0.0,-0.004095426402887625,-0.006095426402887625,0.16164658634536633,-0.5843373493975955,0.0,False,True,True,False,True,False,False,False,True,0.27065160642570185,0.002,early_reversal,2023-05-22,2023-05,"early_reversal; outcome=colour_exit; gross=-40.95bp; net=-60.95bp; held=15min; recorded MFE=0.162R; flags=colour_exit, early_30min. Descriptive, not a proven causal mechanism."
2023-06-25T11:00:00+00:00_L,2023-06-25 12:00:00+00:00,2023-06-25 13:00:00+00:00,1,30626.0,30723.1,30595.0,30718.5,30641.5,161.20086957104613,30651.348749999997,1,0.7220921155347467,0.7946607257198509,0.9640905542544996,0.4900734076715351,-0.05357963239476849,5.0,0.021244019138755565,True,False,0.4165687826541595,2023H1,2023-06-25 11:00:00+00:00,2023-06-25 12:00:00+00:00,2023-06-28 12:00:00+00:00,2023-06-25 20:00:00+00:00,2023-06-25 12:00:00+00:00,30641.5,157.25080745882863,30647.048749999998,30718.5,30747.4,30641.5,30672.9,0.2965061378659209,0.4305949008498387,0.2965061378659209,0.035285987332375895,1.0,2023-06-25 13:00:00+00:00,30672.9,2023-06-25 13:15:00+00:00,30641.5,True,hard_stop,-0.0010237049643170293,-0.0030237049643170293,-2.9536878980890293,0.0010237049643170828,0.19478803112884277,15.0,0.0,1.0,,,0.0,-0.0010237049643170293,-0.0030237049643170293,0.7133757961782414,-1.0,0.0,False,True,True,True,False,False,False,False,True,1.9536878980890817,0.002,hard_stop,2023-06-25,2023-06,"hard_stop; outcome=hard_stop; gross=-10.24bp; net=-30.24bp; held=15min; recorded MFE=0.713R; flags=hard_stop, early_30min. Descriptive, not a proven causal mechanism."
2023-06-25T14:00:00+00:00_S,2023-06-25 15:00:00+00:00,2023-06-25 16:00:00+00:00,-1,30682.5,30733.4,30530.1,30553.8,30646.2,161.7371758190922,30646.111249999998,-1,0.6330545991146035,1.2569775561519634,0.883423512051154,1.5382145158731915,0.010794261272905227,7.0,0.08432419315700103,True,False,0.570748496951942,2023H1,2023-06-25 14:00:00+00:00,2023-06-25 15:00:00+00:00,2023-06-28 15:00:00+00:00,2023-06-25 23:00:00+00:00,2023-06-25 15:00:00+00:00,30646.2,163.7702346891571,30644.716249999998,30553.8,30646.2,30456.0,30585.3,0.320189274447956,0.16561514195583532,0.320189274447956,0.009059949158766713,1.0,2023-06-25 16:00:00+00:00,30585.1,2023-06-25 16:10:00+00:00,30646.2,True,hard_stop,-0.0019977047647383728,-0.003997704764738373,-2.0011489361701345,0.0019977047647384573,0.3777733825916704,10.0,0.0,1.0,,,0.0,-0.0019977047647383728,-0.003997704764738373,0.3977086743043929,-1.0,0.0,False,True,True,True,False,False,False,False,True,1.0011489361701769,0.002,hard_stop,2023-06-25,2023-06,"hard_stop; outcome=hard_stop; gross=-19.98bp; net=-39.98bp; held=10min; recorded MFE=0.398R; flags=hard_stop, early_30min. Descriptive, not a proven causal mechanism."
2023-02-23T11:00:00+00:00_S,2023-02-23 13:00:00+00:00,2023-02-23 14:00:00+00:00,-1,24258.1,24271.9,23646.6,23778.0,24235.3,206.07445245193736,24141.27125,-1,0.7677914600991466,3.034340222963064,0.7898608667839424,4.709564858501627,0.04946432326787372,1.0,0.15365481826205576,False,False,1.7628155536879428,2023H1,2023-02-23 11:00:00+00:00,2023-02-23 12:00:00+00:00,2023-02-26 12:00:00+00:00,2023-02-23 20:00:00+00:00,2023-02-23 13:00:00+00:00,24235.3,234.04327787947665,24115.4925,23912.5,24235.3,23832.5,24010.6,0.5578450844091388,0.2435451837139988,0.5578450844091388,0.5119031876732442,2.0,2023-02-23 14:00:00+00:00,24010.7,2023-02-23 14:05:00+00:00,24032.0,True,colour_exit,-0.0008871044992440069,-0.002887104499244007,-0.30864381121994,0.00935416293569111,1.089897351795133,5.0,0.0,1.0,,,0.0,-0.0008871044992440069,-0.002887104499244007,0.23909171861086856,-0.23241317898486671,0.0,False,True,True,False,True,False,False,False,True,0.21380854853072268,0.002,early_reversal,2023-02-23,2023-02,"early_reversal; outcome=colour_exit; gross=-8.87bp; net=-28.87bp; held=5min; recorded MFE=0.239R; flags=colour_exit, early_30min. Descriptive, not a proven causal mechanism."
2023-01-23T10:00:00+00:00_L,2023-01-23 13:00:00+00:00,2023-01-23 14:00:00+00:00,1,22787.8,22959.0,22769.9,22912.9,22657.0,158.52996197084414,22817.5,1,0.6615547329455481,1.192834450025142,0.756213643574834,1.4841925320372957,-0.06372349559505047,3.0,0.019523809523809388,False,False,0.6017789874796465,2023H1,2023-01-23 10:00:00+00:00,2023-01-23 11:00:00+00:00,2023-01-26 11:00:00+00:00,2023-01-23 19:00:00+00:00,2023-01-23 13:00:00+00:00,22657.0,165.0082822339446,22792.66375,22907.5,22934.9,22657.0,22793.0,0.4893846707448697,0.4120187117668204,0.4893846707448697,0.8221632766751613,3.0,2023-01-23 14:00:00+00:00,22793.0,2023-01-23 14:05:00+00:00,22776.0,True,colour_exit,-0.0007458430219804413,-0.0027458430219804413,-0.4601911764705897,0.005966744175843461,0.8578819947298814,5.0,0.0,1.0,,,0.0,-0.0007458430219804413,-0.0027458430219804413,0.23529411764705882,-0.14411764705881283,0.0,False,True,True,False,True,False,False,False,True,0.3351911764705882,0.002,early_reversal,2023-01-23,2023-01,"early_reversal; outcome=colour_exit; gross=-7.46bp; net=-27.46bp; held=5min; recorded MFE=0.235R; flags=colour_exit, early_30min. Descriptive, not a proven causal mechanism."
2023-06-12T13:00:00+00:00_S,2023-06-12 16:00:00+00:00,2023-06-12 17:00:00+00:00,-1,25934.2,25937.0,25760.2,25798.3,25909.9,143.68666754291084,25851.89,-1,0.7686651583710521,1.2304551495510145,0.7845022624434462,1.5803508407639109,-0.03435426601793711,7.0,0.06018766756032137,False,False,0.372964318237779,2023H1,2023-06-12 13:00:00+00:00,2023-06-12 14:00:00+00:00,2023-06-15 14:00:00+00:00,2023-06-12 22:00:00+00:00,2023-06-12 16:00:00+00:00,25909.9,140.05127864131745,25851.72,25822.5,25909.9,25791.0,25828.0,0.6888141295206094,0.046257359125314826,0.6888141295206094,0.4154192704588148,3.0,2023-06-12 17:00:00+00:00,25828.0,2023-06-12 17:50:00+00:00,25909.9,True,hard_stop,-0.0031709772340096087,-0.005170977234009609,-1.630720390720364,0.003170977234009658,0.5699902531008502,50.0,0.0,1.0,,,0.0,-0.0031709772340096087,-0.005170977234009609,2.1733821733821346,-1.0,0.0,False,True,True,True,False,False,False,True,False,0.6307203907203796,0.002,hard_stop,2023-06-12,2023-06,"hard_stop; outcome=hard_stop; gross=-31.71bp; net=-51.71bp; held=50min; recorded MFE=2.173R; flags=hard_stop, giveback. Descriptive, not a proven causal mechanism."
2023-06-13T15:00:00+00:00_S,2023-06-13 18:00:00+00:00,2023-06-13 19:00:00+00:00,-1,25985.0,25985.0,25722.0,25760.9,25980.0,164.65603367418927,25946.91125,-1,0.8520912547528462,1.597269132089064,0.8520912547528462,2.608794582548921,-0.0038337495803527424,1.0,0.04868618322417553,False,False,1.1296959233699666,2023H1,2023-06-13 15:00:00+00:00,2023-06-13 16:00:00+00:00,2023-06-16 16:00:00+00:00,2023-06-14 00:00:00+00:00,2023-06-13 18:00:00+00:00,25980.0,161.00393804015803,25943.60125,25821.7,25980.0,25797.4,25888.7,0.5,0.36692223439211685,0.5,0.22607366281265504,3.0,2023-06-13 19:00:00+00:00,25888.6,2023-06-13 19:05:00+00:00,25892.5,True,colour_exit,-0.00015064545784637673,-0.0021506454578463768,-0.6091597374179522,0.003530511499270005,0.5550965729009231,5.0,0.0,1.0,,,0.0,-0.00015064545784637673,-0.0021506454578463768,0.09190371991244731,-0.13676148796498688,0.0,False,True,True,False,True,False,False,False,True,0.5664901531728576,0.002,early_reversal,2023-06-13,2023-06,"early_reversal; outcome=colour_exit; gross=-1.51bp; net=-21.51bp; held=5min; recorded MFE=0.092R; flags=colour_exit, early_30min. Descriptive, not a proven causal mechanism."
2023-03-07T01:00:00+00:00_L,2023-03-07 06:00:00+00:00,2023-03-07 07:00:00+00:00,1,22411.4,22511.4,22411.4,22481.7,22410.3,85.08046149207307,22420.05375,1,0.7029999999999927,1.1753579875600109,0.7029999999999927,1.437506427311648,0.016601931574282303,9.0,0.12342079689018719,False,False,0.724564123406232,2023H1,2023-03-07 01:00:00+00:00,2023-03-07 02:00:00+00:00,2023-03-10 02:00:00+00:00,2023-03-07 10:00:00+00:00,2023-03-07 06:00:00+00:00,22410.3,74.6369561209174,22425.2375,22457.9,22458.3,22410.3,22436.2,0.5395833333333636,0.4520833333333485,0.5395833333333636,0.2001354392829223,5.0,2023-03-07 07:00:00+00:00,22436.1,2023-03-07 07:05:00+00:00,22431.5,True,colour_exit,-0.0002050267203300704,-0.0022050267203300705,-1.9175271317829023,0.0011499324748953372,0.30324236079047423,5.0,0.0,1.0,,,0.0,-0.0002050267203300704,-0.0022050267203300705,0.1744186046511677,-0.33333333333328635,0.0,False,True,True,False,True,False,False,False,True,1.7392325581395838,0.002,early_reversal,2023-03-07,2023-03,"early_reversal; outcome=colour_exit; gross=-2.05bp; net=-22.05bp; held=5min; recorded MFE=0.174R; flags=colour_exit, early_30min. Descriptive, not a proven causal mechanism."
