event_id,flat_minutes,flat_bars,flat_stop_touched,flat_first_stop_touch_open_time
2023-01-23T20:00:00+00:00_L::control0,60.0,12,True,2023-01-17 02:00:00+00:00
2023-01-23T20:00:00+00:00_L::control2,45.0,9,False,
2023-02-14T08:00:00+00:00_S::control1,105.0,21,True,2023-02-11 13:20:00+00:00
2023-02-23T11:00:00+00:00_S::control1,140.0,28,True,2023-02-17 17:15:00+00:00
2023-02-23T11:00:00+00:00_S::control2,40.0,8,False,
2023-03-07T01:00:00+00:00_L::control1,20.0,4,False,
2023-03-07T01:00:00+00:00_L::control2,20.0,4,False,
2023-04-03T14:00:00+00:00_S::control0,90.0,18,True,2023-04-22 17:00:00+00:00
2023-04-09T06:00:00+00:00_S::control1,0.0,0,False,
2023-04-09T06:00:00+00:00_S::control2,35.0,7,False,
2023-04-16T18:00:00+00:00_L::control2,0.0,0,False,
2023-04-18T08:00:00+00:00_S::control1,15.0,3,False,
2023-04-18T08:00:00+00:00_S::control2,5.0,1,False,
2023-04-29T13:00:00+00:00_L::control2,0.0,0,False,
2023-05-05T13:00:00+00:00_L::control0,35.0,7,True,2023-05-04 19:00:00+00:00
2023-05-05T13:00:00+00:00_L::control2,55.0,11,True,2023-05-29 17:00:00+00:00
2023-06-12T08:00:00+00:00_L::control1,310.0,62,True,2023-06-13 13:10:00+00:00
2023-06-18T14:00:00+00:00_L::control0,0.0,0,False,
2023-07-17T22:00:00+00:00_S::control0,0.0,0,False,
2023-07-17T22:00:00+00:00_S::control2,80.0,16,False,
2023-07-23T04:00:00+00:00_L::control2,15.0,3,True,2023-07-09 07:00:00+00:00
2023-07-24T02:00:00+00:00_S::control0,0.0,0,False,
2023-07-28T14:00:00+00:00_L::control0,5.0,1,False,
2023-07-28T14:00:00+00:00_L::control1,15.0,3,False,
2023-08-29T06:00:00+00:00_S::control0,5.0,1,False,
2023-08-29T14:00:00+00:00_L::control2,50.0,10,False,
2023-09-03T17:00:00+00:00_L::control1,40.0,8,True,2023-09-04 02:00:00+00:00
2023-09-03T17:00:00+00:00_L::control2,120.0,24,True,2023-09-20 19:15:00+00:00
2023-10-06T09:00:00+00:00_L::control0,75.0,15,True,2023-10-28 13:00:00+00:00
2023-11-15T11:00:00+00:00_L::control2,10.0,2,False,
2023-12-01T01:00:00+00:00_L::control0,55.0,11,False,
2023-12-24T13:00:00+00:00_L::control0,30.0,6,True,2023-12-25 17:00:00+00:00
2023-12-24T13:00:00+00:00_L::control1,30.0,6,False,
2023-12-24T13:00:00+00:00_L::control2,0.0,0,False,
2023-12-25T21:00:00+00:00_L::control0,5.0,1,False,
2024-01-15T14:00:00+00:00_S::control0,80.0,16,False,
2024-01-31T20:00:00+00:00_S::control1,80.0,16,False,
2024-02-07T03:00:00+00:00_S::control1,65.0,13,False,
2024-02-12T09:00:00+00:00_S::control0,5.0,1,False,
2024-02-18T14:00:00+00:00_L::control1,15.0,3,True,2024-02-02 15:00:00+00:00
2024-03-14T13:00:00+00:00_S::control0,0.0,0,False,
2024-03-20T14:00:00+00:00_L::control0,65.0,13,True,2024-03-06 13:00:00+00:00
2024-03-27T05:00:00+00:00_L::control0,80.0,16,True,2024-03-10 15:00:00+00:00
2024-03-29T07:00:00+00:00_S::control1,15.0,3,False,
2024-03-29T07:00:00+00:00_S::control2,45.0,9,False,
2024-04-01T05:00:00+00:00_S::control0,10.0,2,False,
2024-04-01T05:00:00+00:00_S::control2,0.0,0,False,
2024-04-03T19:00:00+00:00_S::control2,20.0,4,False,
2024-05-06T12:00:00+00:00_S::control2,0.0,0,False,
2024-05-23T11:00:00+00:00_L::control0,15.0,3,False,
2024-06-06T19:00:00+00:00_S::control0,60.0,12,False,
2024-06-06T19:00:00+00:00_S::control1,60.0,12,False,
2024-06-06T19:00:00+00:00_S::control2,60.0,12,False,
2024-06-10T12:00:00+00:00_S::control0,60.0,12,False,
2024-06-10T12:00:00+00:00_S::control1,135.0,27,False,
2024-06-10T12:00:00+00:00_S::control2,20.0,4,False,
2024-06-10T14:00:00+00:00_L::control1,0.0,0,False,
2024-07-07T13:00:00+00:00_S::control1,0.0,0,False,
2024-07-07T13:00:00+00:00_S::control2,30.0,6,False,
2024-07-11T01:00:00+00:00_L::control0,25.0,5,True,2024-07-16 09:00:00+00:00
2024-08-02T14:00:00+00:00_S::control0,155.0,31,True,2024-08-01 22:00:00+00:00
2024-10-05T22:00:00+00:00_L::control0,95.0,19,True,2024-10-13 03:00:00+00:00
2024-10-18T01:00:00+00:00_L::control1,35.0,7,True,2024-10-25 08:15:00+00:00
2024-11-01T15:00:00+00:00_S::control1,0.0,0,False,
2024-11-28T18:00:00+00:00_L::control1,65.0,13,True,2024-11-30 03:00:00+00:00
2024-12-06T17:00:00+00:00_L::control2,10.0,2,False,
2024-12-23T13:00:00+00:00_S::control2,25.0,5,False,
