population,event_id,parent_event_id,matched_case,fold,signal_time,decision_time,direction,ma,signal_close,signal_atr,initial_stop,entry_open,raw_entry_segment_id,entry_distance_atr,entry_side,previous_hour_close_distance_atr,previous_hour_close_side,initial_R,entry_distance_r,geometry_bin
case,2023-01-02T02:00:00+00:00_L,,True,2023H1,2023-01-02 02:00:00+00:00,2023-01-02 03:00:00+00:00,1.0,16566.53625,16588.6,30.390845268175337,16555.8,16588.5,0.0,0.7227094148315435,1,0.7259998794144179,1,32.70000000000073,0.6716743119265594,inside
case,2023-01-06T00:00:00+00:00_L,,False,2023H1,2023-01-06 00:00:00+00:00,2023-01-06 01:00:00+00:00,1.0,16837.93875,16861.5,39.56168481790722,16827.5,16861.5,0.0,0.5955572951062503,1,0.5955572951062503,1,34.0,0.6929779411764363,inside
case,2023-01-08T14:00:00+00:00_L,,False,2023H1,2023-01-08 14:00:00+00:00,2023-01-08 15:00:00+00:00,1.0,16937.8875,16954.7,19.82102649627746,16931.0,16954.7,0.0,0.8482154041395139,1,0.8482154041395139,1,23.700000000000728,0.7093881856539866,inside
case,2023-01-08T20:00:00+00:00_L,,False,2023H1,2023-01-08 20:00:00+00:00,2023-01-08 21:00:00+00:00,1.0,16937.585,16970.0,30.58902100759881,16926.2,16969.9,0.0,1.0564247869186385,1,1.0596939337139446,1,43.70000000000073,0.7394736842105673,inside
case,2023-01-18T15:00:00+00:00_S,,False,2023H1,2023-01-18 15:00:00+00:00,2023-01-18 16:00:00+00:00,-1.0,21222.56,21035.7,196.96931940653744,21560.0,21033.2,0.0,0.9613679966531666,1,0.9486756646314465,1,526.7999999999993,0.35945330296127725,inside
case,2023-01-23T10:00:00+00:00_L,,False,2023H1,2023-01-23 10:00:00+00:00,2023-01-23 11:00:00+00:00,1.0,22817.5,22912.9,158.52996197084414,22769.9,22912.1,0.0,0.5967326228047465,1,0.6017789874796465,1,142.1999999999971,0.6652601969057699,inside
case,2023-01-23T20:00:00+00:00_L,,True,2023H1,2023-01-23 20:00:00+00:00,2023-01-23 21:00:00+00:00,1.0,22803.7125,23028.2,228.90482931102892,22761.2,23028.3,0.0,0.9811391951667178,1,0.9807023323871096,1,267.09999999999854,0.8408367652564547,inside
case,2023-01-25T20:00:00+00:00_L,,True,2023H1,2023-01-25 20:00:00+00:00,2023-01-25 21:00:00+00:00,1.0,22770.68,22938.2,163.4997226176404,22752.4,22938.3,0.0,1.0252005160399829,1,1.024588894207251,1,185.89999999999782,0.9016675632060298,inside
case,2023-01-27T16:00:00+00:00_L,,False,2023H1,2023-01-27 16:00:00+00:00,2023-01-27 17:00:00+00:00,1.0,22999.0575,23135.2,172.0026928512491,22923.6,23135.2,0.0,0.7915137707625318,1,0.7915137707625318,1,211.60000000000218,0.6433955576559562,inside
case,2023-01-28T20:00:00+00:00_S,,False,2023H1,2023-01-28 20:00:00+00:00,2023-01-28 21:00:00+00:00,-1.0,23030.863749999997,22965.9,95.3103399865246,23045.4,22965.8,0.0,0.6826515361208084,1,0.6816023320153953,1,79.60000000000218,0.8173837939697958,inside
